"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Tunisia","Afghanistan","2015.0","Export","","","",""
"Tunisia","Angola","2015.0","Export","34.0","1.26","8010.1","0.06"
"Tunisia","Albania","2015.0","Export","5.0","0.19","11599.75","0.08"
"Tunisia","Andorra","2015.0","Export","2.0","0.07","119.01","0.0"
"Tunisia","United Arab Emirates","2015.0","Export","314.0","11.66","64150.36","0.46"
"Tunisia","Argentina","2015.0","Export","14.0","0.52","287.1","0.0"
"Tunisia","Armenia","2015.0","Export","1.0","0.04","53.09","0.0"
"Tunisia","American Samoa","2015.0","Export","","","",""
"Tunisia","Antigua and Barbuda","2015.0","Export","1.0","0.04","1.39","0.0"
"Tunisia","Australia","2015.0","Export","83.0","3.08","7634.92","0.05"
"Tunisia","Austria","2015.0","Export","71.0","2.64","72730.07","0.52"
"Tunisia","Azerbaijan","2015.0","Export","6.0","0.22","874.73","0.01"
"Tunisia","Burundi","2015.0","Export","32.0","1.19","291.82","0.0"
"Tunisia","Belgium","2015.0","Export","352.0","13.07","252120.13","1.79"
"Tunisia","Benin","2015.0","Export","112.0","4.16","11152.8","0.08"
"Tunisia","Burkina Faso","2015.0","Export","138.0","5.12","9439.29","0.07"
"Tunisia","Bangladesh","2015.0","Export","6.0","0.22","111733.44","0.79"
"Tunisia","Bulgaria","2015.0","Export","23.0","0.85","12784.33","0.09"
"Tunisia","Bahrain","2015.0","Export","27.0","1.0","854.28","0.01"
"Tunisia","Bahamas, The","2015.0","Export","15.0","0.56","877.07","0.01"
"Tunisia","Bosnia and Herzegovina","2015.0","Export","8.0","0.3","893.29","0.01"
"Tunisia","Belarus","2015.0","Export","1.0","0.04","0.03","0.0"
"Tunisia","Belize","2015.0","Export","","","",""
"Tunisia","Bermuda","2015.0","Export","","","",""
"Tunisia","Bolivia","2015.0","Export","5.0","0.19","96.24","0.0"
"Tunisia","Brazil","2015.0","Export","74.0","2.75","30132.63","0.21"
"Tunisia","Barbados","2015.0","Export","","","",""
"Tunisia","Brunei","2015.0","Export","1.0","0.04","0.11","0.0"
"Tunisia","Botswana","2015.0","Export","1.0","0.04","128.37","0.0"
"Tunisia","Central African Republic","2015.0","Export","34.0","1.26","379.51","0.0"
"Tunisia","Canada","2015.0","Export","156.0","5.79","24804.48","0.18"
"Tunisia","Switzerland","2015.0","Export","192.0","7.13","126641.54","0.9"
"Tunisia","Chile","2015.0","Export","10.0","0.37","178.68","0.0"
"Tunisia","China","2015.0","Export","149.0","5.53","28305.15","0.2"
"Tunisia","Cote d'Ivoire","2015.0","Export","304.0","11.29","36367.65","0.26"
"Tunisia","Cameroon","2015.0","Export","205.0","7.61","22787.89","0.16"
"Tunisia","Congo, Rep.","2015.0","Export","240.0","8.91","15922.45","0.11"
"Tunisia","Colombia","2015.0","Export","6.0","0.22","15.49","0.0"
"Tunisia","Comoros","2015.0","Export","14.0","0.52","421.85","0.0"
"Tunisia","Cape Verde","2015.0","Export","7.0","0.26","172.61","0.0"
"Tunisia","Costa Rica","2015.0","Export","","","",""
"Tunisia","Cuba","2015.0","Export","3.0","0.11","2110.35","0.01"
"Tunisia","Cayman Islands","2015.0","Export","1.0","0.04","35.02","0.0"
"Tunisia","Cyprus","2015.0","Export","19.0","0.71","1001.74","0.01"
"Tunisia","Czech Republic","2015.0","Export","93.0","3.45","62540.61","0.44"
"Tunisia","Germany","2015.0","Export","548.0","20.35","1476871.67","10.49"
"Tunisia","Djibouti","2015.0","Export","15.0","0.56","287.39","0.0"
"Tunisia","Denmark","2015.0","Export","67.0","2.49","19499.48","0.14"
"Tunisia","Dominican Republic","2015.0","Export","10.0","0.37","811.97","0.01"
"Tunisia","Algeria","2015.0","Export","1067.0","39.62","558161.98","3.97"
"Tunisia","East Asia & Pacific","2015.0","Export","385.0","14.3","144612.09","1.03"
"Tunisia","Europe & Central Asia","2015.0","Export","1908.0","70.85","10743327.72","76.34"
"Tunisia","Ecuador","2015.0","Export","5.0","0.19","120.4","0.0"
"Tunisia","Egypt, Arab Rep.","2015.0","Export","164.0","6.09","71768.82","0.51"
"Tunisia","Eritrea","2015.0","Export","","","",""
"Tunisia","Spain","2015.0","Export","391.0","14.52","699820.47","4.97"
"Tunisia","Estonia","2015.0","Export","27.0","1.0","2912.39","0.02"
"Tunisia","Ethiopia(excludes Eritrea)","2015.0","Export","225.0","8.36","56704.17","0.4"
"Tunisia","Finland","2015.0","Export","15.0","0.56","2554.63","0.02"
"Tunisia","France","2015.0","Export","1319.0","48.98","4126877.47","29.32"
"Tunisia","Gabon","2015.0","Export","149.0","5.53","20176.25","0.14"
"Tunisia","United Kingdom","2015.0","Export","398.0","14.78","438584.5","3.12"
"Tunisia","Georgia","2015.0","Export","3.0","0.11","123.13","0.0"
"Tunisia","Ghana","2015.0","Export","60.0","2.23","15593.73","0.11"
"Tunisia","Gibraltar","2015.0","Export","1.0","0.04","52.12","0.0"
"Tunisia","Guinea","2015.0","Export","54.0","2.01","11425.17","0.08"
"Tunisia","Gambia, The","2015.0","Export","28.0","1.04","2127.36","0.02"
"Tunisia","Guinea-Bissau","2015.0","Export","18.0","0.67","145.61","0.0"
"Tunisia","Equatorial Guinea","2015.0","Export","48.0","1.78","2593.46","0.02"
"Tunisia","Greece","2015.0","Export","84.0","3.12","20781.24","0.15"
"Tunisia","Grenada","2015.0","Export","","","",""
"Tunisia","Guatemala","2015.0","Export","1.0","0.04","17.3","0.0"
"Tunisia","Guyana","2015.0","Export","11.0","0.41","237.64","0.0"
"Tunisia","Hong Kong, China","2015.0","Export","62.0","2.3","22397.55","0.16"
"Tunisia","Honduras","2015.0","Export","2.0","0.07","2392.84","0.02"
"Tunisia","Croatia","2015.0","Export","16.0","0.59","1671.84","0.01"
"Tunisia","Haiti","2015.0","Export","","","",""
"Tunisia","Hungary","2015.0","Export","61.0","2.27","48941.7","0.35"
"Tunisia","Indonesia","2015.0","Export","28.0","1.04","13727.72","0.1"
"Tunisia","India","2015.0","Export","99.0","3.68","102712.22","0.73"
"Tunisia","Ireland","2015.0","Export","39.0","1.45","4456.61","0.03"
"Tunisia","Iran, Islamic Rep.","2015.0","Export","9.0","0.33","1265.9","0.01"
"Tunisia","Iraq","2015.0","Export","58.0","2.15","6610.98","0.05"
"Tunisia","Iceland","2015.0","Export","14.0","0.52","1024.77","0.01"
"Tunisia","Israel","2015.0","Export","","","",""
"Tunisia","Italy","2015.0","Export","1090.0","40.48","2596581.77","18.45"
"Tunisia","Jamaica","2015.0","Export","","","",""
"Tunisia","Jordan","2015.0","Export","67.0","2.49","9096.24","0.06"
"Tunisia","Japan","2015.0","Export","110.0","4.08","26496.49","0.19"
"Tunisia","Kazakhstan","2015.0","Export","9.0","0.33","362.64","0.0"
"Tunisia","Kenya","2015.0","Export","27.0","1.0","965.59","0.01"
"Tunisia","Kyrgyz Republic","2015.0","Export","","","",""
"Tunisia","Cambodia","2015.0","Export","","","",""
"Tunisia","Korea, Rep.","2015.0","Export","74.0","2.75","4812.6","0.03"
"Tunisia","Kuwait","2015.0","Export","66.0","2.45","7082.15","0.05"
"Tunisia","Lao PDR","2015.0","Export","","","",""
"Tunisia","Lebanon","2015.0","Export","111.0","4.12","29836.31","0.21"
"Tunisia","Liberia","2015.0","Export","32.0","1.19","1322.13","0.01"
"Tunisia","Libya","2015.0","Export","1104.0","41.0","540044.46","3.84"
"Tunisia","Latin America & Caribbean","2015.0","Export","163.0","6.05","52580.49","0.37"
"Tunisia","Sri Lanka","2015.0","Export","3.0","0.11","174.81","0.0"
"Tunisia","Lithuania","2015.0","Export","7.0","0.26","2348.41","0.02"
"Tunisia","Luxembourg","2015.0","Export","18.0","0.67","211.62","0.0"
"Tunisia","Latvia","2015.0","Export","7.0","0.26","389.27","0.0"
"Tunisia","Macao","2015.0","Export","2.0","0.07","34.04","0.0"
"Tunisia","Morocco","2015.0","Export","487.0","18.08","180102.27","1.28"
"Tunisia","Moldova","2015.0","Export","1.0","0.04","0.71","0.0"
"Tunisia","Madagascar","2015.0","Export","37.0","1.37","2446.39","0.02"
"Tunisia","Maldives","2015.0","Export","3.0","0.11","186.53","0.0"
"Tunisia","Middle East & North Africa","2015.0","Export","1769.0","65.69","1537580.39","10.93"
"Tunisia","Mexico","2015.0","Export","47.0","1.75","12372.19","0.09"
"Tunisia","Marshall Islands","2015.0","Export","1.0","0.04","16.15","0.0"
"Tunisia","Macedonia, FYR","2015.0","Export","3.0","0.11","3025.38","0.02"
"Tunisia","Mali","2015.0","Export","145.0","5.38","6403.51","0.05"
"Tunisia","Malta","2015.0","Export","100.0","3.71","22062.94","0.16"
"Tunisia","Myanmar","2015.0","Export","","","",""
"Tunisia","Mongolia","2015.0","Export","","","",""
"Tunisia","Mozambique","2015.0","Export","2.0","0.07","97.87","0.0"
"Tunisia","Mauritania","2015.0","Export","257.0","9.54","21891.86","0.16"
"Tunisia","Mauritius","2015.0","Export","20.0","0.74","1866.17","0.01"
"Tunisia","Malawi","2015.0","Export","","","",""
"Tunisia","Malaysia","2015.0","Export","35.0","1.3","17365.84","0.12"
"Tunisia","North America","2015.0","Export","386.0","14.33","378408.61","2.69"
"Tunisia","Namibia","2015.0","Export","1.0","0.04","210.48","0.0"
"Tunisia","New Caledonia","2015.0","Export","11.0","0.41","121.94","0.0"
"Tunisia","Niger","2015.0","Export","92.0","3.42","10313.81","0.07"
"Tunisia","Nigeria","2015.0","Export","36.0","1.34","16438.27","0.12"
"Tunisia","Nicaragua","2015.0","Export","","","",""
"Tunisia","Netherlands","2015.0","Export","237.0","8.8","239249.76","1.7"
"Tunisia","Norway","2015.0","Export","62.0","2.3","5853.46","0.04"
"Tunisia","Nepal","2015.0","Export","","","",""
"Tunisia","Nauru","2015.0","Export","","","",""
"Tunisia","New Zealand","2015.0","Export","14.0","0.52","487.57","0.0"
"Tunisia","Other Asia, nes","2015.0","Export","37.0","1.37","994.17","0.01"
"Tunisia","Oman","2015.0","Export","89.0","3.3","4877.3","0.03"
"Tunisia","Pakistan","2015.0","Export","32.0","1.19","7405.61","0.05"
"Tunisia","Panama","2015.0","Export","15.0","0.56","1332.73","0.01"
"Tunisia","Peru","2015.0","Export","4.0","0.15","43.66","0.0"
"Tunisia","Philippines","2015.0","Export","12.0","0.45","88.62","0.0"
"Tunisia","Poland","2015.0","Export","96.0","3.56","168877.19","1.2"
"Tunisia","Korea, Dem. Rep.","2015.0","Export","7.0","0.26","155.28","0.0"
"Tunisia","Portugal","2015.0","Export","135.0","5.01","71555.5","0.51"
"Tunisia","Paraguay","2015.0","Export","2.0","0.07","2.81","0.0"
"Tunisia","French Polynesia","2015.0","Export","10.0","0.37","237.34","0.0"
"Tunisia","Qatar","2015.0","Export","104.0","3.86","10188.61","0.07"
"Tunisia","Romania","2015.0","Export","94.0","3.49","108435.29","0.77"
"Tunisia","Russian Federation","2015.0","Export","107.0","3.97","11183.56","0.08"
"Tunisia","Rwanda","2015.0","Export","8.0","0.3","940.15","0.01"
"Tunisia","South Asia","2015.0","Export","129.0","4.79","222212.62","1.58"
"Tunisia","Saudi Arabia","2015.0","Export","163.0","6.05","22896.35","0.16"
"Tunisia","Senegal","2015.0","Export","286.0","10.62","49709.58","0.35"
"Tunisia","Serbia, FR(Serbia/Montenegro)","2015.0","Export","29.0","1.08","396.63","0.0"
"Tunisia","Singapore","2015.0","Export","72.0","2.67","18869.99","0.13"
"Tunisia","Saint Helena","2015.0","Export","1.0","0.04","3.13","0.0"
"Tunisia","Sierra Leone","2015.0","Export","22.0","0.82","2031.95","0.01"
"Tunisia","El Salvador","2015.0","Export","1.0","0.04","9.69","0.0"
"Tunisia","Somalia","2015.0","Export","1.0","0.04","57.24","0.0"
"Tunisia","Sub-Saharan Africa","2015.0","Export","976.0","36.24","356349.64","2.53"
"Tunisia","Sao Tome and Principe","2015.0","Export","1.0","0.04","2.52","0.0"
"Tunisia","Sudan","2015.0","Export","14.0","0.52","5327.81","0.04"
"Tunisia","Suriname","2015.0","Export","3.0","0.11","1109.53","0.01"
