"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Turkey","Aruba","2015.0","Export","50.0","1.17","639.84","0.0"
"Turkey","Afghanistan","2015.0","Export","1247.0","29.06","161634.39","0.11"
"Turkey","Angola","2015.0","Export","799.0","18.62","195884.37","0.14"
"Turkey","Anguila","2015.0","Export","26.0","0.61","209.73","0.0"
"Turkey","Albania","2015.0","Export","2071.0","48.26","287395.26","0.2"
"Turkey","Andorra","2015.0","Export","6.0","0.14","939.56","0.0"
"Turkey","United Arab Emirates","2015.0","Export","2268.0","52.85","4681401.62","3.25"
"Turkey","Argentina","2015.0","Export","523.0","12.19","118306.76","0.08"
"Turkey","Armenia","2015.0","Export","","","",""
"Turkey","American Samoa","2015.0","Export","23.0","0.54","299.28","0.0"
"Turkey","Fr. So. Ant. Tr","2015.0","Export","28.0","0.65","114.32","0.0"
"Turkey","Antigua and Barbuda","2015.0","Export","39.0","0.91","7697.09","0.01"
"Turkey","Australia","2015.0","Export","1342.0","31.27","521307.64","0.36"
"Turkey","Austria","2015.0","Export","1753.0","40.85","1024577.91","0.71"
"Turkey","Azerbaijan","2015.0","Export","3079.0","71.75","1898714.94","1.32"
"Turkey","Burundi","2015.0","Export","320.0","7.46","2509.71","0.0"
"Turkey","Belgium","2015.0","Export","2003.0","46.68","2557900.94","1.78"
"Turkey","Benin","2015.0","Export","345.0","8.04","79920.43","0.06"
"Turkey","Burkina Faso","2015.0","Export","576.0","13.42","21696.43","0.02"
"Turkey","Bangladesh","2015.0","Export","845.0","19.69","199889.63","0.14"
"Turkey","Bulgaria","2015.0","Export","2599.0","60.57","1676147.59","1.17"
"Turkey","Bahrain","2015.0","Export","1131.0","26.36","225298.05","0.16"
"Turkey","Bahamas, The","2015.0","Export","74.0","1.72","13462.17","0.01"
"Turkey","Bosnia and Herzegovina","2015.0","Export","1848.0","43.07","292474.28","0.2"
"Turkey","Belarus","2015.0","Export","1255.0","29.25","205143.85","0.14"
"Turkey","Belize","2015.0","Export","59.0","1.38","6967.34","0.0"
"Turkey","Bermuda","2015.0","Export","38.0","0.89","1030.01","0.0"
"Turkey","Bolivia","2015.0","Export","298.0","6.94","15512.91","0.01"
