"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Tanzania","Aruba","2015.0","Export","","","",""
"Tanzania","Afghanistan","2015.0","Export","","","",""
"Tanzania","Angola","2015.0","Export","41.0","1.9","3812.59","0.07"
"Tanzania","Albania","2015.0","Export","1.0","0.05","0.16","0.0"
"Tanzania","Andorra","2015.0","Export","","","",""
"Tanzania","United Arab Emirates","2015.0","Export","326.0","15.12","157555.41","2.69"
"Tanzania","Argentina","2015.0","Export","11.0","0.51","988.62","0.02"
"Tanzania","Armenia","2015.0","Export","2.0","0.09","2.19","0.0"
"Tanzania","American Samoa","2015.0","Export","1.0","0.05","2268.92","0.04"
"Tanzania","Antarctica","2015.0","Export","1.0","0.05","0.03","0.0"
"Tanzania","Fr. So. Ant. Tr","2015.0","Export","1.0","0.05","0.01","0.0"
"Tanzania","Antigua and Barbuda","2015.0","Export","","","",""
"Tanzania","Australia","2015.0","Export","121.0","5.61","4536.2","0.08"
"Tanzania","Austria","2015.0","Export","22.0","1.02","421.23","0.01"
"Tanzania","Azerbaijan","2015.0","Export","","","",""
"Tanzania","Burundi","2015.0","Export","214.0","9.93","39247.47","0.67"
"Tanzania","Belgium","2015.0","Export","95.0","4.41","149206.09","2.55"
"Tanzania","Benin","2015.0","Export","11.0","0.51","6.47","0.0"
"Tanzania","Burkina Faso","2015.0","Export","4.0","0.19","3651.75","0.06"
"Tanzania","Bangladesh","2015.0","Export","14.0","0.65","25685.31","0.44"
"Tanzania","Bulgaria","2015.0","Export","21.0","0.97","2171.69","0.04"
"Tanzania","Bahrain","2015.0","Export","3.0","0.14","687.26","0.01"
"Tanzania","Bahamas, The","2015.0","Export","","","",""
"Tanzania","Bosnia and Herzegovina","2015.0","Export","","","",""
"Tanzania","Belarus","2015.0","Export","1.0","0.05","197.91","0.0"
"Tanzania","Belize","2015.0","Export","1.0","0.05","1.58","0.0"
"Tanzania","Bolivia","2015.0","Export","","","",""
"Tanzania","Brazil","2015.0","Export","9.0","0.42","9.93","0.0"
"Tanzania","Barbados","2015.0","Export","","","",""
"Tanzania","Brunei","2015.0","Export","","","",""
"Tanzania","Bhutan","2015.0","Export","","","",""
"Tanzania","Botswana","2015.0","Export","13.0","0.6","119.08","0.0"
"Tanzania","Central African Republic","2015.0","Export","","","",""
"Tanzania","Canada","2015.0","Export","98.0","4.55","5975.62","0.1"
"Tanzania","Switzerland","2015.0","Export","66.0","3.06","153932.66","2.63"
"Tanzania","Chile","2015.0","Export","3.0","0.14","73.46","0.0"
"Tanzania","China","2015.0","Export","137.0","6.35","562322.43","9.61"
"Tanzania","Cote d'Ivoire","2015.0","Export","36.0","1.67","303.76","0.01"
"Tanzania","Cameroon","2015.0","Export","90.0","4.17","534.74","0.01"
"Tanzania","Congo, Rep.","2015.0","Export","119.0","5.52","115455.55","1.97"
"Tanzania","Colombia","2015.0","Export","10.0","0.46","235.48","0.0"
"Tanzania","Comoros","2015.0","Export","118.0","5.47","187927.82","3.21"
"Tanzania","Cape Verde","2015.0","Export","1.0","0.05","4.85","0.0"
"Tanzania","Costa Rica","2015.0","Export","","","",""
"Tanzania","Cuba","2015.0","Export","23.0","1.07","20.15","0.0"
"Tanzania","Curaçao","2015.0","Export","8.0","0.37","0.45","0.0"
"Tanzania","Christmas Island","2015.0","Export","1.0","0.05","0.54","0.0"
"Tanzania","Cayman Islands","2015.0","Export","","","",""
"Tanzania","Cyprus","2015.0","Export","5.0","0.23","2298.05","0.04"
"Tanzania","Czech Republic","2015.0","Export","7.0","0.32","110.09","0.0"
"Tanzania","Germany","2015.0","Export","242.0","11.22","225708.78","3.86"
"Tanzania","Djibouti","2015.0","Export","36.0","1.67","7782.07","0.13"
"Tanzania","Dominica","2015.0","Export","1.0","0.05","11.36","0.0"
"Tanzania","Denmark","2015.0","Export","41.0","1.9","2761.74","0.05"
"Tanzania","Dominican Republic","2015.0","Export","2.0","0.09","192.6","0.0"
"Tanzania","Algeria","2015.0","Export","10.0","0.46","979.54","0.02"
"Tanzania","East Asia & Pacific","2015.0","Export","412.0","19.11","976056.94","16.67"
"Tanzania","Europe & Central Asia","2015.0","Export","696.0","32.28","796577.8","13.61"
"Tanzania","Ecuador","2015.0","Export","7.0","0.32","10.43","0.0"
"Tanzania","Egypt, Arab Rep.","2015.0","Export","51.0","2.37","841.55","0.01"
"Tanzania","Eritrea","2015.0","Export","15.0","0.7","93.65","0.0"
"Tanzania","Spain","2015.0","Export","62.0","2.88","18713.19","0.32"
"Tanzania","Estonia","2015.0","Export","1.0","0.05","18.18","0.0"
"Tanzania","Ethiopia(excludes Eritrea)","2015.0","Export","27.0","1.25","148.46","0.0"
"Tanzania","Finland","2015.0","Export","29.0","1.35","2699.52","0.05"
"Tanzania","Fiji","2015.0","Export","1.0","0.05","18.97","0.0"
"Tanzania","France","2015.0","Export","103.0","4.78","16870.37","0.29"
"Tanzania","Faeroe Islands","2015.0","Export","","","",""
"Tanzania","Gabon","2015.0","Export","1.0","0.05","36.49","0.0"
"Tanzania","United Kingdom","2015.0","Export","301.0","13.96","23041.34","0.39"
"Tanzania","Georgia","2015.0","Export","3.0","0.14","378.96","0.01"
"Tanzania","Ghana","2015.0","Export","40.0","1.86","452.49","0.01"
"Tanzania","Gibraltar","2015.0","Export","2.0","0.09","305.54","0.01"
