"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Uganda","Angola","2015.0","Export","20.0","0.82","2771.13","0.12"
"Uganda","Anguila","2015.0","Export","","","",""
"Uganda","United Arab Emirates","2015.0","Export","197.0","8.07","82413.75","3.64"
"Uganda","Argentina","2015.0","Export","1.0","0.04","0.1","0.0"
"Uganda","Armenia","2015.0","Export","1.0","0.04","0.5","0.0"
"Uganda","Antigua and Barbuda","2015.0","Export","1.0","0.04","1.48","0.0"
"Uganda","Australia","2015.0","Export","21.0","0.86","1355.4","0.06"
"Uganda","Austria","2015.0","Export","10.0","0.41","170.79","0.01"
"Uganda","Azerbaijan","2015.0","Export","","","",""
"Uganda","Burundi","2015.0","Export","656.0","26.89","46283.7","2.04"
"Uganda","Belgium","2015.0","Export","37.0","1.52","69035.46","3.05"
"Uganda","Benin","2015.0","Export","1.0","0.04","64.99","0.0"
"Uganda","Bangladesh","2015.0","Export","2.0","0.08","2.56","0.0"
"Uganda","Bulgaria","2015.0","Export","4.0","0.16","295.49","0.01"
"Uganda","Bahrain","2015.0","Export","8.0","0.33","882.0","0.04"
"Uganda","Bosnia and Herzegovina","2015.0","Export","","","",""
"Uganda","Belarus","2015.0","Export","","","",""
"Uganda","Belize","2015.0","Export","","","",""
"Uganda","Bolivia","2015.0","Export","1.0","0.04","4.25","0.0"
"Uganda","Brazil","2015.0","Export","1.0","0.04","1.78","0.0"
"Uganda","Botswana","2015.0","Export","4.0","0.16","4.02","0.0"
"Uganda","Central African Republic","2015.0","Export","22.0","0.9","202.37","0.01"
"Uganda","Canada","2015.0","Export","60.0","2.46","7175.02","0.32"
"Uganda","Switzerland","2015.0","Export","37.0","1.52","36996.96","1.63"
"Uganda","Chile","2015.0","Export","2.0","0.08","25.18","0.0"
"Uganda","China","2015.0","Export","67.0","2.75","57738.89","2.55"
"Uganda","Cote d'Ivoire","2015.0","Export","6.0","0.25","227.31","0.01"
"Uganda","Cameroon","2015.0","Export","21.0","0.86","3379.03","0.15"
"Uganda","Colombia","2015.0","Export","7.0","0.29","517.0","0.02"
"Uganda","Cape Verde","2015.0","Export","1.0","0.04","221.66","0.01"
