"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Ukraine","Aruba","2015.0","Export","2.0","0.06","376.97","0.0"
"Ukraine","Afghanistan","2015.0","Export","66.0","1.82","8983.35","0.02"
"Ukraine","Angola","2015.0","Export","42.0","1.16","5856.84","0.02"
"Ukraine","Albania","2015.0","Export","50.0","1.38","24850.06","0.07"
"Ukraine","Andorra","2015.0","Export","","","",""
"Ukraine","United Arab Emirates","2015.0","Export","699.0","19.3","301732.53","0.79"
"Ukraine","Argentina","2015.0","Export","34.0","0.94","9606.92","0.03"
"Ukraine","Armenia","2015.0","Export","647.0","17.87","101561.94","0.27"
"Ukraine","Antarctica","2015.0","Export","","","",""
"Ukraine","Antigua and Barbuda","2015.0","Export","3.0","0.08","1.71","0.0"
"Ukraine","Australia","2015.0","Export","134.0","3.7","10716.97","0.03"
"Ukraine","Austria","2015.0","Export","790.0","21.82","347167.23","0.91"
"Ukraine","Azerbaijan","2015.0","Export","951.0","26.26","318824.77","0.84"
"Ukraine","Burundi","2015.0","Export","42.0","1.16","1817.97","0.0"
"Ukraine","Belgium","2015.0","Export","664.0","18.34","296848.82","0.78"
"Ukraine","Benin","2015.0","Export","19.0","0.52","3397.85","0.01"
"Ukraine","Burkina Faso","2015.0","Export","28.0","0.77","1451.62","0.0"
"Ukraine","Bangladesh","2015.0","Export","162.0","4.47","206963.05","0.54"
"Ukraine","Bulgaria","2015.0","Export","851.0","23.5","419492.92","1.1"
"Ukraine","Bahrain","2015.0","Export","30.0","0.83","718.97","0.0"
"Ukraine","Bahamas, The","2015.0","Export","91.0","2.51","103.02","0.0"
"Ukraine","Bosnia and Herzegovina","2015.0","Export","90.0","2.49","7409.9","0.02"
"Ukraine","Belarus","2015.0","Export","1623.0","44.82","870696.4","2.28"
"Ukraine","Belize","2015.0","Export","160.0","4.42","3666.87","0.01"
"Ukraine","Bolivia","2015.0","Export","85.0","2.35","233.2","0.0"
"Ukraine","Brazil","2015.0","Export","80.0","2.21","33526.24","0.09"
"Ukraine","Barbados","2015.0","Export","5.0","0.14","15.6","0.0"
"Ukraine","Brunei","2015.0","Export","","","",""
"Ukraine","Botswana","2015.0","Export","9.0","0.25","1.98","0.0"
"Ukraine","Central African Republic","2015.0","Export","21.0","0.58","878.51","0.0"
"Ukraine","Canada","2015.0","Export","364.0","10.05","30160.65","0.08"
"Ukraine","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Ukraine","Switzerland","2015.0","Export","398.0","10.99","125507.78","0.33"
"Ukraine","Chile","2015.0","Export","160.0","4.42","2328.91","0.01"
"Ukraine","China","2015.0","Export","450.0","12.43","2399078.89","6.29"
"Ukraine","Cote d'Ivoire","2015.0","Export","37.0","1.02","23793.84","0.06"
"Ukraine","Cameroon","2015.0","Export","27.0","0.75","10994.43","0.03"
"Ukraine","Congo, Rep.","2015.0","Export","65.0","1.8","2181.22","0.01"
"Ukraine","Cook Islands","2015.0","Export","84.0","2.32","28.95","0.0"
"Ukraine","Colombia","2015.0","Export","80.0","2.21","22967.9","0.06"
"Ukraine","Comoros","2015.0","Export","31.0","0.86","10.19","0.0"
"Ukraine","Cape Verde","2015.0","Export","2.0","0.06","103.37","0.0"
"Ukraine","Costa Rica","2015.0","Export","12.0","0.33","8546.28","0.02"
"Ukraine","Cuba","2015.0","Export","206.0","5.69","36384.81","0.1"
"Ukraine","Curaçao","2015.0","Export","1.0","0.03","0.17","0.0"
"Ukraine","Cayman Islands","2015.0","Export","2.0","0.06","3.48","0.0"
"Ukraine","Cyprus","2015.0","Export","427.0","11.79","61526.15","0.16"
"Ukraine","Czech Republic","2015.0","Export","899.0","24.83","540950.6","1.42"
"Ukraine","Germany","2015.0","Export","1680.0","46.4","1328665.19","3.48"
"Ukraine","Djibouti","2015.0","Export","8.0","0.22","59774.3","0.16"
"Ukraine","Dominica","2015.0","Export","55.0","1.52","25.52","0.0"
"Ukraine","Denmark","2015.0","Export","530.0","14.64","144675.34","0.38"
"Ukraine","Dominican Republic","2015.0","Export","43.0","1.19","6483.13","0.02"
"Ukraine","Algeria","2015.0","Export","171.0","4.72","205636.15","0.54"
"Ukraine","East Asia & Pacific","2015.0","Export","1203.0","33.22","4014979.25","10.53"
"Ukraine","Europe & Central Asia","2015.0","Export","3531.0","97.51","24278507.15","63.68"
"Ukraine","Ecuador","2015.0","Export","16.0","0.44","1810.87","0.0"
"Ukraine","Egypt, Arab Rep.","2015.0","Export","405.0","11.18","2079784.02","5.45"
"Ukraine","Eritrea","2015.0","Export","2.0","0.06","0.28","0.0"
"Ukraine","Western Sahara","2015.0","Export","","","",""
"Ukraine","Spain","2015.0","Export","563.0","15.55","1043601.43","2.74"
"Ukraine","Estonia","2015.0","Export","568.0","15.69","66205.37","0.17"
"Ukraine","Ethiopia(excludes Eritrea)","2015.0","Export","191.0","5.27","138047.1","0.36"
"Ukraine","Finland","2015.0","Export","183.0","5.05","48037.72","0.13"
"Ukraine","Fiji","2015.0","Export","2.0","0.06","6.4","0.0"
"Ukraine","Falkland Island","2015.0","Export","","","",""
"Ukraine","France","2015.0","Export","801.0","22.12","498333.57","1.31"
"Ukraine","Faeroe Islands","2015.0","Export","","","",""
"Ukraine","Gabon","2015.0","Export","5.0","0.14","1770.13","0.0"
"Ukraine","United Kingdom","2015.0","Export","932.0","25.74","367993.11","0.97"
"Ukraine","Georgia","2015.0","Export","1725.0","47.64","402721.54","1.06"
"Ukraine","Ghana","2015.0","Export","148.0","4.09","37458.74","0.1"
"Ukraine","Gibraltar","2015.0","Export","4.0","0.11","15.72","0.0"
"Ukraine","Guinea","2015.0","Export","96.0","2.65","13295.88","0.03"
"Ukraine","Gambia, The","2015.0","Export","14.0","0.39","2300.67","0.01"
"Ukraine","Guinea-Bissau","2015.0","Export","1.0","0.03","17.91","0.0"
"Ukraine","Equatorial Guinea","2015.0","Export","492.0","13.59","9980.73","0.03"
"Ukraine","Greece","2015.0","Export","354.0","9.78","153775.58","0.4"
"Ukraine","Greenland","2015.0","Export","","","",""
"Ukraine","Guatemala","2015.0","Export","27.0","0.75","6503.3","0.02"
"Ukraine","Guyana","2015.0","Export","","","",""
"Ukraine","Hong Kong, China","2015.0","Export","285.0","7.87","15439.48","0.04"
"Ukraine","Honduras","2015.0","Export","6.0","0.17","10.2","0.0"
"Ukraine","Croatia","2015.0","Export","116.0","3.2","26086.49","0.07"
"Ukraine","Haiti","2015.0","Export","","","",""
"Ukraine","Hungary","2015.0","Export","975.0","26.93","909720.97","2.39"
"Ukraine","Indonesia","2015.0","Export","69.0","1.91","185945.8","0.49"
"Ukraine","India","2015.0","Export","495.0","13.67","1444086.77","3.79"
"Ukraine","British Indian Ocean Ter.","2015.0","Export","","","",""
"Ukraine","Ireland","2015.0","Export","119.0","3.29","59182.57","0.16"
"Ukraine","Iran, Islamic Rep.","2015.0","Export","328.0","9.06","533569.9","1.4"
"Ukraine","Iraq","2015.0","Export","172.0","4.75","472533.11","1.24"
"Ukraine","Iceland","2015.0","Export","82.0","2.26","265.24","0.0"
"Ukraine","Israel","2015.0","Export","580.0","16.02","597065.28","1.57"
"Ukraine","Italy","2015.0","Export","995.0","27.48","1979843.64","5.19"
"Ukraine","Jamaica","2015.0","Export","5.0","0.14","18.12","0.0"
"Ukraine","Jordan","2015.0","Export","145.0","4.0","135803.92","0.36"
"Ukraine","Japan","2015.0","Export","274.0","7.57","235567.8","0.62"
"Ukraine","Kazakhstan","2015.0","Export","1217.0","33.61","712740.14","1.87"
"Ukraine","Kenya","2015.0","Export","77.0","2.13","49903.3","0.13"
"Ukraine","Kyrgyz Republic","2015.0","Export","480.0","13.26","75501.84","0.2"
"Ukraine","Cambodia","2015.0","Export","84.0","2.32","430.32","0.0"
"Ukraine","St. Kitts and Nevis","2015.0","Export","105.0","2.9","399.38","0.0"
"Ukraine","Korea, Rep.","2015.0","Export","309.0","8.53","395389.1","1.04"
"Ukraine","Kuwait","2015.0","Export","114.0","3.15","6911.71","0.02"
"Ukraine","Lao PDR","2015.0","Export","6.0","0.17","1616.05","0.0"
"Ukraine","Lebanon","2015.0","Export","243.0","6.71","300129.77","0.79"
"Ukraine","Liberia","2015.0","Export","469.0","12.95","4235.59","0.01"
"Ukraine","Libya","2015.0","Export","65.0","1.8","182660.24","0.48"
"Ukraine","Latin America & Caribbean","2015.0","Export","995.0","27.48","265320.15","0.7"
"Ukraine","Sri Lanka","2015.0","Export","76.0","2.1","4160.29","0.01"
"Ukraine","Lesotho","2015.0","Export","1.0","0.03","22.0","0.0"
"Ukraine","Lithuania","2015.0","Export","1120.0","30.93","236300.48","0.62"
"Ukraine","Luxembourg","2015.0","Export","27.0","0.75","5883.78","0.02"
"Ukraine","Latvia","2015.0","Export","1000.0","27.62","150265.28","0.39"
"Ukraine","Macao","2015.0","Export","","","",""
"Ukraine","Morocco","2015.0","Export","123.0","3.4","212501.98","0.56"
"Ukraine","Moldova","2015.0","Export","2096.0","57.88","524294.02","1.38"
"Ukraine","Madagascar","2015.0","Export","4.0","0.11","323.33","0.0"
"Ukraine","Maldives","2015.0","Export","2.0","0.06","52.98","0.0"
"Ukraine","Middle East & North Africa","2015.0","Export","1475.0","40.73","6387710.09","16.75"
"Ukraine","Mexico","2015.0","Export","97.0","2.68","118210.08","0.31"
"Ukraine","Marshall Islands","2015.0","Export","404.0","11.16","748.44","0.0"
"Ukraine","Macedonia, FYR","2015.0","Export","131.0","3.62","12933.5","0.03"
"Ukraine","Mali","2015.0","Export","28.0","0.77","6063.48","0.02"
"Ukraine","Malta","2015.0","Export","265.0","7.32","12237.04","0.03"
"Ukraine","Myanmar","2015.0","Export","45.0","1.24","12059.05","0.03"
"Ukraine","Mongolia","2015.0","Export","175.0","4.83","28197.85","0.07"
"Ukraine","Northern Mariana Islands","2015.0","Export","","","",""
"Ukraine","Montenegro","2015.0","Export","67.0","1.85","1139.95","0.0"
"Ukraine","Mozambique","2015.0","Export","9.0","0.25","12801.25","0.03"
"Ukraine","Mauritania","2015.0","Export","21.0","0.58","23536.68","0.06"
"Ukraine","Montserrat","2015.0","Export","","","",""
"Ukraine","Mauritius","2015.0","Export","17.0","0.47","862.23","0.0"
"Ukraine","Malawi","2015.0","Export","23.0","0.64","984.18","0.0"
"Ukraine","Malaysia","2015.0","Export","86.0","2.38","159573.58","0.42"
"Ukraine","North America","2015.0","Export","1172.0","32.37","512135.29","1.34"
"Ukraine","Namibia","2015.0","Export","19.0","0.52","6401.74","0.02"
"Ukraine","New Caledonia","2015.0","Export","2.0","0.06","164.28","0.0"
"Ukraine","Niger","2015.0","Export","6.0","0.17","1300.88","0.0"
"Ukraine","Nigeria","2015.0","Export","92.0","2.54","120876.94","0.32"
"Ukraine","Nicaragua","2015.0","Export","41.0","1.13","124.59","0.0"
"Ukraine","Netherlands","2015.0","Export","772.0","21.32","905655.02","2.38"
"Ukraine","Norway","2015.0","Export","171.0","4.72","12795.79","0.03"
"Ukraine","Nepal","2015.0","Export","40.0","1.1","9425.16","0.02"
"Ukraine","Nauru","2015.0","Export","","","",""
"Ukraine","New Zealand","2015.0","Export","84.0","2.32","1891.85","0.01"
"Ukraine","Other Asia, nes","2015.0","Export","121.0","3.34","41458.03","0.11"
"Ukraine","Oman","2015.0","Export","46.0","1.27","27989.6","0.07"
"Ukraine","Pakistan","2015.0","Export","228.0","6.3","111023.21","0.29"
"Ukraine","Panama","2015.0","Export","603.0","16.65","9908.37","0.03"
"Ukraine","Peru","2015.0","Export","131.0","3.62","3364.74","0.01"
"Ukraine","Philippines","2015.0","Export","90.0","2.49","107366.75","0.28"
"Ukraine","Palau","2015.0","Export","1.0","0.03","0.8","0.0"
"Ukraine","Papua New Guinea","2015.0","Export","2.0","0.06","2.31","0.0"
"Ukraine","Poland","2015.0","Export","1710.0","47.22","1977329.33","5.19"
"Ukraine","Korea, Dem. Rep.","2015.0","Export","24.0","0.66","33739.26","0.09"
"Ukraine","Portugal","2015.0","Export","173.0","4.78","320541.13","0.84"
"Ukraine","Paraguay","2015.0","Export","5.0","0.14","47.56","0.0"
"Ukraine","Occ.Pal.Terr","2015.0","Export","27.0","0.75","13673.17","0.04"
"Ukraine","French Polynesia","2015.0","Export","1.0","0.03","16.52","0.0"
"Ukraine","Qatar","2015.0","Export","74.0","2.04","15991.25","0.04"
"Ukraine","Romania","2015.0","Export","864.0","23.86","569947.09","1.49"
"Ukraine","Russian Federation","2015.0","Export","2255.0","62.28","4827717.88","12.66"
"Ukraine","Rwanda","2015.0","Export","3.0","0.08","1447.47","0.0"
"Ukraine","South Asia","2015.0","Export","692.0","19.11","1784694.81","4.68"
"Ukraine","Saudi Arabia","2015.0","Export","322.0","8.89","761562.16","2.0"
"Ukraine","Senegal","2015.0","Export","37.0","1.02","53190.08","0.14"
"Ukraine","Serbia, FR(Serbia/Montenegro)","2015.0","Export","282.0","7.79","105917.75","0.28"
"Ukraine","Singapore","2015.0","Export","237.0","6.55","5153.77","0.01"
"Ukraine","Saint Helena","2015.0","Export","","","",""
"Ukraine","Solomon Islands","2015.0","Export","","","",""
"Ukraine","Sierra Leone","2015.0","Export","24.0","0.66","1960.21","0.01"
"Ukraine","El Salvador","2015.0","Export","9.0","0.25","10.11","0.0"
"Ukraine","San Marino","2015.0","Export","9.0","0.25","3642.37","0.01"
"Ukraine","Somalia","2015.0","Export","66.0","1.82","631.28","0.0"
"Ukraine","South Sudan","2015.0","Export","56.0","1.55","22290.46","0.06"
"Ukraine","Sub-Saharan Africa","2015.0","Export","1207.0","33.33","653911.59","1.72"
"Ukraine","Sudan","2015.0","Export","54.0","1.49","75217.26","0.2"
"Ukraine","Suriname","2015.0","Export","1.0","0.03","115.43","0.0"
"Ukraine","Slovak Republic","2015.0","Export","644.0","17.79","468528.24","1.23"
"Ukraine","Slovenia","2015.0","Export","201.0","5.55","16260.76","0.04"
"Ukraine","Sweden","2015.0","Export","350.0","9.67","60609.88","0.16"
"Ukraine","Swaziland","2015.0","Export","","","",""
"Ukraine","Seychelles","2015.0","Export","59.0","1.63","310.9","0.0"
"Ukraine","Syrian Arab Republic","2015.0","Export","120.0","3.31","132799.27","0.35"
"Ukraine","Turks and Caicos Isl.","2015.0","Export","","","",""
"Ukraine","Chad","2015.0","Export","14.0","0.39","2231.01","0.01"
"Ukraine","Togo","2015.0","Export","29.0","0.8","3955.21","0.01"
"Ukraine","Thailand","2015.0","Export","161.0","4.45","334899.96","0.88"
"Ukraine","Tajikistan","2015.0","Export","287.0","7.93","29982.89","0.08"
"Ukraine","Tokelau","2015.0","Export","","","",""
"Ukraine","Turkmenistan","2015.0","Export","758.0","20.93","170325.74","0.45"
"Ukraine","East Timor","2015.0","Export","","","",""
"Ukraine","Trinidad and Tobago","2015.0","Export","1.0","0.03","342.92","0.0"
"Ukraine","Tunisia","2015.0","Export","85.0","2.35","333506.48","0.87"
"Ukraine","Turkey","2015.0","Export","919.0","25.38","2771756.88","7.27"
"Ukraine","Tanzania","2015.0","Export","20.0","0.55","13883.82","0.04"
"Ukraine","Uganda","2015.0","Export","57.0","1.57","6286.91","0.02"
"Ukraine","Unspecified","2015.0","Export","486.0","13.42","91314.58","0.24"
"Ukraine","Uruguay","2015.0","Export","15.0","0.41","12.25","0.0"
"Ukraine","United States","2015.0","Export","1095.0","30.24","481974.64","1.26"
"Ukraine","Uzbekistan","2015.0","Export","527.0","14.55","174493.12","0.46"
"Ukraine","Holy See","2015.0","Export","","","",""
"Ukraine","St. Vincent and the Grenadines","2015.0","Export","76.0","2.1","19.25","0.0"
"Ukraine","Venezuela","2015.0","Export","2.0","0.06","152.43","0.0"
"Ukraine","British Virgin Islands","2015.0","Export","118.0","3.26","8073.35","0.02"
"Ukraine","Vietnam","2015.0","Export","248.0","6.85","86972.85","0.23"
"Ukraine","Vanuatu","2015.0","Export","3.0","0.08","1.17","0.0"
"Ukraine"," World","2015.0","Export","3621.0","100.0","38127039.56","100.0"
"Ukraine","Yemen","2015.0","Export","23.0","0.64","14802.42","0.04"
"Ukraine","South Africa","2015.0","Export","108.0","2.98","54439.76","0.14"
"Ukraine","Congo, Dem. Rep.","2015.0","Export","336.0","9.28","9212.07","0.02"
"Ukraine","Zambia","2015.0","Export","35.0","0.97","3232.03","0.01"
"Ukraine","Zimbabwe","2015.0","Export","4.0","0.11","169.55","0.0"
