"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Uruguay","Aruba","2015.0","Export","8.0","0.42","1408.58","0.02"
"Uruguay","Afghanistan","2015.0","Export","4.0","0.21","281.38","0.0"
"Uruguay","Angola","2015.0","Export","15.0","0.8","3967.5","0.05"
"Uruguay","Albania","2015.0","Export","7.0","0.37","170.19","0.0"
"Uruguay","Andorra","2015.0","Export","","","",""
"Uruguay","United Arab Emirates","2015.0","Export","178.0","9.45","10857.02","0.14"
"Uruguay","Argentina","2015.0","Export","613.0","32.55","380340.22","4.96"
"Uruguay","Armenia","2015.0","Export","1.0","0.05","6.67","0.0"
"Uruguay","American Samoa","2015.0","Export","","","",""
"Uruguay","Antigua and Barbuda","2015.0","Export","3.0","0.16","107.27","0.0"
"Uruguay","Australia","2015.0","Export","34.0","1.81","1171.84","0.02"
"Uruguay","Austria","2015.0","Export","10.0","0.53","216.92","0.0"
"Uruguay","Azerbaijan","2015.0","Export","7.0","0.37","15.61","0.0"
"Uruguay","Burundi","2015.0","Export","","","",""
"Uruguay","Belgium","2015.0","Export","47.0","2.5","22820.53","0.3"
"Uruguay","Benin","2015.0","Export","4.0","0.21","7701.39","0.1"
"Uruguay","Burkina Faso","2015.0","Export","2.0","0.11","108.34","0.0"
"Uruguay","Bangladesh","2015.0","Export","4.0","0.21","3297.56","0.04"
"Uruguay","Bulgaria","2015.0","Export","15.0","0.8","6849.99","0.09"
"Uruguay","Bahrain","2015.0","Export","5.0","0.27","108.37","0.0"
"Uruguay","Bahamas, The","2015.0","Export","4.0","0.21","271.26","0.0"
"Uruguay","Bosnia and Herzegovina","2015.0","Export","","","",""
"Uruguay","Belarus","2015.0","Export","2.0","0.11","246.16","0.0"
"Uruguay","Belize","2015.0","Export","1.0","0.05","11.55","0.0"
"Uruguay","Bermuda","2015.0","Export","","","",""
"Uruguay","Bolivia","2015.0","Export","181.0","9.61","35237.83","0.46"
"Uruguay","Brazil","2015.0","Export","706.0","37.49","1134191.56","14.79"
"Uruguay","Barbados","2015.0","Export","5.0","0.27","4081.25","0.05"
"Uruguay","Brunei","2015.0","Export","2.0","0.11","132.6","0.0"
"Uruguay","Bouvet Island","2015.0","Export","1.0","0.05","22.62","0.0"
"Uruguay","Botswana","2015.0","Export","1.0","0.05","36.81","0.0"
"Uruguay","Canada","2015.0","Export","66.0","3.5","119066.09","1.55"
"Uruguay","Switzerland","2015.0","Export","28.0","1.49","81348.3","1.06"
"Uruguay","Chile","2015.0","Export","397.0","21.08","117427.55","1.53"
"Uruguay","China","2015.0","Export","128.0","6.8","1067855.86","13.92"
"Uruguay","Cote d'Ivoire","2015.0","Export","10.0","0.53","1898.86","0.02"
"Uruguay","Cameroon","2015.0","Export","2.0","0.11","1416.01","0.02"
"Uruguay","Congo, Rep.","2015.0","Export","8.0","0.42","4545.86","0.06"
"Uruguay","Cook Islands","2015.0","Export","","","",""
"Uruguay","Colombia","2015.0","Export","142.0","7.54","23946.7","0.31"
"Uruguay","Cape Verde","2015.0","Export","4.0","0.21","684.14","0.01"
"Uruguay","Costa Rica","2015.0","Export","82.0","4.35","12419.53","0.16"
"Uruguay","Cuba","2015.0","Export","20.0","1.06","20588.24","0.27"
"Uruguay","Curaçao","2015.0","Export","7.0","0.37","3699.64","0.05"
"Uruguay","Cyprus","2015.0","Export","2.0","0.11","735.62","0.01"
"Uruguay","Czech Republic","2015.0","Export","12.0","0.64","4489.82","0.06"
"Uruguay","Germany","2015.0","Export","166.0","8.82","260190.1","3.39"
"Uruguay","Djibouti","2015.0","Export","","","",""
"Uruguay","Dominica","2015.0","Export","","","",""
"Uruguay","Denmark","2015.0","Export","24.0","1.27","5695.73","0.07"
"Uruguay","Dominican Republic","2015.0","Export","71.0","3.77","4121.33","0.05"
"Uruguay","Algeria","2015.0","Export","17.0","0.9","73859.94","0.96"
"Uruguay","East Asia & Pacific","2015.0","Export","313.0","16.62","1316129.66","17.16"
"Uruguay","Europe & Central Asia","2015.0","Export","755.0","40.1","1203907.74","15.7"
"Uruguay","Ecuador","2015.0","Export","132.0","7.01","12124.17","0.16"
"Uruguay","Egypt, Arab Rep.","2015.0","Export","16.0","0.85","66849.64","0.87"
"Uruguay","Spain","2015.0","Export","268.0","14.23","83947.15","1.09"
"Uruguay","Estonia","2015.0","Export","","","",""
"Uruguay","Ethiopia(excludes Eritrea)","2015.0","Export","1.0","0.05","102.41","0.0"
"Uruguay","Finland","2015.0","Export","14.0","0.74","2708.75","0.04"
"Uruguay","France","2015.0","Export","109.0","5.79","38153.46","0.5"
"Uruguay","Free Zones","2015.0","Export","305.0","16.2","1489332.62","19.42"
"Uruguay","Gabon","2015.0","Export","3.0","0.16","4430.9","0.06"
"Uruguay","United Kingdom","2015.0","Export","294.0","15.61","70117.07","0.91"
"Uruguay","Georgia","2015.0","Export","5.0","0.27","1631.0","0.02"
"Uruguay","Ghana","2015.0","Export","6.0","0.32","348.83","0.0"
"Uruguay","Gibraltar","2015.0","Export","1.0","0.05","76.67","0.0"
"Uruguay","Guinea","2015.0","Export","1.0","0.05","352.96","0.0"
"Uruguay","Gambia, The","2015.0","Export","1.0","0.05","201.17","0.0"
"Uruguay","Guinea-Bissau","2015.0","Export","2.0","0.11","1593.48","0.02"
"Uruguay","Equatorial Guinea","2015.0","Export","4.0","0.21","1059.47","0.01"
"Uruguay","Greece","2015.0","Export","8.0","0.42","517.84","0.01"
"Uruguay","Grenada","2015.0","Export","1.0","0.05","33.66","0.0"
"Uruguay","Guatemala","2015.0","Export","40.0","2.12","6263.68","0.08"
"Uruguay","Guyana","2015.0","Export","2.0","0.11","2928.38","0.04"
"Uruguay","Hong Kong, China","2015.0","Export","57.0","3.03","48491.42","0.63"
"Uruguay","Honduras","2015.0","Export","31.0","1.65","1906.32","0.02"
"Uruguay","Croatia","2015.0","Export","","","",""
"Uruguay","Haiti","2015.0","Export","12.0","0.64","231.66","0.0"
"Uruguay","Hungary","2015.0","Export","3.0","0.16","4947.08","0.06"
"Uruguay","Indonesia","2015.0","Export","18.0","0.96","7705.58","0.1"
"Uruguay","India","2015.0","Export","46.0","2.44","14130.12","0.18"
"Uruguay","Ireland","2015.0","Export","21.0","1.12","887.46","0.01"
"Uruguay","Iran, Islamic Rep.","2015.0","Export","9.0","0.48","25365.9","0.33"
"Uruguay","Iraq","2015.0","Export","5.0","0.27","79464.23","1.04"
"Uruguay","Iceland","2015.0","Export","","","",""
"Uruguay","Israel","2015.0","Export","48.0","2.55","133919.0","1.75"
"Uruguay","Italy","2015.0","Export","136.0","7.22","80851.06","1.05"
"Uruguay","Jamaica","2015.0","Export","7.0","0.37","351.87","0.0"
"Uruguay","Jordan","2015.0","Export","9.0","0.48","579.26","0.01"
"Uruguay","Japan","2015.0","Export","42.0","2.23","11205.58","0.15"
"Uruguay","Kazakhstan","2015.0","Export","5.0","0.27","2131.48","0.03"
"Uruguay","Kenya","2015.0","Export","4.0","0.21","475.85","0.01"
"Uruguay","Cambodia","2015.0","Export","1.0","0.05","430.01","0.01"
"Uruguay","Korea, Rep.","2015.0","Export","26.0","1.38","20748.33","0.27"
"Uruguay","Kuwait","2015.0","Export","4.0","0.21","3561.2","0.05"
"Uruguay","Lao PDR","2015.0","Export","","","",""
"Uruguay","Lebanon","2015.0","Export","8.0","0.42","2691.58","0.04"
"Uruguay","Liberia","2015.0","Export","3.0","0.16","1074.63","0.01"
"Uruguay","Libya","2015.0","Export","2.0","0.11","164.19","0.0"
"Uruguay","St. Lucia","2015.0","Export","2.0","0.11","37.96","0.0"
"Uruguay","Latin America & Caribbean","2015.0","Export","1455.0","77.27","2446085.98","31.89"
"Uruguay","Sri Lanka","2015.0","Export","2.0","0.11","43.45","0.0"
"Uruguay","Lesotho","2015.0","Export","","","",""
"Uruguay","Lithuania","2015.0","Export","6.0","0.32","1714.63","0.02"
"Uruguay","Luxembourg","2015.0","Export","2.0","0.11","5.96","0.0"
"Uruguay","Latvia","2015.0","Export","3.0","0.16","443.76","0.01"
"Uruguay","Macao","2015.0","Export","","","",""
"Uruguay","Morocco","2015.0","Export","9.0","0.48","13504.19","0.18"
"Uruguay","Moldova","2015.0","Export","3.0","0.16","627.25","0.01"
"Uruguay","Madagascar","2015.0","Export","","","",""
"Uruguay","Maldives","2015.0","Export","3.0","0.16","20.24","0.0"
"Uruguay","Middle East & North Africa","2015.0","Export","259.0","13.75","422042.72","5.5"
"Uruguay","Mexico","2015.0","Export","149.0","7.91","215880.89","2.81"
"Uruguay","Marshall Islands","2015.0","Export","1.0","0.05","263.54","0.0"
"Uruguay","Macedonia, FYR","2015.0","Export","10.0","0.53","273.17","0.0"
"Uruguay","Mali","2015.0","Export","1.0","0.05","56.84","0.0"
"Uruguay","Malta","2015.0","Export","2.0","0.11","311.21","0.0"
"Uruguay","Myanmar","2015.0","Export","2.0","0.11","1775.79","0.02"
"Uruguay","Mozambique","2015.0","Export","4.0","0.21","36.23","0.0"
"Uruguay","Mauritania","2015.0","Export","7.0","0.37","579.75","0.01"
"Uruguay","Mauritius","2015.0","Export","5.0","0.27","764.43","0.01"
"Uruguay","Malawi","2015.0","Export","","","",""
"Uruguay","Malaysia","2015.0","Export","84.0","4.46","19682.22","0.26"
"Uruguay","North America","2015.0","Export","539.0","28.62","646233.02","8.43"
"Uruguay","Namibia","2015.0","Export","5.0","0.27","99.17","0.0"
"Uruguay","Nigeria","2015.0","Export","7.0","0.37","24957.14","0.33"
"Uruguay","Nicaragua","2015.0","Export","24.0","1.27","3741.65","0.05"
"Uruguay","Netherlands","2015.0","Export","66.0","3.5","187406.21","2.44"
"Uruguay","Norway","2015.0","Export","14.0","0.74","10475.78","0.14"
"Uruguay","Nepal","2015.0","Export","","","",""
"Uruguay","New Zealand","2015.0","Export","12.0","0.64","2381.92","0.03"
"Uruguay","Other Asia, nes","2015.0","Export","54.0","2.87","9719.77","0.13"
"Uruguay","Oman","2015.0","Export","3.0","0.16","1420.65","0.02"
"Uruguay","Pakistan","2015.0","Export","13.0","0.69","2559.77","0.03"
"Uruguay","Panama","2015.0","Export","84.0","4.46","7160.9","0.09"
"Uruguay","Peru","2015.0","Export","193.0","10.25","123504.37","1.61"
"Uruguay","Philippines","2015.0","Export","27.0","1.43","16138.11","0.21"
"Uruguay","Poland","2015.0","Export","30.0","1.59","17518.48","0.23"
"Uruguay","Korea, Dem. Rep.","2015.0","Export","","","",""
"Uruguay","Portugal","2015.0","Export","29.0","1.54","71012.19","0.93"
"Uruguay","Paraguay","2015.0","Export","717.0","38.08","116428.27","1.52"
"Uruguay","French Polynesia","2015.0","Export","6.0","0.32","8506.92","0.11"
"Uruguay","Qatar","2015.0","Export","8.0","0.42","1162.9","0.02"
"Uruguay","Romania","2015.0","Export","14.0","0.74","4147.76","0.05"
"Uruguay","Russian Federation","2015.0","Export","50.0","2.66","98224.3","1.28"
"Uruguay","South Asia","2015.0","Export","61.0","3.24","20332.52","0.27"
"Uruguay","Saudi Arabia","2015.0","Export","12.0","0.64","7894.57","0.1"
"Uruguay","Senegal","2015.0","Export","9.0","0.48","576.4","0.01"
"Uruguay","Serbia, FR(Serbia/Montenegro)","2015.0","Export","5.0","0.27","382.73","0.01"
"Uruguay","Singapore","2015.0","Export","23.0","1.22","10915.33","0.14"
"Uruguay","Saint Helena","2015.0","Export","1.0","0.05","14.0","0.0"
"Uruguay","Sierra Leone","2015.0","Export","2.0","0.11","24788.73","0.32"
"Uruguay","El Salvador","2015.0","Export","23.0","1.22","752.19","0.01"
"Uruguay","San Marino","2015.0","Export","","","",""
"Uruguay","Sub-Saharan Africa","2015.0","Export","86.0","4.57","111536.44","1.45"
"Uruguay","Sao Tome and Principe","2015.0","Export","","","",""
"Uruguay","Sudan","2015.0","Export","9.0","0.48","344.15","0.0"
"Uruguay","Suriname","2015.0","Export","2.0","0.11","39.21","0.0"
"Uruguay","Slovak Republic","2015.0","Export","2.0","0.11","0.2","0.0"
"Uruguay","Slovenia","2015.0","Export","2.0","0.11","1.55","0.0"
"Uruguay","Sweden","2015.0","Export","24.0","1.27","13841.66","0.18"
"Uruguay","Seychelles","2015.0","Export","","","",""
"Uruguay","Syrian Arab Republic","2015.0","Export","1.0","0.05","210.98","0.0"
"Uruguay","Togo","2015.0","Export","2.0","0.11","145.48","0.0"
"Uruguay","Thailand","2015.0","Export","26.0","1.38","43982.46","0.57"
"Uruguay","Tajikistan","2015.0","Export","1.0","0.05","37.42","0.0"
"Uruguay","Tonga","2015.0","Export","1.0","0.05","30.84","0.0"
"Uruguay","Trinidad and Tobago","2015.0","Export","17.0","0.9","13530.69","0.18"
"Uruguay","Tunisia","2015.0","Export","1.0","0.05","117.91","0.0"
"Uruguay","Turkey","2015.0","Export","31.0","1.65","128190.6","1.67"
"Uruguay","Tanzania","2015.0","Export","2.0","0.11","36.92","0.0"
"Uruguay","Ukraine","2015.0","Export","10.0","0.53","926.08","0.01"
"Uruguay","Unspecified","2015.0","Export","1.0","0.05","37.03","0.0"
"Uruguay","Uruguay","2015.0","Export","","","",""
"Uruguay","United States","2015.0","Export","528.0","28.04","527166.93","6.87"
"Uruguay","St. Vincent and the Grenadines","2015.0","Export","1.0","0.05","54.85","0.0"
"Uruguay","Venezuela","2015.0","Export","83.0","4.41","206962.41","2.7"
"Uruguay","British Virgin Islands","2015.0","Export","","","",""
"Uruguay","Vietnam","2015.0","Export","30.0","1.59","54559.21","0.71"
"Uruguay","Vanuatu","2015.0","Export","1.0","0.05","152.08","0.0"
"Uruguay"," World","2015.0","Export","1883.0","100.0","7669514.56","100.0"
"Uruguay","South Africa","2015.0","Export","44.0","2.34","29068.97","0.38"
"Uruguay","Congo, Dem. Rep.","2015.0","Export","","","",""
"Uruguay","Zambia","2015.0","Export","6.0","0.32","185.91","0.0"
"Uruguay","Zimbabwe","2015.0","Export","1.0","0.05","241.87","0.0"
