"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"United States","Aruba","2015.0","Export","1727.0","37.88","1167457.22","0.08"
"United States","Afghanistan","2015.0","Export","936.0","20.53","478851.27","0.03"
"United States","Angola","2015.0","Export","1234.0","27.07","1166161.67","0.08"
"United States","Anguila","2015.0","Export","730.0","16.01","47602.63","0.0"
"United States","Albania","2015.0","Export","250.0","5.48","30952.67","0.0"
"United States","Andorra","2015.0","Export","69.0","1.51","3336.82","0.0"
"United States","United Arab Emirates","2015.0","Export","3157.0","69.25","22994834.68","1.53"
"United States","Argentina","2015.0","Export","2582.0","56.64","9341210.65","0.62"
"United States","Armenia","2015.0","Export","319.0","7.0","50246.17","0.0"
"United States","Fr. So. Ant. Tr","2015.0","Export","59.0","1.29","8026.6","0.0"
"United States","Antigua and Barbuda","2015.0","Export","1388.0","30.45","677657.63","0.05"
"United States","Australia","2015.0","Export","3600.0","78.96","25021024.4","1.67"
"United States","Austria","2015.0","Export","1849.0","40.56","3989849.42","0.27"
"United States","Azerbaijan","2015.0","Export","781.0","17.13","477316.11","0.03"
"United States","Burundi","2015.0","Export","58.0","1.27","5650.19","0.0"
"United States","Belgium","2015.0","Export","2883.0","63.24","34149204.36","2.27"
"United States","Benin","2015.0","Export","264.0","5.79","631462.52","0.04"
"United States","Burkina Faso","2015.0","Export","248.0","5.44","53875.34","0.0"
"United States","Bangladesh","2015.0","Export","983.0","21.56","942540.07","0.06"
"United States","Bulgaria","2015.0","Export","914.0","20.05","289092.01","0.02"
"United States","Bahrain","2015.0","Export","1575.0","34.55","1270662.45","0.08"
"United States","Bahamas, The","2015.0","Export","2543.0","55.78","2386458.16","0.16"
"United States","Bosnia and Herzegovina","2015.0","Export","231.0","5.07","27586.06","0.0"
"United States","Belarus","2015.0","Export","469.0","10.29","59235.75","0.0"
"United States","Belize","2015.0","Export","1401.0","30.73","285240.26","0.02"
"United States","Bermuda","2015.0","Export","1745.0","38.28","600919.09","0.04"
"United States","Bolivia","2015.0","Export","1572.0","34.48","931429.2","0.06"
"United States","Brazil","2015.0","Export","3318.0","72.78","31650623.87","2.11"
"United States","Barbados","2015.0","Export","2114.0","46.37","595966.31","0.04"
"United States","Brunei","2015.0","Export","585.0","12.83","133391.86","0.01"
"United States","Bhutan","2015.0","Export","49.0","1.07","2641.04","0.0"
"United States","Botswana","2015.0","Export","256.0","5.62","39041.97","0.0"
"United States","Central African Republic","2015.0","Export","100.0","2.19","34309.87","0.0"
"United States","Canada","2015.0","Export","4436.0","97.3","280582448.47","18.68"
"United States","Cocos (Keeling) Islands","2015.0","Export","8.0","0.18","557.62","0.0"
"United States","Switzerland","2015.0","Export","2551.0","55.96","22119201.52","1.47"
"United States","Chile","2015.0","Export","3163.0","69.38","15444314.02","1.03"
"United States","China","2015.0","Export","3862.0","84.71","116071708.83","7.73"
"United States","Cote d'Ivoire","2015.0","Export","697.0","15.29","266335.57","0.02"
"United States","Cameroon","2015.0","Export","767.0","16.82","224961.7","0.01"
"United States","Congo, Rep.","2015.0","Export","624.0","13.69","249220.23","0.02"
"United States","Cook Islands","2015.0","Export","104.0","2.28","4249.83","0.0"
"United States","Colombia","2015.0","Export","3359.0","73.68","16286779.9","1.08"
"United States","Comoros","2015.0","Export","30.0","0.66","1507.08","0.0"
"United States","Cape Verde","2015.0","Export","81.0","1.78","7321.66","0.0"
"United States","Costa Rica","2015.0","Export","3135.0","68.77","6079415.74","0.4"
"United States","Cuba","2015.0","Export","40.0","0.88","180215.21","0.01"
"United States","Curaçao","2015.0","Export","1660.0","36.41","522079.7","0.03"
