"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"St. Vincent and the Grenadines","Aruba","2015.0","Export","","","",""
"St. Vincent and the Grenadines","Anguila","2015.0","Export","10.0","1.67","14.15","0.03"
"St. Vincent and the Grenadines","Andorra","2015.0","Export","","","",""
"St. Vincent and the Grenadines","United Arab Emirates","2015.0","Export","","","",""
"St. Vincent and the Grenadines","Argentina","2015.0","Export","","","",""
"St. Vincent and the Grenadines","American Samoa","2015.0","Export","","","",""
"St. Vincent and the Grenadines","Antigua and Barbuda","2015.0","Export","51.0","8.51","6630.33","14.49"
"St. Vincent and the Grenadines","Australia","2015.0","Export","1.0","0.17","2.82","0.01"
"St. Vincent and the Grenadines","Austria","2015.0","Export","","","",""
"St. Vincent and the Grenadines","Azerbaijan","2015.0","Export","","","",""
"St. Vincent and the Grenadines","Belgium","2015.0","Export","","","",""
"St. Vincent and the Grenadines","Bangladesh","2015.0","Export","","","",""
"St. Vincent and the Grenadines","Bulgaria","2015.0","Export","","","",""
"St. Vincent and the Grenadines","Bahamas, The","2015.0","Export","","","",""
"St. Vincent and the Grenadines","Bosnia and Herzegovina","2015.0","Export","1.0","0.17","0.9","0.0"
"St. Vincent and the Grenadines","Belize","2015.0","Export","4.0","0.67","1540.99","3.37"
"St. Vincent and the Grenadines","Bolivia","2015.0","Export","","","",""
"St. Vincent and the Grenadines","Brazil","2015.0","Export","","","",""
"St. Vincent and the Grenadines","Barbados","2015.0","Export","157.0","26.21","8154.09","17.82"
"St. Vincent and the Grenadines","Bouvet Island","2015.0","Export","","","",""
"St. Vincent and the Grenadines","Canada","2015.0","Export","33.0","5.51","74.09","0.16"
"St. Vincent and the Grenadines","Switzerland","2015.0","Export","","","",""
"St. Vincent and the Grenadines","Chile","2015.0","Export","","","",""
"St. Vincent and the Grenadines","China","2015.0","Export","9.0","1.5","0.45","0.0"
"St. Vincent and the Grenadines","Cameroon","2015.0","Export","","","",""
"St. Vincent and the Grenadines","Colombia","2015.0","Export","","","",""
"St. Vincent and the Grenadines","Costa Rica","2015.0","Export","1.0","0.17","0.52","0.0"
"St. Vincent and the Grenadines","Cuba","2015.0","Export","","","",""
"St. Vincent and the Grenadines","Curaçao","2015.0","Export","3.0","0.5","71.37","0.16"
"St. Vincent and the Grenadines","Cayman Islands","2015.0","Export","","","",""
"St. Vincent and the Grenadines","Cyprus","2015.0","Export","","","",""
"St. Vincent and the Grenadines","Czech Republic","2015.0","Export","","","",""
