"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Vietnam","Angola","2015.0","Export","332.0","9.0","46278.41","0.03"
"Vietnam","Andorra","2015.0","Export","85.0","2.3","36835.42","0.02"
"Vietnam","United Arab Emirates","2015.0","Export","830.0","22.51","5690916.06","3.51"
"Vietnam","Argentina","2015.0","Export","371.0","10.06","377620.85","0.23"
"Vietnam","Australia","2015.0","Export","1401.0","37.99","2905591.72","1.79"
"Vietnam","Austria","2015.0","Export","325.0","8.81","2188698.88","1.35"
"Vietnam","Azerbaijan","2015.0","Export","43.0","1.17","34216.09","0.02"
"Vietnam","Belgium","2015.0","Export","718.0","19.47","1779487.08","1.1"
"Vietnam","Benin","2015.0","Export","62.0","1.68","21153.82","0.01"
"Vietnam","Burkina Faso","2015.0","Export","11.0","0.3","8470.99","0.01"
"Vietnam","Bangladesh","2015.0","Export","476.0","12.91","569998.51","0.35"
"Vietnam","Bulgaria","2015.0","Export","143.0","3.88","40845.03","0.03"
"Vietnam","Bahrain","2015.0","Export","125.0","3.39","15493.56","0.01"
"Vietnam","Bahamas, The","2015.0","Export","31.0","0.84","35785.66","0.02"
"Vietnam","Belarus","2015.0","Export","67.0","1.82","4627.26","0.0"
"Vietnam","Bolivia","2015.0","Export","68.0","1.84","10804.33","0.01"
"Vietnam","Brazil","2015.0","Export","598.0","16.21","1435801.05","0.89"
"Vietnam","Brunei","2015.0","Export","226.0","6.13","25520.81","0.02"
"Vietnam","Botswana","2015.0","Export","13.0","0.35","905.3","0.0"
"Vietnam","Canada","2015.0","Export","1048.0","28.42","2407623.87","1.49"
"Vietnam","Switzerland","2015.0","Export","507.0","13.75","230718.65","0.14"
"Vietnam","Chile","2015.0","Export","553.0","14.99","649499.97","0.4"
"Vietnam","China","2015.0","Export","1880.0","50.98","16567685.86","10.23"
"Vietnam","Cote d'Ivoire","2015.0","Export","122.0","3.31","137825.61","0.09"
"Vietnam","Cameroon","2015.0","Export","91.0","2.47","38570.97","0.02"
"Vietnam","Congo, Rep.","2015.0","Export","28.0","0.76","4403.55","0.0"
"Vietnam","Colombia","2015.0","Export","323.0","8.76","346002.78","0.21"
"Vietnam","Costa Rica","2015.0","Export","148.0","4.01","76073.78","0.05"
"Vietnam","Cyprus","2015.0","Export","110.0","2.98","33428.81","0.02"
"Vietnam","Germany","2015.0","Export","1279.0","34.68","5707416.1","3.52"
"Vietnam","Djibouti","2015.0","Export","129.0","3.5","45230.54","0.03"
"Vietnam","Denmark","2015.0","Export","485.0","13.15","289372.55","0.18"
"Vietnam","Dominican Republic","2015.0","Export","150.0","4.07","65009.46","0.04"
"Vietnam","Algeria","2015.0","Export","147.0","3.99","233773.7","0.14"
"Vietnam","East Asia & Pacific","2015.0","Export","3527.0","95.63","68193857.08","42.09"
"Vietnam","Europe & Central Asia","2015.0","Export","2151.0","58.32","34263997.25","21.15"
"Vietnam","Ecuador","2015.0","Export","148.0","4.01","95739.99","0.06"
"Vietnam","Egypt, Arab Rep.","2015.0","Export","360.0","9.76","361679.21","0.22"
"Vietnam","Spain","2015.0","Export","636.0","17.25","2299021.69","1.42"
"Vietnam","Estonia","2015.0","Export","190.0","5.15","25501.21","0.02"
"Vietnam","Ethiopia(excludes Eritrea)","2015.0","Export","40.0","1.08","9432.67","0.01"
"Vietnam","Finland","2015.0","Export","330.0","8.95","117557.69","0.07"
"Vietnam","Fiji","2015.0","Export","68.0","1.84","12827.62","0.01"
"Vietnam","France","2015.0","Export","949.0","25.73","2977755.87","1.84"
"Vietnam","Gabon","2015.0","Export","47.0","1.27","21075.7","0.01"
"Vietnam","United Kingdom","2015.0","Export","993.0","26.93","4645219.8","2.87"
"Vietnam","Georgia","2015.0","Export","68.0","1.84","26101.74","0.02"
"Vietnam","Ghana","2015.0","Export","140.0","3.8","240505.19","0.15"
"Vietnam","Guinea","2015.0","Export","68.0","1.84","18474.95","0.01"
"Vietnam","Gambia, The","2015.0","Export","35.0","0.95","3226.95","0.0"
"Vietnam","Guinea-Bissau","2015.0","Export","19.0","0.52","2277.79","0.0"
"Vietnam","Greece","2015.0","Export","322.0","8.73","167255.45","0.1"
"Vietnam","Guatemala","2015.0","Export","134.0","3.63","36636.74","0.02"
"Vietnam","Hong Kong, China","2015.0","Export","1400.0","37.96","6959274.11","4.3"
"Vietnam","Honduras","2015.0","Export","69.0","1.87","12355.59","0.01"
"Vietnam","Croatia","2015.0","Export","155.0","4.2","32636.35","0.02"
"Vietnam","Haiti","2015.0","Export","114.0","3.09","28205.27","0.02"
"Vietnam","Hungary","2015.0","Export","189.0","5.12","65735.14","0.04"
"Vietnam","Indonesia","2015.0","Export","1285.0","34.84","2847607.21","1.76"
"Vietnam","India","2015.0","Export","1017.0","27.58","2469722.11","1.52"
"Vietnam","Ireland","2015.0","Export","255.0","6.91","115042.77","0.07"
"Vietnam","Iceland","2015.0","Export","62.0","1.68","5772.48","0.0"
"Vietnam","Israel","2015.0","Export","501.0","13.58","533652.41","0.33"
"Vietnam","Italy","2015.0","Export","848.0","22.99","2847802.64","1.76"
"Vietnam","Jamaica","2015.0","Export","40.0","1.08","5815.32","0.0"
"Vietnam","Jordan","2015.0","Export","223.0","6.05","159164.72","0.1"
"Vietnam","Japan","2015.0","Export","2279.0","61.8","14100341.29","8.7"
