"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Samoa","United Arab Emirates","2015.0","Export","1.0","0.15","62.14","0.11"
"Samoa","American Samoa","2015.0","Export","236.0","35.92","10806.01","18.34"
"Samoa","Australia","2015.0","Export","84.0","12.79","24816.56","42.11"
"Samoa","Austria","2015.0","Export","","","",""
"Samoa","Belgium","2015.0","Export","","","",""
"Samoa","Bangladesh","2015.0","Export","","","",""
"Samoa","Bahamas, The","2015.0","Export","1.0","0.15","111.36","0.19"
"Samoa","Brazil","2015.0","Export","","","",""
"Samoa","Brunei","2015.0","Export","","","",""
"Samoa","Botswana","2015.0","Export","","","",""
"Samoa","Canada","2015.0","Export","","","",""
"Samoa","Switzerland","2015.0","Export","1.0","0.15","1.55","0.0"
"Samoa","Chile","2015.0","Export","","","",""
"Samoa","China","2015.0","Export","15.0","2.28","825.08","1.4"
"Samoa","Cameroon","2015.0","Export","","","",""
"Samoa","Cook Islands","2015.0","Export","46.0","7.0","151.71","0.26"
"Samoa","Costa Rica","2015.0","Export","","","",""
"Samoa","Czech Republic","2015.0","Export","","","",""
"Samoa","Germany","2015.0","Export","4.0","0.61","198.47","0.34"
"Samoa","Denmark","2015.0","Export","","","",""
"Samoa","East Asia & Pacific","2015.0","Export","594.0","90.41","50939.5","86.44"
"Samoa","Europe & Central Asia","2015.0","Export","11.0","1.67","363.52","0.62"
"Samoa","Ecuador","2015.0","Export","","","",""
"Samoa","Spain","2015.0","Export","","","",""
"Samoa","Finland","2015.0","Export","","","",""
"Samoa","Fiji","2015.0","Export","105.0","15.98","1708.51","2.9"
"Samoa","France","2015.0","Export","","","",""
"Samoa","United Kingdom","2015.0","Export","5.0","0.76","64.73","0.11"
"Samoa","Ghana","2015.0","Export","","","",""
"Samoa","Gambia, The","2015.0","Export","","","",""
"Samoa","Greece","2015.0","Export","","","",""
"Samoa","Guyana","2015.0","Export","","","",""
"Samoa","Hong Kong, China","2015.0","Export","6.0","0.91","475.23","0.81"
"Samoa","Hungary","2015.0","Export","","","",""
"Samoa","Indonesia","2015.0","Export","1.0","0.15","0.17","0.0"
"Samoa","India","2015.0","Export","","","",""
"Samoa","Ireland","2015.0","Export","","","",""
"Samoa","Iran, Islamic Rep.","2015.0","Export","","","",""
"Samoa","Iceland","2015.0","Export","1.0","0.15","45.05","0.08"
"Samoa","Israel","2015.0","Export","","","",""
"Samoa","Italy","2015.0","Export","","","",""
"Samoa","Jamaica","2015.0","Export","","","",""
"Samoa","Japan","2015.0","Export","14.0","2.13","2259.09","3.83"
"Samoa","Cambodia","2015.0","Export","","","",""
"Samoa","Kiribati","2015.0","Export","","","",""
"Samoa","Korea, Rep.","2015.0","Export","1.0","0.15","0.13","0.0"
"Samoa","Latin America & Caribbean","2015.0","Export","1.0","0.15","111.36","0.19"
"Samoa","Sri Lanka","2015.0","Export","","","",""
"Samoa","Luxembourg","2015.0","Export","","","",""
"Samoa","Middle East & North Africa","2015.0","Export","1.0","0.15","62.14","0.11"
"Samoa","Mexico","2015.0","Export","","","",""
"Samoa","Montserrat","2015.0","Export","","","",""
"Samoa","Mauritius","2015.0","Export","","","",""
"Samoa","Malaysia","2015.0","Export","3.0","0.46","125.78","0.21"
"Samoa","North America","2015.0","Export","59.0","8.98","3146.6","5.34"
"Samoa","Namibia","2015.0","Export","","","",""
"Samoa","New Caledonia","2015.0","Export","3.0","0.46","4.67","0.01"
"Samoa","Niger","2015.0","Export","","","",""
"Samoa","Niue","2015.0","Export","","","",""
