"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Yemen","Aruba","2015.0","Export","","","",""
"Yemen","Afghanistan","2015.0","Export","1.0","0.13","0.1","0.0"
"Yemen","Anguila","2015.0","Export","","","",""
"Yemen","Andorra","2015.0","Export","","","",""
"Yemen","United Arab Emirates","2015.0","Export","98.0","12.68","23676.07","4.64"
"Yemen","Argentina","2015.0","Export","2.0","0.26","1233.89","0.24"
"Yemen","Armenia","2015.0","Export","","","",""
"Yemen","American Samoa","2015.0","Export","1.0","0.13","0.47","0.0"
"Yemen","Australia","2015.0","Export","2.0","0.26","59.93","0.01"
"Yemen","Austria","2015.0","Export","3.0","0.39","151.6","0.03"
"Yemen","Belgium","2015.0","Export","6.0","0.78","506.32","0.1"
"Yemen","Bangladesh","2015.0","Export","3.0","0.39","141.97","0.03"
"Yemen","Bulgaria","2015.0","Export","1.0","0.13","0.1","0.0"
"Yemen","Bahrain","2015.0","Export","3.0","0.39","385.29","0.08"
"Yemen","Bosnia and Herzegovina","2015.0","Export","1.0","0.13","1.17","0.0"
"Yemen","Belarus","2015.0","Export","","","",""
"Yemen","Brazil","2015.0","Export","2.0","0.26","67.31","0.01"
"Yemen","Central African Republic","2015.0","Export","","","",""
"Yemen","Canada","2015.0","Export","2.0","0.26","521.23","0.1"
"Yemen","Switzerland","2015.0","Export","6.0","0.78","36.56","0.01"
"Yemen","Chile","2015.0","Export","","","",""
"Yemen","China","2015.0","Export","103.0","13.32","6914.99","1.36"
"Yemen","Cote d'Ivoire","2015.0","Export","1.0","0.13","51.84","0.01"
"Yemen","Cameroon","2015.0","Export","1.0","0.13","27.06","0.01"
"Yemen","Cook Islands","2015.0","Export","","","",""
"Yemen","Colombia","2015.0","Export","","","",""
"Yemen","Comoros","2015.0","Export","","","",""
"Yemen","Cape Verde","2015.0","Export","","","",""
"Yemen","Costa Rica","2015.0","Export","1.0","0.13","63.98","0.01"
"Yemen","Cuba","2015.0","Export","","","",""
"Yemen","Cyprus","2015.0","Export","","","",""
"Yemen","Czech Republic","2015.0","Export","","","",""
"Yemen","Germany","2015.0","Export","24.0","3.1","10916.75","2.14"
"Yemen","Djibouti","2015.0","Export","136.0","17.59","10403.86","2.04"
"Yemen","Denmark","2015.0","Export","1.0","0.13","2.74","0.0"
"Yemen","Algeria","2015.0","Export","1.0","0.13","0.1","0.0"
"Yemen","East Asia & Pacific","2015.0","Export","163.0","21.09","61663.09","12.09"
"Yemen","Europe & Central Asia","2015.0","Export","84.0","10.87","28172.56","5.53"
"Yemen","Ecuador","2015.0","Export","","","",""
"Yemen","Egypt, Arab Rep.","2015.0","Export","43.0","5.56","15694.86","3.08"
"Yemen","Eritrea","2015.0","Export","30.0","3.88","1224.33","0.24"
"Yemen","Spain","2015.0","Export","4.0","0.52","387.33","0.08"
"Yemen","Estonia","2015.0","Export","","","",""
"Yemen","Ethiopia(excludes Eritrea)","2015.0","Export","27.0","3.49","2340.44","0.46"
"Yemen","Finland","2015.0","Export","","","",""
"Yemen","France","2015.0","Export","6.0","0.78","2036.11","0.4"
"Yemen","Free Zones","2015.0","Export","","","",""
"Yemen","United Kingdom","2015.0","Export","18.0","2.33","8981.19","1.76"
"Yemen","Ghana","2015.0","Export","2.0","0.26","493.69","0.1"
"Yemen","Greece","2015.0","Export","1.0","0.13","22.1","0.0"
"Yemen","Guatemala","2015.0","Export","","","",""
"Yemen","Hong Kong, China","2015.0","Export","8.0","1.03","478.49","0.09"
"Yemen","Honduras","2015.0","Export","","","",""
"Yemen","Croatia","2015.0","Export","","","",""
"Yemen","Hungary","2015.0","Export","1.0","0.13","0.1","0.0"
"Yemen","Indonesia","2015.0","Export","4.0","0.52","301.39","0.06"
"Yemen","India","2015.0","Export","30.0","3.88","2737.32","0.54"
"Yemen","Ireland","2015.0","Export","2.0","0.26","177.39","0.03"
"Yemen","Iran, Islamic Rep.","2015.0","Export","","","",""
"Yemen","Iraq","2015.0","Export","1.0","0.13","0.36","0.0"
"Yemen","Italy","2015.0","Export","13.0","1.68","3824.88","0.75"
"Yemen","Jordan","2015.0","Export","33.0","4.27","3236.54","0.63"
"Yemen","Japan","2015.0","Export","17.0","2.2","27843.01","5.46"
"Yemen","Kenya","2015.0","Export","12.0","1.55","352.6","0.07"
"Yemen","Korea, Rep.","2015.0","Export","13.0","1.68","5446.13","1.07"
"Yemen","Kuwait","2015.0","Export","7.0","0.91","194.62","0.04"
"Yemen","Lao PDR","2015.0","Export","","","",""
"Yemen","Lebanon","2015.0","Export","10.0","1.29","572.34","0.11"
"Yemen","Liberia","2015.0","Export","","","",""
"Yemen","Libya","2015.0","Export","2.0","0.26","520.18","0.1"
"Yemen","Latin America & Caribbean","2015.0","Export","6.0","0.78","1370.5","0.27"
"Yemen","Sri Lanka","2015.0","Export","6.0","0.78","431.45","0.08"
"Yemen","Lithuania","2015.0","Export","1.0","0.13","0.1","0.0"
"Yemen","Luxembourg","2015.0","Export","","","",""
"Yemen","Latvia","2015.0","Export","","","",""
"Yemen","Morocco","2015.0","Export","","","",""
"Yemen","Moldova","2015.0","Export","","","",""
"Yemen","Madagascar","2015.0","Export","","","",""
"Yemen","Maldives","2015.0","Export","","","",""
"Yemen","Middle East & North Africa","2015.0","Export","567.0","73.35","305616.18","59.94"
"Yemen","Mexico","2015.0","Export","1.0","0.13","5.32","0.0"
"Yemen","Macedonia, FYR","2015.0","Export","2.0","0.26","0.2","0.0"
"Yemen","Mali","2015.0","Export","","","",""
"Yemen","Malta","2015.0","Export","","","",""
"Yemen","Myanmar","2015.0","Export","","","",""
"Yemen","Mongolia","2015.0","Export","","","",""
"Yemen","Mozambique","2015.0","Export","1.0","0.13","55.01","0.01"
"Yemen","Mauritius","2015.0","Export","","","",""
"Yemen","Malawi","2015.0","Export","","","",""
"Yemen","Malaysia","2015.0","Export","24.0","3.1","5643.16","1.11"
"Yemen","North America","2015.0","Export","42.0","5.43","12544.13","2.46"
"Yemen","New Caledonia","2015.0","Export","","","",""
"Yemen","Niger","2015.0","Export","","","",""
"Yemen","Nigeria","2015.0","Export","1.0","0.13","0.05","0.0"
"Yemen","Nicaragua","2015.0","Export","","","",""
"Yemen","Netherlands","2015.0","Export","4.0","0.52","594.38","0.12"
"Yemen","Norway","2015.0","Export","2.0","0.26","5.23","0.0"
"Yemen","New Zealand","2015.0","Export","1.0","0.13","33.0","0.01"
"Yemen","Other Asia, nes","2015.0","Export","4.0","0.52","67.32","0.01"
"Yemen","Oman","2015.0","Export","173.0","22.38","86716.91","17.01"
"Yemen","Pakistan","2015.0","Export","13.0","1.68","691.6","0.14"
"Yemen","Philippines","2015.0","Export","1.0","0.13","0.7","0.0"
"Yemen","Poland","2015.0","Export","","","",""
"Yemen","Korea, Dem. Rep.","2015.0","Export","","","",""
"Yemen","Portugal","2015.0","Export","","","",""
"Yemen","Paraguay","2015.0","Export","","","",""
"Yemen","Occ.Pal.Terr","2015.0","Export","","","",""
"Yemen","Qatar","2015.0","Export","18.0","2.33","127.4","0.03"
"Yemen","Romania","2015.0","Export","1.0","0.13","4.5","0.0"
"Yemen","Russian Federation","2015.0","Export","1.0","0.13","0.1","0.0"
"Yemen","South Asia","2015.0","Export","48.0","6.21","4002.44","0.79"
"Yemen","Saudi Arabia","2015.0","Export","339.0","43.86","163957.48","32.16"
"Yemen","Singapore","2015.0","Export","7.0","0.91","584.76","0.11"
"Yemen","Saint Helena","2015.0","Export","","","",""
"Yemen","Somalia","2015.0","Export","115.0","14.88","33703.1","6.61"
"Yemen","Sub-Saharan Africa","2015.0","Export","158.0","20.44","39079.83","7.66"
"Yemen","Sudan","2015.0","Export","9.0","1.16","45.59","0.01"
"Yemen","Suriname","2015.0","Export","","","",""
"Yemen","Slovak Republic","2015.0","Export","2.0","0.26","216.92","0.04"
"Yemen","Slovenia","2015.0","Export","","","",""
"Yemen","Sweden","2015.0","Export","5.0","0.65","50.81","0.01"
"Yemen","Swaziland","2015.0","Export","","","",""
"Yemen","Syrian Arab Republic","2015.0","Export","7.0","0.91","130.18","0.03"
"Yemen","Togo","2015.0","Export","","","",""
"Yemen","Thailand","2015.0","Export","8.0","1.03","7592.36","1.49"
"Yemen","Tokelau","2015.0","Export","","","",""
"Yemen","Tunisia","2015.0","Export","1.0","0.13","0.0","0.0"
"Yemen","Turkey","2015.0","Export","14.0","1.81","255.97","0.05"
"Yemen","Tanzania","2015.0","Export","10.0","1.29","791.48","0.16"
"Yemen","Uganda","2015.0","Export","","","",""
"Yemen","Ukraine","2015.0","Export","","","",""
"Yemen","Unspecified","2015.0","Export","71.0","9.19","57296.1","11.24"
"Yemen","Uruguay","2015.0","Export","","","",""
"Yemen","United States","2015.0","Export","42.0","5.43","12022.9","2.36"
"Yemen","Venezuela","2015.0","Export","","","",""
"Yemen","Vietnam","2015.0","Export","7.0","0.91","6764.69","1.33"
"Yemen"," World","2015.0","Export","773.0","100.0","509857.73","100.0"
"Yemen","South Africa","2015.0","Export","7.0","0.91","40.23","0.01"
"Yemen","Zimbabwe","2015.0","Export","","","",""
