"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"South Africa","Aruba","2015.0","Export","5.0","0.11","143.24","0.0"
"South Africa","Afghanistan","2015.0","Export","39.0","0.89","719.79","0.0"
"South Africa","Angola","2015.0","Export","2174.0","49.48","597996.69","0.86"
"South Africa","Anguila","2015.0","Export","","","",""
"South Africa","Albania","2015.0","Export","10.0","0.23","723.96","0.0"
"South Africa","Andorra","2015.0","Export","2.0","0.05","535.22","0.0"
"South Africa","United Arab Emirates","2015.0","Export","1060.0","24.12","1138253.39","1.63"
"South Africa","Argentina","2015.0","Export","203.0","4.62","137949.01","0.2"
"South Africa","Armenia","2015.0","Export","25.0","0.57","1612.45","0.0"
"South Africa","American Samoa","2015.0","Export","2.0","0.05","8.99","0.0"
"South Africa","Antarctica","2015.0","Export","163.0","3.71","996.77","0.0"
"South Africa","Antigua and Barbuda","2015.0","Export","21.0","0.48","6494.01","0.01"
"South Africa","Australia","2015.0","Export","1403.0","31.93","595683.53","0.86"
"South Africa","Austria","2015.0","Export","218.0","4.96","61286.23","0.09"
"South Africa","Azerbaijan","2015.0","Export","57.0","1.3","5420.85","0.01"
"South Africa","Burundi","2015.0","Export","240.0","5.46","4720.81","0.01"
"South Africa","Belgium","2015.0","Export","768.0","17.48","2290764.46","3.29"
"South Africa","Benin","2015.0","Export","181.0","4.12","27561.65","0.04"
"South Africa","Burkina Faso","2015.0","Export","521.0","11.86","32830.85","0.05"
"South Africa","Bangladesh","2015.0","Export","70.0","1.59","76577.02","0.11"
"South Africa","Bulgaria","2015.0","Export","56.0","1.27","5070.63","0.01"
"South Africa","Bahrain","2015.0","Export","169.0","3.85","22552.23","0.03"
"South Africa","Bahamas, The","2015.0","Export","43.0","0.98","8134.88","0.01"
"South Africa","Bosnia and Herzegovina","2015.0","Export","11.0","0.25","2856.36","0.0"
"South Africa","Belarus","2015.0","Export","8.0","0.18","1737.35","0.0"
"South Africa","Belize","2015.0","Export","18.0","0.41","1049.45","0.0"
"South Africa","Bermuda","2015.0","Export","8.0","0.18","2746.97","0.0"
"South Africa","Bolivia","2015.0","Export","50.0","1.14","9519.69","0.01"
"South Africa","Brazil","2015.0","Export","537.0","12.22","494880.3","0.71"
"South Africa","Barbados","2015.0","Export","38.0","0.86","1348.72","0.0"
"South Africa","Brunei","2015.0","Export","9.0","0.2","650.53","0.0"
"South Africa","Bhutan","2015.0","Export","","","",""
"South Africa","Bunkers","2015.0","Export","1284.0","29.22","889983.53","1.28"
"South Africa","Bouvet Island","2015.0","Export","","","",""
"South Africa","Botswana","2015.0","Export","3634.0","82.7","3792165.72","5.45"
"South Africa","Central African Republic","2015.0","Export","50.0","1.14","727.41","0.0"
"South Africa","Canada","2015.0","Export","715.0","16.27","419646.7","0.6"
"South Africa","Cocos (Keeling) Islands","2015.0","Export","","","",""
"South Africa","Switzerland","2015.0","Export","522.0","11.88","905137.59","1.3"
"South Africa","Chile","2015.0","Export","288.0","6.55","57750.61","0.08"
"South Africa","China","2015.0","Export","722.0","16.43","5802847.54","8.33"
"South Africa","Cote d'Ivoire","2015.0","Export","571.0","12.99","62318.26","0.09"
"South Africa","Cameroon","2015.0","Export","383.0","8.72","44951.94","0.06"
"South Africa","Congo, Rep.","2015.0","Export","1060.0","24.12","72414.86","0.1"
"South Africa","Cook Islands","2015.0","Export","3.0","0.07","257.12","0.0"
"South Africa","Colombia","2015.0","Export","203.0","4.62","18030.21","0.03"
"South Africa","Comoros","2015.0","Export","64.0","1.46","4706.19","0.01"
"South Africa","Cape Verde","2015.0","Export","49.0","1.12","806.89","0.0"
"South Africa","Costa Rica","2015.0","Export","42.0","0.96","1293.68","0.0"
"South Africa","Cuba","2015.0","Export","16.0","0.36","1437.48","0.0"
"South Africa","Curaçao","2015.0","Export","40.0","0.91","3909.93","0.01"
"South Africa","Christmas Island","2015.0","Export","","","",""
"South Africa","Cayman Islands","2015.0","Export","17.0","0.39","1248.31","0.0"
"South Africa","Cyprus","2015.0","Export","102.0","2.32","7689.18","0.01"
"South Africa","Czech Republic","2015.0","Export","151.0","3.44","89326.93","0.13"
"South Africa","Germany","2015.0","Export","1405.0","31.98","4237095.75","6.09"
"South Africa","Djibouti","2015.0","Export","204.0","4.64","34695.55","0.05"
"South Africa","Dominica","2015.0","Export","1.0","0.02","67.01","0.0"
"South Africa","Denmark","2015.0","Export","275.0","6.26","89154.29","0.13"
"South Africa","Dominican Republic","2015.0","Export","45.0","1.02","5709.5","0.01"
"South Africa","Algeria","2015.0","Export","86.0","1.96","85063.52","0.12"
"South Africa","East Asia & Pacific","2015.0","Export","2236.0","50.89","14461026.34","20.77"
"South Africa","Europe & Central Asia","2015.0","Export","2686.0","61.13","16864972.89","24.22"
"South Africa","Ecuador","2015.0","Export","163.0","3.71","30021.91","0.04"
"South Africa","Egypt, Arab Rep.","2015.0","Export","296.0","6.74","109309.36","0.16"
"South Africa","Eritrea","2015.0","Export","253.0","5.76","18276.01","0.03"
"South Africa","Spain","2015.0","Export","582.0","13.25","947795.45","1.36"
"South Africa","Estonia","2015.0","Export","37.0","0.84","12319.18","0.02"
"South Africa","Ethiopia(excludes Eritrea)","2015.0","Export","600.0","13.65","75309.87","0.11"
"South Africa","Finland","2015.0","Export","188.0","4.28","29655.01","0.04"
"South Africa","Fiji","2015.0","Export","36.0","0.82","2407.98","0.0"
"South Africa","Falkland Island","2015.0","Export","32.0","0.73","300.44","0.0"
"South Africa","France","2015.0","Export","963.0","21.92","625132.51","0.9"
