"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Zambia","Afghanistan","2015.0","Export","","","",""
"Zambia","Angola","2015.0","Export","42.0","2.32","3539.81","0.05"
"Zambia","Anguila","2015.0","Export","","","",""
"Zambia","Albania","2015.0","Export","","","",""
"Zambia","Andorra","2015.0","Export","","","",""
"Zambia","United Arab Emirates","2015.0","Export","72.0","3.98","69913.97","1.0"
"Zambia","Argentina","2015.0","Export","1.0","0.06","3.01","0.0"
"Zambia","Australia","2015.0","Export","72.0","3.98","208704.63","2.99"
"Zambia","Austria","2015.0","Export","2.0","0.11","6.33","0.0"
"Zambia","Azerbaijan","2015.0","Export","","","",""
"Zambia","Burundi","2015.0","Export","7.0","0.39","4431.66","0.06"
"Zambia","Belgium","2015.0","Export","28.0","1.55","2152.91","0.03"
"Zambia","Benin","2015.0","Export","1.0","0.06","2.37","0.0"
"Zambia","Burkina Faso","2015.0","Export","2.0","0.11","0.45","0.0"
"Zambia","Bangladesh","2015.0","Export","","","",""
"Zambia","Bulgaria","2015.0","Export","2.0","0.11","444.58","0.01"
"Zambia","Bahrain","2015.0","Export","","","",""
"Zambia","Bahamas, The","2015.0","Export","","","",""
"Zambia","Belarus","2015.0","Export","","","",""
"Zambia","Belize","2015.0","Export","","","",""
"Zambia","Bermuda","2015.0","Export","","","",""
"Zambia","Bolivia","2015.0","Export","","","",""
"Zambia","Brazil","2015.0","Export","9.0","0.5","3805.05","0.05"
"Zambia","Barbados","2015.0","Export","","","",""
"Zambia","Brunei","2015.0","Export","","","",""
"Zambia","Bhutan","2015.0","Export","","","",""
"Zambia","Botswana","2015.0","Export","226.0","12.49","30064.13","0.43"
"Zambia","Central African Republic","2015.0","Export","3.0","0.17","9480.4","0.14"
"Zambia","Canada","2015.0","Export","21.0","1.16","1532.76","0.02"
"Zambia","Switzerland","2015.0","Export","34.0","1.88","3091089.98","44.26"
"Zambia","Chile","2015.0","Export","52.0","2.87","211.97","0.0"
"Zambia","China","2015.0","Export","82.0","4.53","1009327.55","14.45"
"Zambia","Cote d'Ivoire","2015.0","Export","5.0","0.28","25.32","0.0"
"Zambia","Cameroon","2015.0","Export","2.0","0.11","10.64","0.0"
"Zambia","Congo, Rep.","2015.0","Export","50.0","2.76","9502.06","0.14"
"Zambia","Colombia","2015.0","Export","","","",""
"Zambia","Costa Rica","2015.0","Export","","","",""
"Zambia","Curaçao","2015.0","Export","","","",""
"Zambia","Cyprus","2015.0","Export","2.0","0.11","46.9","0.0"
"Zambia","Czech Republic","2015.0","Export","3.0","0.17","34.22","0.0"
"Zambia","Germany","2015.0","Export","45.0","2.49","23288.7","0.33"
"Zambia","Djibouti","2015.0","Export","","","",""
"Zambia","Denmark","2015.0","Export","8.0","0.44","1008.35","0.01"
"Zambia","Dominican Republic","2015.0","Export","","","",""
"Zambia","Algeria","2015.0","Export","","","",""
"Zambia","East Asia & Pacific","2015.0","Export","172.0","9.5","1984577.09","28.42"
"Zambia","Europe & Central Asia","2015.0","Export","206.0","11.38","3206038.26","45.91"
"Zambia","Ecuador","2015.0","Export","1.0","0.06","3.81","0.0"
"Zambia","Egypt, Arab Rep.","2015.0","Export","8.0","0.44","1003.38","0.01"
"Zambia","Eritrea","2015.0","Export","","","",""
"Zambia","Spain","2015.0","Export","6.0","0.33","310.26","0.0"
"Zambia","Estonia","2015.0","Export","","","",""
"Zambia","Ethiopia(excludes Eritrea)","2015.0","Export","11.0","0.61","440.31","0.01"
"Zambia","Finland","2015.0","Export","5.0","0.28","43.13","0.0"
"Zambia","Fiji","2015.0","Export","","","",""
"Zambia","France","2015.0","Export","22.0","1.22","1199.12","0.02"
"Zambia","Gabon","2015.0","Export","2.0","0.11","51.25","0.0"
"Zambia","United Kingdom","2015.0","Export","65.0","3.59","65781.69","0.94"
"Zambia","Georgia","2015.0","Export","","","",""
"Zambia","Ghana","2015.0","Export","14.0","0.77","712.83","0.01"
"Zambia","Gibraltar","2015.0","Export","","","",""
"Zambia","Guinea","2015.0","Export","3.0","0.17","19.59","0.0"
"Zambia","Gambia, The","2015.0","Export","1.0","0.06","12.28","0.0"
"Zambia","Equatorial Guinea","2015.0","Export","","","",""
"Zambia","Greece","2015.0","Export","11.0","0.61","3.45","0.0"
"Zambia","Grenada","2015.0","Export","","","",""
"Zambia","Hong Kong, China","2015.0","Export","22.0","1.22","102712.29","1.47"
"Zambia","Honduras","2015.0","Export","","","",""
"Zambia","Croatia","2015.0","Export","","","",""
"Zambia","Hungary","2015.0","Export","1.0","0.06","1.61","0.0"
"Zambia","Indonesia","2015.0","Export","2.0","0.11","1664.05","0.02"
"Zambia","India","2015.0","Export","45.0","2.49","22442.92","0.32"
"Zambia","British Indian Ocean Ter.","2015.0","Export","","","",""
"Zambia","Ireland","2015.0","Export","10.0","0.55","2.68","0.0"
"Zambia","Iran, Islamic Rep.","2015.0","Export","","","",""
"Zambia","Iceland","2015.0","Export","","","",""
"Zambia","Israel","2015.0","Export","10.0","0.55","751.23","0.01"
"Zambia","Italy","2015.0","Export","19.0","1.05","1998.32","0.03"
"Zambia","Jamaica","2015.0","Export","","","",""
"Zambia","Jordan","2015.0","Export","1.0","0.06","3.82","0.0"
"Zambia","Japan","2015.0","Export","18.0","0.99","81552.04","1.17"
"Zambia","Kenya","2015.0","Export","124.0","6.85","40182.15","0.58"
"Zambia","Kyrgyz Republic","2015.0","Export","","","",""
"Zambia","Cambodia","2015.0","Export","3.0","0.17","35.76","0.0"
"Zambia","Korea, Rep.","2015.0","Export","9.0","0.5","9747.81","0.14"
"Zambia","Kuwait","2015.0","Export","1.0","0.06","0.36","0.0"
"Zambia","Lao PDR","2015.0","Export","","","",""
