"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Zimbabwe","Afghanistan","2015.0","Export","1.0","0.07","21.71","0.0"
"Zimbabwe","Angola","2015.0","Export","2.0","0.13","6.47","0.0"
"Zimbabwe","Andorra","2015.0","Export","","","",""
"Zimbabwe","United Arab Emirates","2015.0","Export","38.0","2.55","147956.42","5.47"
"Zimbabwe","Argentina","2015.0","Export","","","",""
"Zimbabwe","American Samoa","2015.0","Export","","","",""
"Zimbabwe","Antigua and Barbuda","2015.0","Export","","","",""
"Zimbabwe","Australia","2015.0","Export","19.0","1.28","88.97","0.0"
"Zimbabwe","Austria","2015.0","Export","3.0","0.2","80.04","0.0"
"Zimbabwe","Azerbaijan","2015.0","Export","","","",""
"Zimbabwe","Burundi","2015.0","Export","3.0","0.2","40.24","0.0"
"Zimbabwe","Belgium","2015.0","Export","35.0","2.35","18815.74","0.7"
"Zimbabwe","Benin","2015.0","Export","","","",""
"Zimbabwe","Bangladesh","2015.0","Export","1.0","0.07","1.0","0.0"
"Zimbabwe","Bulgaria","2015.0","Export","2.0","0.13","12.51","0.0"
"Zimbabwe","Bahrain","2015.0","Export","","","",""
"Zimbabwe","Bahamas, The","2015.0","Export","2.0","0.13","3.84","0.0"
"Zimbabwe","Bosnia and Herzegovina","2015.0","Export","","","",""
"Zimbabwe","Belarus","2015.0","Export","","","",""
"Zimbabwe","Bermuda","2015.0","Export","","","",""
"Zimbabwe","Brazil","2015.0","Export","2.0","0.13","7.16","0.0"
"Zimbabwe","Barbados","2015.0","Export","1.0","0.07","6.4","0.0"
"Zimbabwe","Botswana","2015.0","Export","226.0","15.17","30798.98","1.14"
"Zimbabwe","Central African Republic","2015.0","Export","1.0","0.07","0.1","0.0"
"Zimbabwe","Canada","2015.0","Export","14.0","0.94","136.65","0.01"
"Zimbabwe","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Zimbabwe","Switzerland","2015.0","Export","21.0","1.41","271.96","0.01"
"Zimbabwe","Chile","2015.0","Export","1.0","0.07","0.04","0.0"
"Zimbabwe","China","2015.0","Export","33.0","2.21","4435.85","0.16"
"Zimbabwe","Cote d'Ivoire","2015.0","Export","2.0","0.13","1.62","0.0"
"Zimbabwe","Cameroon","2015.0","Export","","","",""
"Zimbabwe","Congo, Rep.","2015.0","Export","12.0","0.81","335.46","0.01"
"Zimbabwe","Colombia","2015.0","Export","","","",""
"Zimbabwe","Comoros","2015.0","Export","","","",""
"Zimbabwe","Cuba","2015.0","Export","","","",""
"Zimbabwe","Curaçao","2015.0","Export","","","",""
"Zimbabwe","Cayman Islands","2015.0","Export","","","",""
"Zimbabwe","Cyprus","2015.0","Export","1.0","0.07","0.23","0.0"
"Zimbabwe","Czech Republic","2015.0","Export","3.0","0.2","14.57","0.0"
"Zimbabwe","Germany","2015.0","Export","41.0","2.75","647.99","0.02"
"Zimbabwe","Denmark","2015.0","Export","5.0","0.34","29.32","0.0"
"Zimbabwe","Dominican Republic","2015.0","Export","","","",""
"Zimbabwe","Algeria","2015.0","Export","","","",""
"Zimbabwe","East Asia & Pacific","2015.0","Export","76.0","5.1","6334.63","0.23"
"Zimbabwe","Europe & Central Asia","2015.0","Export","238.0","15.97","28551.37","1.06"
"Zimbabwe","Egypt, Arab Rep.","2015.0","Export","8.0","0.54","124.38","0.0"
"Zimbabwe","Western Sahara","2015.0","Export","","","",""
"Zimbabwe","Spain","2015.0","Export","9.0","0.6","303.43","0.01"
"Zimbabwe","Estonia","2015.0","Export","","","",""
