"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Aruba","Belgium","2015.0","Import","23.0","0.69","2587.24","0.22","9.48","12.82","32.0","62.5","31.25","3.13","3.13","88.93","0.0","120.67","2372.43","214.82","9.48","12.82","32.0","62.5","31.25","3.13","3.13","88.93","0.0","120.67","2372.43","214.82",""
"Aruba","Bahamas, The","2015.0","Import","2.0","0.06","1929.07","0.17","6.0","6.0","2.0","100.0","0.0","0.0","0.0","6.0","6.0","0.0","1929.07","0.0","6.0","6.0","2.0","100.0","0.0","0.0","0.0","6.0","6.0","0.0","1929.07","0.0",""
"Aruba","Brazil","2015.0","Import","77.0","2.3","19169.92","1.65","8.09","3.54","102.0","73.53","22.55","0.98","2.94","30.0","0.0","313.77","6250.27","12919.65","8.09","3.54","102.0","73.53","22.55","0.98","2.94","30.0","0.0","313.77","6250.27","12919.65",""
"Aruba","Switzerland","2015.0","Import","16.0","0.48","3607.75","0.31","5.6","4.37","16.0","93.75","6.25","0.0","0.0","12.0","0.0","0.0","3361.8","84.83","5.6","4.37","16.0","93.75","6.25","0.0","0.0","12.0","0.0","0.0","3361.8","84.83",""
"Aruba","China","2015.0","Import","442.0","13.21","24112.41","2.07","11.19","14.47","569.0","95.43","3.51","0.7","0.35","57.0","0.0","55.71","20193.09","240.91","11.19","14.47","569.0","95.43","3.51","0.7","0.35","57.0","0.0","55.71","20193.09","240.91",""
"Aruba","Colombia","2015.0","Import","247.0","7.38","23372.99","2.01","8.6","6.66","331.0","75.83","17.82","2.72","3.63","88.93","0.0","2470.1","17800.74","5541.74","8.6","6.66","331.0","75.83","17.82","2.72","3.63","88.93","0.0","2470.1","17800.74","5541.74",""
"Aruba","Curaçao","2015.0","Import","197.0","5.89","16170.89","1.39","10.13","10.99","265.0","85.66","7.92","3.4","3.02","57.0","0.0","2251.3","15409.46","364.38","10.13","10.99","265.0","85.66","7.92","3.4","3.02","57.0","0.0","2251.3","15409.46","364.38",""
"Aruba","East Asia & Pacific","2015.0","Import","459.0","13.71","53693.21","4.61","11.9","21.54","680.0","95.88","2.94","0.59","0.59","57.0","0.0","55.71","49707.76","240.91","11.5","21.54","615.0","95.77","3.25","0.59","0.29","57.0","0.0","55.71","49707.76","240.91",""
"Aruba","Europe & Central Asia","2015.0","Import","928.0","27.73","179284.46","15.39","9.46","12.25","1281.0","82.36","13.35","2.11","2.19","268.75","0.0","53288.26","153897.3","22259.48","9.37","12.25","1160.0","83.53","13.88","1.01","1.33","268.75","0.0","53288.26","153897.3","22259.48",""
"Aruba","France","2015.0","Import","22.0","0.66","6298.32","0.54","13.98","10.88","28.0","53.57","3.57","17.86","25.0","51.32","0.0","160.99","6280.16","18.17","13.98","10.88","28.0","53.57","3.57","17.86","25.0","51.32","0.0","160.99","6280.16","18.17",""
