"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Afghanistan","United Arab Emirates","2015.0","Import","59.0","88.06","320516.76","4.15","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Argentina","2015.0","Import","2.0","2.99","87.42","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Armenia","2015.0","Import","1.0","1.49","45.9","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Australia","2015.0","Import","7.0","10.45","1259.05","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Austria","2015.0","Import","5.0","7.46","147.02","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Azerbaijan","2015.0","Import","3.0","4.48","35967.57","0.47","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Belgium","2015.0","Import","11.0","16.42","1234.53","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Bangladesh","2015.0","Import","8.0","11.94","3235.22","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Bulgaria","2015.0","Import","2.0","2.99","83.03","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Bosnia and Herzegovina","2015.0","Import","1.0","1.49","0.54","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Brazil","2015.0","Import","7.0","10.45","10395.09","0.13","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Canada","2015.0","Import","6.0","8.96","2576.34","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Switzerland","2015.0","Import","13.0","19.4","6123.53","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","China","2015.0","Import","58.0","86.57","1043998.24","13.52","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Colombia","2015.0","Import","1.0","1.49","36.22","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Costa Rica","2015.0","Import","1.0","1.49","0.87","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Czech Republic","2015.0","Import","2.0","2.99","367.49","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Germany","2015.0","Import","22.0","32.84","30984.39","0.4","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Denmark","2015.0","Import","16.0","23.88","1032.09","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","East Asia & Pacific","2015.0","Import","61.0","91.04","1882427.39","24.37","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Europe & Central Asia","2015.0","Import","60.0","89.55","1866478.78","24.17","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Ecuador","2015.0","Import","1.0","1.49","16.44","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Egypt, Arab Rep.","2015.0","Import","8.0","11.94","1167.8","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Spain","2015.0","Import","11.0","16.42","2386.76","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Estonia","2015.0","Import","1.0","1.49","193.97","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Finland","2015.0","Import","3.0","4.48","187.5","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","France","2015.0","Import","12.0","17.91","9766.76","0.13","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","United Kingdom","2015.0","Import","18.0","26.87","7781.99","0.1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Ghana","2015.0","Import","1.0","1.49","0.18","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Greece","2015.0","Import","1.0","1.49","7.27","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Guatemala","2015.0","Import","3.0","4.48","328.54","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Hong Kong, China","2015.0","Import","16.0","23.88","3353.61","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Hungary","2015.0","Import","5.0","7.46","39.75","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Indonesia","2015.0","Import","27.0","40.3","67584.18","0.88","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","India","2015.0","Import","45.0","67.16","130617.62","1.69","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Ireland","2015.0","Import","11.0","16.42","7450.08","0.1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Iran, Islamic Rep.","2015.0","Import","59.0","88.06","1807982.23","23.41","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Iraq","2015.0","Import","2.0","2.99","439.6","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Israel","2015.0","Import","1.0","1.49","3.87","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Italy","2015.0","Import","15.0","22.39","4770.99","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Jamaica","2015.0","Import","3.0","4.48","115.71","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Jordan","2015.0","Import","3.0","4.48","1407.77","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Japan","2015.0","Import","29.0","43.28","292077.37","3.78","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Kazakhstan","2015.0","Import","18.0","26.87","426842.22","5.53","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Kenya","2015.0","Import","7.0","10.45","77142.36","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Kyrgyz Republic","2015.0","Import","2.0","2.99","2982.24","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Korea, Rep.","2015.0","Import","25.0","37.31","91780.43","1.19","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Lebanon","2015.0","Import","4.0","5.97","1827.34","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Latin America & Caribbean","2015.0","Import","15.0","22.39","12200.27","0.16","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Sri Lanka","2015.0","Import","9.0","13.43","1036.64","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Lithuania","2015.0","Import","4.0","5.97","526.42","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","Maldives","2015.0","Import","1.0","1.49","49.87","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
