"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Angola","Afghanistan","2015.0","Import","14.0","0.34","266.43","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Albania","2015.0","Import","13.0","0.32","331.77","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Andorra","2015.0","Import","4.0","0.1","20.31","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","United Arab Emirates","2015.0","Import","2110.0","51.35","389148.42","2.32","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Argentina","2015.0","Import","136.0","3.31","119894.22","0.72","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Armenia","2015.0","Import","1.0","0.02","1.63","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","American Samoa","2015.0","Import","6.0","0.15","909.49","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Antigua and Barbuda","2015.0","Import","18.0","0.44","6975.99","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Australia","2015.0","Import","205.0","4.99","7784.2","0.05","7.72","10.09","85.0","100.0","0.0","0.0","0.0","50.0","2.0","0.0","4407.06","0.0","7.72","10.09","85.0","100.0","0.0","0.0","0.0","50.0","2.0","0.0","4407.06","0.0",""
"Angola","Austria","2015.0","Import","278.0","6.77","29729.79","0.18","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Azerbaijan","2015.0","Import","9.0","0.22","48.24","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Belgium","2015.0","Import","2025.0","49.28","668787.49","3.99","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Benin","2015.0","Import","56.0","1.36","712.79","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Burkina Faso","2015.0","Import","4.0","0.1","29.4","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Bangladesh","2015.0","Import","51.0","1.24","3696.39","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Bulgaria","2015.0","Import","88.0","2.14","2057.07","0.01","18.28","10.94","42.0","100.0","0.0","0.0","0.0","50.0","2.0","0.0","987.41","0.0","18.28","10.94","42.0","100.0","0.0","0.0","0.0","50.0","2.0","0.0","987.41","0.0",""
"Angola","Bahrain","2015.0","Import","4.0","0.1","668.49","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Bahamas, The","2015.0","Import","5.0","0.12","207.88","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Bosnia and Herzegovina","2015.0","Import","1.0","0.02","5.84","0.0","30.0","30.0","1.0","100.0","0.0","0.0","0.0","30.0","30.0","0.0","1038.81","0.0","30.0","30.0","1.0","100.0","0.0","0.0","0.0","30.0","30.0","0.0","1038.81","0.0",""
"Angola","Belarus","2015.0","Import","65.0","1.58","355.38","0.0","4.93","2.34","91.0","100.0","0.0","0.0","0.0","50.0","2.0","0.0","5138.8","0.0","4.93","2.34","91.0","100.0","0.0","0.0","0.0","50.0","2.0","0.0","5138.8","0.0",""
"Angola","Belize","2015.0","Import","2.0","0.05","13.9","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Bolivia","2015.0","Import","7.0","0.17","158.45","0.0","4.0","4.61","9.0","100.0","0.0","0.0","0.0","10.0","2.0","0.0","38.22","0.0","4.0","4.61","9.0","100.0","0.0","0.0","0.0","10.0","2.0","0.0","38.22","0.0",""
"Angola","Brazil","2015.0","Import","1924.0","46.82","755490.2","4.51","10.49","12.82","2322.0","100.0","0.0","0.0","0.0","50.0","2.0","0.0","646904.93","0.0","10.49","12.82","2322.0","100.0","0.0","0.0","0.0","50.0","2.0","0.0","646904.93","0.0",""
"Angola","Brunei","2015.0","Import","3.0","0.07","5.31","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Botswana","2015.0","Import","22.0","0.54","841.59","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Canada","2015.0","Import","526.0","12.8","68128.54","0.41","8.73","27.79","362.0","100.0","0.0","0.0","0.0","50.0","2.0","0.0","54250.24","0.0","8.73","27.79","362.0","100.0","0.0","0.0","0.0","50.0","2.0","0.0","54250.24","0.0",""
"Angola","Switzerland","2015.0","Import","808.0","19.66","33796.51","0.2","8.27","4.83","539.0","100.0","0.0","0.0","0.0","50.0","2.0","0.0","22890.01","0.0","8.27","4.83","539.0","100.0","0.0","0.0","0.0","50.0","2.0","0.0","22890.01","0.0",""
"Angola","Chile","2015.0","Import","24.0","0.58","2670.83","0.02","24.0","23.24","12.0","100.0","0.0","0.0","0.0","50.0","10.0","0.0","1658.72","0.0","24.0","23.24","12.0","100.0","0.0","0.0","0.0","50.0","10.0","0.0","1658.72","0.0",""
"Angola","China","2015.0","Import","2931.0","71.33","2825187.8","16.86","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Cote d'Ivoire","2015.0","Import","73.0","1.78","5736.27","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Cameroon","2015.0","Import","27.0","0.66","922.06","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Congo, Rep.","2015.0","Import","307.0","7.47","8216.83","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Colombia","2015.0","Import","34.0","0.83","7569.38","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Cape Verde","2015.0","Import","9.0","0.22","17.72","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Costa Rica","2015.0","Import","2.0","0.05","36.02","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Cuba","2015.0","Import","77.0","1.87","19217.25","0.11","","","","","","","","","","","","","","","","","","","","","","","","",""
