"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Albania","Afghanistan","2015.0","Import","1.0","0.04","6.94","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Albania","United Arab Emirates","2015.0","Import","18.0","0.64","5492.18","0.13","5.23","2.84","35.0","54.29","45.71","0.0","0.0","15.0","0.0","0.0","83.87","57.09","5.23","2.84","35.0","54.29","45.71","0.0","0.0","15.0","0.0","0.0","83.87","57.09",""
"Albania","Argentina","2015.0","Import","10.0","0.36","17148.6","0.4","5.0","0.7","3.0","66.67","33.33","0.0","0.0","10.0","0.0","0.0","219.35","2892.31","5.0","0.7","3.0","66.67","33.33","0.0","0.0","10.0","0.0","0.0","219.35","2892.31",""
"Albania","Armenia","2015.0","Import","1.0","0.04","3.22","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Albania","Antigua and Barbuda","2015.0","Import","1.0","0.04","0.26","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Albania","Australia","2015.0","Import","3.0","0.11","1104.05","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Albania","Austria","2015.0","Import","274.0","9.73","57976.25","1.34","0.0","0.0","445.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","14417.18","4.48","1.84","445.0","53.03","46.97","0.0","0.0","15.0","0.0","0.0","4630.05","9787.13","1.0"
"Albania","Burundi","2015.0","Import","1.0","0.04","0.54","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Albania","Belgium","2015.0","Import","131.0","4.65","23170.01","0.54","0.26","0.52","166.0","3.61","96.39","0.0","0.0","10.0","0.0","0.0","333.43","6019.7","3.61","2.84","166.0","51.81","48.19","0.0","0.0","15.0","0.0","0.0","2384.57","3968.56","1.0"
"Albania","Benin","2015.0","Import","1.0","0.04","0.53","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Albania","Burkina Faso","2015.0","Import","1.0","0.04","6.78","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Albania","Bangladesh","2015.0","Import","101.0","3.59","5645.82","0.13","0.0","0.0","35.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1567.82","0.0","0.0","35.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1567.82",""
"Albania","Bulgaria","2015.0","Import","228.0","8.1","59326.35","1.37","0.15","1.05","375.0","3.73","96.27","0.0","0.0","10.0","0.0","0.0","4582.9","28699.55","3.8","3.72","375.0","50.93","49.07","0.0","0.0","15.0","0.0","0.0","20606.13","12676.33","1.0"
"Albania","Bahrain","2015.0","Import","2.0","0.07","1007.8","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Albania","Bahamas, The","2015.0","Import","1.0","0.04","3.19","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Albania","Bosnia and Herzegovina","2015.0","Import","31.0","1.1","25528.96","0.59","0.0","0.0","36.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","6646.92","4.11","1.1","36.0","55.56","44.44","0.0","0.0","15.0","0.0","0.0","730.92","5916.0","1.0"
"Albania","Belarus","2015.0","Import","1.0","0.04","95.81","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
