"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"United Arab Emirates","Aruba","2015.0","Import","1.0","0.02","0.03","0.0","5.0","5.0","13.0","92.31","0.0","7.69","0.0","5.0","5.0","153.79","194.19","0.0","5.0","5.0","13.0","92.31","0.0","7.69","0.0","5.0","5.0","153.79","194.19","0.0",""
"United Arab Emirates","Afghanistan","2015.0","Import","111.0","2.48","19542.54","0.01","4.37","3.02","489.0","85.69","13.29","1.02","0.0","5.0","0.0","367.05","17304.88","8553.98","4.37","3.02","489.0","85.69","13.29","1.02","0.0","5.0","0.0","367.05","17304.88","8553.98",""
"United Arab Emirates","Angola","2015.0","Import","33.0","0.74","1056613.91","0.37","4.2","0.03","43.0","79.07","20.93","0.0","0.0","5.0","0.0","0.0","7173.51","1307930.03","4.2","0.03","43.0","79.07","20.93","0.0","0.0","5.0","0.0","0.0","7173.51","1307930.03",""
"United Arab Emirates","Anguila","2015.0","Import","5.0","0.11","7.08","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","8.13","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","8.13","0.0",""
"United Arab Emirates","Albania","2015.0","Import","165.0","3.68","4163.68","0.0","4.84","4.99","289.0","95.16","4.84","0.0","0.0","5.0","0.0","0.0","5491.29","12.45","4.84","4.99","289.0","95.16","4.84","0.0","0.0","5.0","0.0","0.0","5491.29","12.45",""
"United Arab Emirates","Andorra","2015.0","Import","12.0","0.27","151.97","0.0","4.38","0.05","53.0","84.91","15.09","0.0","0.0","5.0","0.0","0.0","183.77","16679.73","4.38","0.05","53.0","84.91","15.09","0.0","0.0","5.0","0.0","0.0","183.77","16679.73",""
"United Arab Emirates","Argentina","2015.0","Import","383.0","8.55","193375.38","0.07","4.39","3.01","967.0","84.49","14.17","0.93","0.41","100.0","0.0","5209.92","152120.73","137781.0","4.39","3.01","967.0","84.49","14.17","0.93","0.41","100.0","0.0","5209.92","152120.73","137781.0",""
"United Arab Emirates","Armenia","2015.0","Import","122.0","2.72","2688.45","0.0","4.19","4.41","233.0","84.55","13.73","1.72","0.0","5.0","0.0","4062.78","7246.77","427.47","4.19","4.41","233.0","84.55","13.73","1.72","0.0","5.0","0.0","4062.78","7246.77","427.47",""
"United Arab Emirates","Australia","2015.0","Import","1781.0","39.75","2168700.49","0.76","4.37","3.96","3286.0","85.64","13.48","0.73","0.15","100.0","0.0","33524.32","2011591.23","520001.83","4.37","3.96","3286.0","85.64","13.48","0.73","0.15","100.0","0.0","33524.32","2011591.23","520001.83",""
"United Arab Emirates","Austria","2015.0","Import","1669.0","37.25","834688.55","0.29","4.53","3.84","3102.0","89.59","9.77","0.64","0.0","5.0","0.0","2882.21","967605.06","288598.0","4.53","3.84","3102.0","89.59","9.77","0.64","0.0","5.0","0.0","2882.21","967605.06","288598.0",""
"United Arab Emirates","Azerbaijan","2015.0","Import","105.0","2.34","4259.44","0.0","4.35","4.85","247.0","88.66","10.93","0.4","0.0","5.0","0.0","0.04","13871.28","433.3","4.35","4.85","247.0","88.66","10.93","0.4","0.0","5.0","0.0","0.04","13871.28","433.3",""
"United Arab Emirates","Burundi","2015.0","Import","7.0","0.16","164680.94","0.06","2.0","0.02","13.0","15.38","84.62","0.0","0.0","5.0","0.0","0.0","680.41","209481.37","2.0","0.02","13.0","15.38","84.62","0.0","0.0","5.0","0.0","0.0","680.41","209481.37",""
"United Arab Emirates","Belgium","2015.0","Import","2265.0","50.55","3801941.0","1.32","4.57","2.36","3989.0","88.82","10.25","0.83","0.1","100.0","0.0","22348.23","2277570.41","2601450.84","4.57","2.36","3989.0","88.82","10.25","0.83","0.1","100.0","0.0","22348.23","2277570.41","2601450.84",""
"United Arab Emirates","Benin","2015.0","Import","14.0","0.31","223106.8","0.08","4.29","0.02","8.0","75.0","25.0","0.0","0.0","5.0","0.0","0.0","1041.25","311149.81","4.29","0.02","8.0","75.0","25.0","0.0","0.0","5.0","0.0","0.0","1041.25","311149.81",""
"United Arab Emirates","Burkina Faso","2015.0","Import","7.0","0.16","3295.38","0.0","3.57","0.04","15.0","66.67","33.33","0.0","0.0","5.0","0.0","0.0","102.3","13568.26","3.57","0.04","15.0","66.67","33.33","0.0","0.0","5.0","0.0","0.0","102.3","13568.26",""
"United Arab Emirates","Bangladesh","2015.0","Import","618.0","13.79","277365.54","0.1","4.92","5.58","1237.0","88.28","10.67","0.24","0.81","100.0","0.0","101.48","444130.17","8461.25","4.92","5.58","1237.0","88.28","10.67","0.24","0.81","100.0","0.0","101.48","444130.17","8461.25",""
"United Arab Emirates","Bulgaria","2015.0","Import","836.0","18.66","359340.0","0.13","4.77","4.76","1384.0","88.73","10.48","0.65","0.14","100.0","0.0","418239.35","605092.07","10501.99","4.77","4.76","1384.0","88.73","10.48","0.65","0.14","100.0","0.0","418239.35","605092.07","10501.99",""
"United Arab Emirates","Bahrain","2015.0","Import","642.0","14.33","717417.98","0.25","0.0","0.0","1449.0","0.0","99.72","0.28","0.0","0.0","0.0","154.27","154.27","1071360.88","4.75","4.74","1449.0","89.03","10.14","0.55","0.28","100.0","0.0","504.32","1015658.4","55856.75","2.0"
"United Arab Emirates","Bahamas, The","2015.0","Import","19.0","0.42","1234.57","0.0","3.33","3.92","37.0","37.84","43.24","18.92","0.0","5.0","0.0","890.48","2265.15","378.21","3.33","3.92","37.0","37.84","43.24","18.92","0.0","5.0","0.0","890.48","2265.15","378.21",""
"United Arab Emirates","Bosnia and Herzegovina","2015.0","Import","266.0","5.94","11338.14","0.0","4.66","4.96","593.0","91.23","7.93","0.84","0.0","5.0","0.0","160.2","22231.49","116.52","4.66","4.96","593.0","91.23","7.93","0.84","0.0","5.0","0.0","160.2","22231.49","116.52",""
"United Arab Emirates","Belarus","2015.0","Import","126.0","2.81","9114.64","0.0","4.31","4.74","363.0","86.5","12.67","0.83","0.0","5.0","0.0","3445.27","36048.62","1803.12","4.31","4.74","363.0","86.5","12.67","0.83","0.0","5.0","0.0","3445.27","36048.62","1803.12",""
"United Arab Emirates","Belize","2015.0","Import","8.0","0.18","181.49","0.0","10.0","17.07","29.0","44.83","41.38","0.0","13.79","100.0","0.0","0.0","583.68","187.32","10.0","17.07","29.0","44.83","41.38","0.0","13.79","100.0","0.0","0.0","583.68","187.32",""
"United Arab Emirates","Bermuda","2015.0","Import","5.0","0.11","8.57","0.0","5.0","5.0","3.0","66.67","0.0","33.33","0.0","5.0","5.0","9.35","10.39","0.0","5.0","5.0","3.0","66.67","0.0","33.33","0.0","5.0","5.0","9.35","10.39","0.0",""
"United Arab Emirates","Bolivia","2015.0","Import","40.0","0.89","39472.85","0.01","4.58","3.16","121.0","93.39","4.96","1.65","0.0","5.0","0.0","16.07","1683.27","970.3","4.58","3.16","121.0","93.39","4.96","1.65","0.0","5.0","0.0","16.07","1683.27","970.3",""
"United Arab Emirates","Brazil","2015.0","Import","1223.0","27.29","2457499.68","0.86","4.75","7.11","2348.0","88.67","10.18","0.89","0.26","100.0","0.0","29169.94","2089543.03","1203372.76","4.75","7.11","2348.0","88.67","10.18","0.89","0.26","100.0","0.0","29169.94","2089543.03","1203372.76",""
"United Arab Emirates","Barbados","2015.0","Import","14.0","0.31","166.49","0.0","3.75","4.92","32.0","62.5","25.0","12.5","0.0","5.0","0.0","135.87","427.09","4.78","3.75","4.92","32.0","62.5","25.0","12.5","0.0","5.0","0.0","135.87","427.09","4.78",""
"United Arab Emirates","Brunei","2015.0","Import","42.0","0.94","6955.21","0.0","4.64","4.75","54.0","88.89","11.11","0.0","0.0","5.0","0.0","0.0","39.18","2.06","4.64","4.75","54.0","88.89","11.11","0.0","0.0","5.0","0.0","0.0","39.18","2.06",""
"United Arab Emirates","Bhutan","2015.0","Import","2.0","0.04","0.42","0.0","4.93","5.0","30.0","96.67","3.33","0.0","0.0","5.0","0.0","0.0","51.83","0.0","4.93","5.0","30.0","96.67","3.33","0.0","0.0","5.0","0.0","0.0","51.83","0.0",""
"United Arab Emirates","Botswana","2015.0","Import","5.0","0.11","505733.4","0.18","2.0","0.24","5.0","40.0","60.0","0.0","0.0","5.0","0.0","0.0","27191.71","545376.84","2.0","0.24","5.0","40.0","60.0","0.0","0.0","5.0","0.0","0.0","27191.71","545376.84",""
"United Arab Emirates","Central African Republic","2015.0","Import","8.0","0.18","257.29","0.0","4.09","3.56","12.0","75.0","25.0","0.0","0.0","5.0","0.0","0.0","124.68","50.59","4.09","3.56","12.0","75.0","25.0","0.0","0.0","5.0","0.0","0.0","124.68","50.59",""
"United Arab Emirates","Canada","2015.0","Import","1855.0","41.4","1737375.36","0.61","4.6","3.09","3465.0","88.05","10.97","0.69","0.29","100.0","0.0","6685.2","1314299.86","814834.96","4.6","3.09","3465.0","88.05","10.97","0.69","0.29","100.0","0.0","6685.2","1314299.86","814834.96",""
"United Arab Emirates","Switzerland","2015.0","Import","1902.0","42.45","4665897.01","1.63","0.25","0.06","3437.0","6.05","93.28","0.64","0.03","100.0","0.0","59817.13","124675.82","7516692.01","4.55","1.97","3437.0","88.19","11.14","0.64","0.03","100.0","0.0","59817.13","3033642.1","4607725.73","2.0"
"United Arab Emirates","Chile","2015.0","Import","330.0","7.36","102655.23","0.04","4.19","2.71","912.0","82.68","15.9","1.43","0.0","5.0","0.0","19045.82","118637.43","84487.94","4.19","2.71","912.0","82.68","15.9","1.43","0.0","5.0","0.0","19045.82","118637.43","84487.94",""
