"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Argentina","Afghanistan","2015.0","Import","14.0","0.35","6.34","0.0","12.21","8.28","25.0","92.0","8.0","0.0","0.0","18.0","0.0","0.0","4.72","1.63","12.21","8.28","25.0","92.0","8.0","0.0","0.0","18.0","0.0","0.0","4.72","1.63",""
"Argentina","Angola","2015.0","Import","2.0","0.05","28.03","0.0","6.0","6.0","1.0","100.0","0.0","0.0","0.0","6.0","6.0","0.0","27.96","0.0","6.0","6.0","1.0","100.0","0.0","0.0","0.0","6.0","6.0","0.0","27.96","0.0","1.0"
"Argentina","Albania","2015.0","Import","10.0","0.25","201.67","0.0","20.63","30.53","27.0","88.89","11.11","0.0","0.0","35.0","0.0","0.0","201.67","0.0","20.63","30.53","27.0","88.89","11.11","0.0","0.0","35.0","0.0","0.0","201.67","0.0",""
"Argentina","Andorra","2015.0","Import","5.0","0.12","261.32","0.0","23.6","16.16","7.0","100.0","0.0","0.0","0.0","35.0","14.0","0.0","261.32","0.0","23.6","16.16","7.0","100.0","0.0","0.0","0.0","35.0","14.0","0.0","261.32","0.0",""
"Argentina","United Arab Emirates","2015.0","Import","118.0","2.92","40069.94","0.07","13.3","5.9","420.0","91.67","8.33","0.0","0.0","35.0","0.0","0.0","39681.79","387.9","13.3","5.9","420.0","91.67","8.33","0.0","0.0","35.0","0.0","0.0","39681.79","387.9",""
"Argentina","Argentina","2015.0","Import","436.0","10.78","30330.45","0.05","0.49","0.84","1332.0","2.33","97.67","0.0","0.0","20.0","0.0","0.0","2507.64","27809.97","14.56","12.03","1332.0","91.67","8.33","0.0","0.0","35.0","0.0","0.0","29262.84","1054.76","2.0"
"Argentina","Armenia","2015.0","Import","7.0","0.17","17.53","0.0","6.81","7.68","73.0","98.63","1.37","0.0","0.0","18.0","0.0","0.0","17.53","0.0","6.81","7.68","73.0","98.63","1.37","0.0","0.0","18.0","0.0","0.0","17.53","0.0",""
"Argentina","Australia","2015.0","Import","379.0","9.37","267974.08","0.45","12.96","2.12","1470.0","88.03","11.97","0.0","0.0","35.0","0.0","0.0","148117.73","119942.98","12.96","2.12","1470.0","88.03","11.97","0.0","0.0","35.0","0.0","0.0","148117.73","119942.98",""
"Argentina","Austria","2015.0","Import","801.0","19.8","167377.81","0.28","13.61","11.86","2695.0","90.35","9.65","0.0","0.0","35.0","0.0","0.0","163666.9","3621.99","13.61","11.86","2695.0","90.35","9.65","0.0","0.0","35.0","0.0","0.0","163666.9","3621.99",""
"Argentina","Azerbaijan","2015.0","Import","1.0","0.02","30.82","0.0","8.22","8.22","45.0","97.78","2.22","0.0","0.0","14.0","0.0","0.0","30.82","0.0","8.22","8.22","45.0","97.78","2.22","0.0","0.0","14.0","0.0","0.0","30.82","0.0",""
"Argentina","Burundi","2015.0","Import","1.0","0.02","2.61","0.0","10.0","10.0","2.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","2.61","0.0","10.0","10.0","2.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","2.61","0.0",""
"Argentina","Belgium","2015.0","Import","970.0","23.97","286513.36","0.48","12.51","8.46","3448.0","91.94","8.06","0.0","0.0","35.0","0.0","0.0","276414.48","9174.13","12.51","8.46","3448.0","91.94","8.06","0.0","0.0","35.0","0.0","0.0","276414.48","9174.13",""
"Argentina","Bangladesh","2015.0","Import","80.0","1.98","10405.64","0.02","30.96","31.35","113.0","93.81","6.19","0.0","0.0","35.0","0.0","0.0","10406.13","1.59","30.96","31.35","113.0","93.81","6.19","0.0","0.0","35.0","0.0","0.0","10406.13","1.59",""
"Argentina","Bulgaria","2015.0","Import","220.0","5.44","11334.64","0.02","17.87","12.45","746.0","90.35","9.65","0.0","0.0","35.0","0.0","0.0","11329.93","0.56","17.88","12.46","746.0","90.35","9.65","0.0","0.0","35.0","0.0","0.0","11329.93","0.56","1.0"
"Argentina","Bahrain","2015.0","Import","4.0","0.1","276.35","0.0","14.21","14.64","16.0","37.5","62.5","0.0","0.0","26.0","0.0","0.0","276.35","0.0","14.21","14.64","16.0","37.5","62.5","0.0","0.0","26.0","0.0","0.0","276.35","0.0",""
"Argentina","Bahamas, The","2015.0","Import","2.0","0.05","3098.19","0.01","11.0","13.99","6.0","66.67","33.33","0.0","0.0","18.0","0.0","0.0","3098.19","0.0","11.0","13.99","6.0","66.67","33.33","0.0","0.0","18.0","0.0","0.0","3098.19","0.0",""
"Argentina","Bosnia and Herzegovina","2015.0","Import","35.0","0.87","482.64","0.0","13.76","11.56","110.0","90.91","9.09","0.0","0.0","35.0","0.0","0.0","479.76","2.86","13.76","11.56","110.0","90.91","9.09","0.0","0.0","35.0","0.0","0.0","479.76","2.86",""
"Argentina","Belarus","2015.0","Import","86.0","2.13","9059.87","0.02","14.72","5.37","296.0","84.12","15.88","0.0","0.0","35.0","0.0","0.0","5255.87","3804.0","14.72","5.37","296.0","84.12","15.88","0.0","0.0","35.0","0.0","0.0","5255.87","3804.0",""
"Argentina","Bolivia","2015.0","Import","86.0","2.13","1480266.75","2.48","0.05","0.0","207.0","0.48","99.52","0.0","0.0","8.0","0.0","0.0","7.01","1480883.84","12.9","0.48","207.0","90.34","9.66","0.0","0.0","35.0","0.0","0.0","77393.66","1403497.19","6.0"
"Argentina","Brazil","2015.0","Import","2417.0","59.74","13006155.7","21.77","0.0","0.0","6037.0","0.02","99.98","0.0","0.0","12.0","0.0","0.0","226.91","13005300.95","15.08","15.22","6037.0","93.34","6.66","0.0","0.0","35.0","0.0","0.0","12904196.13","101331.72","11.0"
"Argentina","Barbados","2015.0","Import","2.0","0.05","83.67","0.0","5.25","5.25","8.0","37.5","62.5","0.0","0.0","14.0","0.0","0.0","83.65","0.0","5.25","5.25","8.0","37.5","62.5","0.0","0.0","14.0","0.0","0.0","83.65","0.0",""
"Argentina","Canada","2015.0","Import","910.0","22.49","461750.72","0.77","12.98","9.01","3065.0","90.47","9.53","0.0","0.0","35.0","0.0","0.0","412546.03","49600.69","12.98","9.01","3065.0","90.47","9.53","0.0","0.0","35.0","0.0","0.0","412546.03","49600.69",""
"Argentina","Switzerland","2015.0","Import","1160.0","28.67","688727.9","1.15","12.52","8.78","4127.0","92.08","7.92","0.0","0.0","35.0","0.0","0.0","644093.96","44856.62","12.52","8.78","4127.0","92.08","7.92","0.0","0.0","35.0","0.0","0.0","644093.96","44856.62",""
"Argentina","Chile","2015.0","Import","671.0","16.58","717274.62","1.2","0.02","0.01","1781.0","0.17","99.83","0.0","0.0","8.0","0.0","0.0","990.26","716232.99","13.19","11.94","1781.0","91.52","8.48","0.0","0.0","35.0","0.0","0.0","672989.93","44233.32","5.0"
"Argentina","China","2015.0","Import","2879.0","71.16","11742518.19","19.65","15.31","13.57","7046.0","92.9","7.1","0.0","0.0","35.0","0.0","0.0","11481187.59","267249.68","15.31","13.57","7046.0","92.9","7.1","0.0","0.0","35.0","0.0","0.0","11481187.59","267249.68",""
"Argentina","Cote d'Ivoire","2015.0","Import","3.0","0.07","1825.23","0.0","4.0","0.25","8.0","87.5","12.5","0.0","0.0","6.0","0.0","0.0","75.83","1749.39","4.0","0.25","8.0","87.5","12.5","0.0","0.0","6.0","0.0","0.0","75.83","1749.39",""
"Argentina","Cameroon","2015.0","Import","5.0","0.12","420.85","0.0","6.67","6.41","20.0","100.0","0.0","0.0","0.0","10.0","6.0","0.0","420.85","0.0","6.67","6.41","20.0","100.0","0.0","0.0","0.0","10.0","6.0","0.0","420.85","0.0","1.0"
"Argentina","Congo, Rep.","2015.0","Import","6.0","0.15","66.77","0.0","7.0","6.11","8.0","87.5","12.5","0.0","0.0","10.0","0.0","0.0","65.21","1.57","7.0","6.11","8.0","87.5","12.5","0.0","0.0","10.0","0.0","0.0","65.21","1.57",""
"Argentina","Colombia","2015.0","Import","311.0","7.69","231422.54","0.39","0.83","0.61","984.0","9.86","90.14","0.0","0.0","35.0","0.0","0.0","57995.89","173424.37","15.21","10.3","984.0","90.14","9.86","0.0","0.0","35.0","0.0","0.0","172269.68","59150.58","5.0"
"Argentina","Comoros","2015.0","Import","1.0","0.02","17.73","0.0","10.83","10.83","12.0","100.0","0.0","0.0","0.0","14.0","2.0","0.0","17.73","0.0","10.83","10.83","12.0","100.0","0.0","0.0","0.0","14.0","2.0","0.0","17.73","0.0",""
"Argentina","Costa Rica","2015.0","Import","86.0","2.13","26924.81","0.05","13.68","7.63","380.0","84.47","15.53","0.0","0.0","35.0","0.0","0.0","14747.9","12176.13","13.68","7.63","380.0","84.47","15.53","0.0","0.0","35.0","0.0","0.0","14747.9","12176.13",""
"Argentina","Cuba","2015.0","Import","9.0","0.22","22136.19","0.04","0.8","0.0","62.0","4.84","95.16","0.0","0.0","11.52","0.0","0.0","0.74","22139.61","9.27","5.48","62.0","93.55","6.45","0.0","0.0","20.0","0.0","0.0","22140.36","0.0","5.0"
"Argentina","Curaçao","2015.0","Import","10.0","0.25","4937.03","0.01","12.28","1.25","51.0","74.51","25.49","0.0","0.0","18.0","0.0","0.0","4937.03","0.0","12.28","1.25","51.0","74.51","25.49","0.0","0.0","18.0","0.0","0.0","4937.03","0.0",""
"Argentina","Cyprus","2015.0","Import","12.0","0.3","64.5","0.0","13.85","9.95","45.0","84.44","15.56","0.0","0.0","35.0","0.0","0.0","64.5","0.0","13.85","9.95","45.0","84.44","15.56","0.0","0.0","35.0","0.0","0.0","64.5","0.0",""
"Argentina","Czech Republic","2015.0","Import","687.0","16.98","157613.41","0.26","13.81","14.01","2192.0","89.05","10.95","0.0","0.0","35.0","0.0","0.0","156793.16","803.89","13.81","14.01","2192.0","89.05","10.95","0.0","0.0","35.0","0.0","0.0","156793.16","803.89",""
"Argentina","Germany","2015.0","Import","2240.0","55.36","3130093.47","5.24","12.43","11.06","6201.0","92.15","7.85","0.0","0.0","35.0","0.0","0.0","2956505.5","170693.68","12.43","11.06","6201.0","92.15","7.85","0.0","0.0","35.0","0.0","0.0","2956505.5","170693.68",""
"Argentina","Djibouti","2015.0","Import","1.0","0.02","23.73","0.0","3.2","3.2","5.0","40.0","60.0","0.0","0.0","8.0","0.0","0.0","23.73","0.0","3.2","3.2","5.0","40.0","60.0","0.0","0.0","8.0","0.0","0.0","23.73","0.0",""
"Argentina","Dominica","2015.0","Import","1.0","0.02","4.0","0.0","10.83","10.83","12.0","100.0","0.0","0.0","0.0","14.0","2.0","0.0","4.0","0.0","10.83","10.83","12.0","100.0","0.0","0.0","0.0","14.0","2.0","0.0","4.0","0.0",""
"Argentina","Denmark","2015.0","Import","627.0","15.5","171539.52","0.29","13.39","9.39","2343.0","89.76","10.24","0.0","0.0","35.0","0.0","0.0","163245.29","8354.88","13.39","9.39","2343.0","89.76","10.24","0.0","0.0","35.0","0.0","0.0","163245.29","8354.88",""
"Argentina","Dominican Republic","2015.0","Import","70.0","1.73","3166.4","0.01","15.06","12.34","269.0","86.62","13.38","0.0","0.0","35.0","0.0","0.0","3166.15","0.0","15.06","12.34","269.0","86.62","13.38","0.0","0.0","35.0","0.0","0.0","3166.15","0.0",""
"Argentina","Algeria","2015.0","Import","1.0","0.02","21.51","0.0","13.0","13.0","4.0","100.0","0.0","0.0","0.0","16.0","12.0","0.0","21.51","0.0","13.0","13.0","4.0","100.0","0.0","0.0","0.0","16.0","12.0","0.0","21.51","0.0","1.0"
"Argentina","East Asia & Pacific","2015.0","Import","3128.0","77.31","16396670.34","27.44","15.35","13.35","27480.0","90.47","9.53","0.0","0.0","35.0","0.0","0.0","15786675.08","620169.57","15.08","13.35","7547.0","92.61","7.39","0.0","0.0","35.0","0.0","0.0","15786675.08","620169.57","8.0"
"Argentina","Europe & Central Asia","2015.0","Import","3389.0","83.76","11962991.95","20.02","13.94","10.11","66887.0","91.19","8.81","0.0","0.0","35.0","0.0","0.0","10840421.54","1118478.14","14.14","10.11","8004.0","92.42","7.58","0.0","0.0","35.0","0.0","0.0","10840421.54","1118478.14","3.0"
"Argentina","Ecuador","2015.0","Import","87.0","2.15","271572.22","0.45","0.29","0.0","216.0","16.2","83.8","0.0","0.0","15.75","0.0","0.0","95.7","271684.16","14.55","13.75","216.0","95.37","4.63","0.0","0.0","35.0","0.0","0.0","271771.51","8.35","6.0"
"Argentina","Egypt, Arab Rep.","2015.0","Import","69.0","1.71","6551.48","0.01","18.28","15.07","201.0","91.04","8.96","0.0","0.0","35.0","0.0","0.0","6486.02","64.85","18.38","15.18","201.0","91.04","8.96","0.0","0.0","35.0","0.0","0.0","6486.02","64.85","1.0"
"Argentina","Eritrea","2015.0","Import","1.0","0.02","8.51","0.0","6.0","6.0","2.0","100.0","0.0","0.0","0.0","8.0","4.0","0.0","8.51","0.0","6.0","6.0","2.0","100.0","0.0","0.0","0.0","8.0","4.0","0.0","8.51","0.0",""
"Argentina","Spain","2015.0","Import","1790.0","44.24","956810.88","1.6","14.32","11.53","5010.0","92.53","7.47","0.0","0.0","35.0","0.0","0.0","887668.42","69284.91","14.32","11.53","5010.0","92.53","7.47","0.0","0.0","35.0","0.0","0.0","887668.42","69284.91",""
"Argentina","Estonia","2015.0","Import","117.0","2.89","65969.23","0.11","13.78","7.22","470.0","87.66","12.34","0.0","0.0","35.0","0.0","0.0","65712.83","256.4","13.78","7.22","470.0","87.66","12.34","0.0","0.0","35.0","0.0","0.0","65712.83","256.4",""
"Argentina","Ethiopia(excludes Eritrea)","2015.0","Import","2.0","0.05","42.66","0.0","8.0","6.82","4.0","100.0","0.0","0.0","0.0","10.0","4.0","0.0","42.66","0.0","8.0","6.82","4.0","100.0","0.0","0.0","0.0","10.0","4.0","0.0","42.66","0.0",""
"Argentina","Finland","2015.0","Import","481.0","11.89","140642.41","0.24","13.89","11.06","1599.0","89.37","10.63","0.0","0.0","35.0","0.0","0.0","138419.02","2256.99","13.89","11.06","1599.0","89.37","10.63","0.0","0.0","35.0","0.0","0.0","138419.02","2256.99",""
"Argentina","Fiji","2015.0","Import","3.0","0.07","20.83","0.0","9.33","8.4","3.0","100.0","0.0","0.0","0.0","10.0","8.0","0.0","20.83","0.0","9.33","8.4","3.0","100.0","0.0","0.0","0.0","10.0","8.0","0.0","20.83","0.0",""
"Argentina","France","2015.0","Import","1794.0","44.34","1450262.89","2.43","13.71","11.58","5269.0","92.56","7.44","0.0","0.0","35.0","0.0","0.0","1295690.6","154292.57","13.71","11.58","5269.0","92.56","7.44","0.0","0.0","35.0","0.0","0.0","1295690.6","154292.57",""
"Argentina","Free Zones","2015.0","Import","89.0","2.2","140298.9","0.23","14.65","16.86","354.0","96.33","3.67","0.0","0.0","35.0","0.0","0.0","140265.92","32.99","14.65","16.86","354.0","96.33","3.67","0.0","0.0","35.0","0.0","0.0","140265.92","32.99",""
"Argentina","Gabon","2015.0","Import","2.0","0.05","1179.85","0.0","7.0","6.0","7.0","100.0","0.0","0.0","0.0","10.0","6.0","0.0","1179.85","0.0","7.0","6.0","7.0","100.0","0.0","0.0","0.0","10.0","6.0","0.0","1179.85","0.0",""
"Argentina","United Kingdom","2015.0","Import","1371.0","33.89","558492.75","0.93","12.57","9.98","4506.0","91.83","8.17","0.0","0.0","35.0","0.0","0.0","527774.16","30759.73","12.57","9.98","4506.0","91.83","8.17","0.0","0.0","35.0","0.0","0.0","527774.16","30759.73",""
"Argentina","Georgia","2015.0","Import","21.0","0.52","250.75","0.0","23.06","29.98","57.0","78.95","21.05","0.0","0.0","35.0","0.0","0.0","250.75","0.0","23.06","29.98","57.0","78.95","21.05","0.0","0.0","35.0","0.0","0.0","250.75","0.0",""
"Argentina","Ghana","2015.0","Import","1.0","0.02","0.66","0.0","6.0","6.0","1.0","100.0","0.0","0.0","0.0","6.0","6.0","0.0","0.66","0.0","6.0","6.0","1.0","100.0","0.0","0.0","0.0","6.0","6.0","0.0","0.66","0.0","1.0"
"Argentina","Guinea","2015.0","Import","1.0","0.02","2.82","0.0","14.0","14.0","2.0","100.0","0.0","0.0","0.0","14.0","14.0","0.0","2.82","0.0","14.0","14.0","2.0","100.0","0.0","0.0","0.0","14.0","14.0","0.0","2.82","0.0","1.0"
"Argentina","Equatorial Guinea","2015.0","Import","1.0","0.02","71336.22","0.12","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","71336.22","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","71336.22",""
"Argentina","Greece","2015.0","Import","60.0","1.48","13981.4","0.02","13.85","9.16","233.0","95.28","4.72","0.0","0.0","35.0","0.0","0.0","13595.75","385.48","13.85","9.16","233.0","95.28","4.72","0.0","0.0","35.0","0.0","0.0","13595.75","385.48",""
"Argentina","Grenada","2015.0","Import","1.0","0.02","198.98","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","198.98","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","198.98","0.0",""
"Argentina","Guatemala","2015.0","Import","29.0","0.72","3045.01","0.01","17.17","9.6","53.0","92.45","7.55","0.0","0.0","35.0","0.0","0.0","1982.82","1061.6","17.17","9.6","53.0","92.45","7.55","0.0","0.0","35.0","0.0","0.0","1982.82","1061.6",""
"Argentina","Hong Kong, China","2015.0","Import","310.0","7.66","33398.63","0.06","14.75","11.39","1163.0","90.71","9.29","0.0","0.0","35.0","0.0","0.0","30746.09","2682.63","14.75","11.39","1163.0","90.71","9.29","0.0","0.0","35.0","0.0","0.0","30746.09","2682.63",""
"Argentina","Honduras","2015.0","Import","27.0","0.67","14070.77","0.02","17.98","16.12","72.0","97.22","2.78","0.0","0.0","35.0","0.0","0.0","14091.48","0.0","17.98","16.12","72.0","97.22","2.78","0.0","0.0","35.0","0.0","0.0","14091.48","0.0",""
"Argentina","Croatia","2015.0","Import","110.0","2.72","3462.36","0.01","14.61","11.26","363.0","92.56","7.44","0.0","0.0","35.0","0.0","0.0","3358.82","103.06","14.61","11.26","363.0","92.56","7.44","0.0","0.0","35.0","0.0","0.0","3358.82","103.06",""
