"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Armenia","Afghanistan","2015.0","Import","1.0","0.03","0.02","0.0","10.0","10.0","4.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","0.02","0.0","10.0","10.0","4.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","0.02","0.0","1.0"
"Armenia","Angola","2015.0","Import","1.0","0.03","0.13","0.0","14.6","14.6","2.0","100.0","0.0","0.0","0.0","14.6","14.6","0.0","0.13","0.0","14.6","14.6","2.0","100.0","0.0","0.0","0.0","14.6","14.6","0.0","0.13","0.0","1.0"
"Armenia","Anguila","2015.0","Import","13.0","0.35","52.15","0.0","10.65","3.21","59.0","33.9","28.81","1.69","35.59","69.99","0.0","2.88","39.76","12.39","11.02","3.66","59.0","33.9","28.81","1.69","35.59","69.99","0.0","2.88","39.76","12.39","1.0"
"Armenia","Albania","2015.0","Import","60.0","1.63","164.06","0.01","8.36","5.47","139.0","7.19","0.72","0.0","92.09","22.27","0.0","0.0","164.05","0.0","8.54","5.5","139.0","7.19","0.72","0.0","92.09","22.27","0.0","0.0","164.05","0.0","1.0"
"Armenia","Andorra","2015.0","Import","3.0","0.08","1.44","0.0","7.89","11.14","8.0","62.5","0.0","0.0","37.5","12.0","0.02","0.0","1.44","0.0","7.89","11.14","8.0","62.5","0.0","0.0","37.5","12.0","0.02","0.0","1.44","0.0",""
"Armenia","United Arab Emirates","2015.0","Import","640.0","17.37","43577.86","1.34","8.12","2.56","1869.0","65.65","22.15","2.68","9.52","117.77","0.0","960.23","14635.08","28942.78","8.36","2.62","1869.0","65.65","22.15","2.68","9.52","117.77","0.0","960.23","14635.08","28942.78","1.0"
"Armenia","Argentina","2015.0","Import","50.0","1.36","14343.74","0.44","5.7","2.36","265.0","67.92","16.98","0.0","15.09","60.0","0.0","0.0","12988.85","1354.89","6.52","3.12","265.0","67.92","16.98","0.0","15.09","80.0","0.0","0.0","12988.85","1354.89","1.0"
"Armenia","American Samoa","2015.0","Import","3.0","0.08","0.04","0.0","2.22","1.59","8.0","50.0","50.0","0.0","0.0","10.0","0.0","0.0","0.03","0.01","2.22","1.59","8.0","50.0","50.0","0.0","0.0","10.0","0.0","0.0","0.03","0.01",""
"Armenia","Antarctica","2015.0","Import","4.0","0.11","17.01","0.0","8.09","7.36","22.0","54.55","9.09","0.0","36.36","18.0","0.0","0.0","17.01","0.0","8.09","7.36","22.0","54.55","9.09","0.0","36.36","18.0","0.0","0.0","17.01","0.0",""
"Armenia","Australia","2015.0","Import","167.0","4.53","4011.21","0.12","6.73","8.7","665.0","65.26","29.02","0.45","5.26","117.77","0.0","62.37","2611.45","1399.77","6.73","8.7","665.0","65.26","29.02","0.45","5.26","117.77","0.0","62.37","2611.45","1399.77",""
"Armenia","Austria","2015.0","Import","574.0","15.58","16229.74","0.5","7.38","3.61","2017.0","65.25","22.01","2.48","10.26","117.77","0.0","276.03","6929.55","9293.35","7.38","3.61","2017.0","65.25","22.01","2.48","10.26","117.77","0.0","276.03","6929.55","9293.35",""
"Armenia","Azerbaijan","2015.0","Import","1.0","0.03","478.46","0.01","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","478.46","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","478.46","1.0"
"Armenia","Belgium","2015.0","Import","603.0","16.37","49418.99","1.52","7.15","1.98","2112.0","61.36","24.01","0.57","14.06","117.77","0.0","248.85","12401.98","37017.01","7.15","1.98","2112.0","61.36","24.01","0.57","14.06","117.77","0.0","248.85","12401.98","37017.01",""
"Armenia","Bangladesh","2015.0","Import","183.0","4.97","7811.11","0.24","9.9","8.74","409.0","20.54","9.54","0.24","69.68","22.27","0.0","0.6","7747.38","63.73","10.18","8.75","409.0","24.21","4.65","0.24","70.9","22.27","0.0","0.6","7772.9","38.21","1.0"
"Armenia","Bulgaria","2015.0","Import","463.0","12.57","26031.96","0.8","8.05","4.42","1575.0","51.05","23.62","3.81","21.52","117.77","0.0","302.26","20258.52","5773.44","8.05","4.42","1575.0","51.05","23.62","3.81","21.52","117.77","0.0","302.26","20258.52","5773.44",""
