"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Antigua and Barbuda","Aruba","2015.0","Import","1.0","0.03","1.19","0.0","12.0","12.0","5.0","100.0","0.0","0.0","0.0","20.0","10.0","0.0","1.19","0.0","12.0","12.0","5.0","100.0","0.0","0.0","0.0","20.0","10.0","0.0","1.19","0.0",""
"Antigua and Barbuda","Anguila","2015.0","Import","9.0","0.3","4.33","0.0","17.3","14.75","29.0","96.55","3.45","0.0","0.0","20.0","0.0","0.0","4.33","0.0","17.3","14.75","29.0","96.55","3.45","0.0","0.0","20.0","0.0","0.0","4.33","0.0",""
"Antigua and Barbuda","Andorra","2015.0","Import","16.0","0.53","9.18","0.0","16.15","15.67","31.0","96.77","3.23","0.0","0.0","20.0","0.0","0.0","9.18","0.0","16.15","15.67","31.0","96.77","3.23","0.0","0.0","20.0","0.0","0.0","9.18","0.0",""
"Antigua and Barbuda","United Arab Emirates","2015.0","Import","6.0","0.2","691.75","0.15","9.0","5.02","31.0","80.65","19.35","0.0","0.0","20.0","0.0","0.0","690.47","1.27","9.0","5.02","31.0","80.65","19.35","0.0","0.0","20.0","0.0","0.0","690.47","1.27",""
"Antigua and Barbuda","Argentina","2015.0","Import","23.0","0.77","452.13","0.1","21.61","11.58","51.0","94.12","5.88","0.0","0.0","40.0","0.0","0.0","433.96","18.17","21.61","11.58","51.0","94.12","5.88","0.0","0.0","40.0","0.0","0.0","433.96","18.17",""
"Antigua and Barbuda","Australia","2015.0","Import","18.0","0.6","660.48","0.14","19.31","19.88","35.0","91.43","8.57","0.0","0.0","30.0","0.0","0.0","660.48","0.0","19.31","19.88","35.0","91.43","8.57","0.0","0.0","30.0","0.0","0.0","660.48","0.0",""
"Antigua and Barbuda","Austria","2015.0","Import","14.0","0.47","96.57","0.02","22.32","16.64","35.0","94.29","5.71","0.0","0.0","70.0","0.0","0.0","96.57","0.0","22.32","16.64","35.0","94.29","5.71","0.0","0.0","70.0","0.0","0.0","96.57","0.0",""
"Antigua and Barbuda","Belgium","2015.0","Import","49.0","1.63","914.45","0.2","15.19","3.75","114.0","89.47","10.53","0.0","0.0","45.0","0.0","0.0","282.52","631.94","15.19","3.75","114.0","89.47","10.53","0.0","0.0","45.0","0.0","0.0","282.52","631.94",""
"Antigua and Barbuda","Bangladesh","2015.0","Import","17.0","0.57","40.61","0.01","20.0","20.0","25.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","40.61","0.0","20.0","20.0","25.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","40.61","0.0",""
"Antigua and Barbuda","Bulgaria","2015.0","Import","11.0","0.37","41.26","0.01","18.18","18.81","15.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","41.25","0.0","18.18","18.81","15.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","41.25","0.0",""
