"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Australia","Afghanistan","2015.0","Import","38.0","0.87","1044.68","0.0","0.0","0.0","56.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1044.68","1.68","4.3","56.0","42.86","57.14","0.0","0.0","5.0","0.0","0.0","930.51","114.17","2.0"
"Australia","Angola","2015.0","Import","14.0","0.32","19257.2","0.01","0.0","0.0","28.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","19257.2","2.95","0.07","28.0","60.71","39.29","0.0","0.0","5.0","0.0","0.0","262.29","18994.91","2.0"
"Australia","Anguila","2015.0","Import","7.0","0.16","100.06","0.0","3.57","3.93","8.0","75.0","25.0","0.0","0.0","5.0","0.0","0.0","78.73","21.33","3.57","3.93","8.0","75.0","25.0","0.0","0.0","5.0","0.0","0.0","78.73","21.33","1.0"
"Australia","Albania","2015.0","Import","58.0","1.33","704.52","0.0","4.28","3.54","62.0","83.87","16.13","0.0","0.0","5.0","0.0","0.0","523.53","180.98","4.28","3.54","62.0","83.87","16.13","0.0","0.0","5.0","0.0","0.0","523.53","180.98","1.0"
"Australia","United Arab Emirates","2015.0","Import","810.0","18.52","1858911.22","0.93","3.49","0.6","1187.0","68.32","31.09","0.17","0.42","5.08","0.0","4.81","238750.71","1526336.37","3.49","0.6","1187.0","68.32","31.09","0.17","0.42","5.08","0.0","4.81","238750.71","1526336.37","1.0"
"Australia","Argentina","2015.0","Import","307.0","7.02","622793.5","0.31","3.35","2.66","525.0","66.86","32.57","0.57","0.0","5.0","0.0","4775.65","335569.35","287070.07","3.35","2.66","525.0","66.86","32.57","0.57","0.0","5.0","0.0","4775.65","335569.35","287070.07","1.0"
"Australia","Armenia","2015.0","Import","28.0","0.64","263.46","0.0","4.55","4.83","31.0","90.32","9.68","0.0","0.0","5.0","0.0","0.0","255.17","8.28","4.55","4.83","31.0","90.32","9.68","0.0","0.0","5.0","0.0","0.0","255.17","8.28",""
"Australia","American Samoa","2015.0","Import","50.0","1.14","10654.62","0.01","0.0","0.0","69.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","10654.62","2.83","0.23","69.0","57.97","42.03","0.0","0.0","5.0","0.0","0.0","523.08","10131.54","1.0"
"Australia","Antarctica","2015.0","Import","1.0","0.02","2.62","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","2.62","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","2.62","0.0",""
"Australia","Antigua and Barbuda","2015.0","Import","13.0","0.3","1349.25","0.0","3.08","4.91","17.0","58.82","41.18","0.0","0.0","5.0","0.0","0.0","1328.82","20.43","3.08","4.91","17.0","58.82","41.18","0.0","0.0","5.0","0.0","0.0","1328.82","20.43","1.0"
"Australia","Australia","2015.0","Import","1657.0","37.89","783113.44","0.39","2.94","1.14","2303.0","59.92","39.73","0.04","0.3","18.96","0.0","20.88","208570.48","572249.06","2.94","1.14","2303.0","59.92","39.73","0.04","0.3","18.96","0.0","20.88","208570.48","572249.06",""
"Australia","Austria","2015.0","Import","1348.0","30.83","840180.51","0.42","3.33","2.95","1957.0","66.22","33.52","0.0","0.26","21.25","0.0","0.0","548233.39","274332.83","3.33","2.95","1957.0","66.22","33.52","0.0","0.26","21.25","0.0","0.0","548233.39","274332.83",""
"Australia","Azerbaijan","2015.0","Import","5.0","0.11","73.71","0.0","2.5","4.67","6.0","50.0","50.0","0.0","0.0","5.0","0.0","0.0","70.83","2.87","2.5","4.67","6.0","50.0","50.0","0.0","0.0","5.0","0.0","0.0","70.83","2.87",""
"Australia","Burundi","2015.0","Import","2.0","0.05","534.06","0.0","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","534.06","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","534.06","2.0"
"Australia","Belgium","2015.0","Import","1686.0","38.55","1241877.38","0.62","3.32","2.38","2340.0","66.15","33.55","0.0","0.3","18.96","0.0","0.0","655234.09","583864.24","3.32","2.38","2340.0","66.15","33.55","0.0","0.3","18.96","0.0","0.0","655234.09","583864.24",""
"Australia","Burkina Faso","2015.0","Import","7.0","0.16","36.78","0.0","0.0","0.0","15.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","36.78","3.57","2.09","15.0","73.33","26.67","0.0","0.0","5.0","0.0","0.0","19.77","17.01","2.0"
"Australia","Bangladesh","2015.0","Import","361.0","8.26","635556.93","0.32","0.0","0.0","510.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","635556.93","3.67","4.85","510.0","73.92","26.08","0.0","0.0","5.0","0.0","0.0","629287.41","6269.52","2.0"
"Australia","Bulgaria","2015.0","Import","483.0","11.05","43619.85","0.02","3.69","3.85","708.0","69.77","30.08","0.0","0.14","18.96","0.0","0.0","27374.43","13155.31","3.69","3.85","708.0","69.77","30.08","0.0","0.14","18.96","0.0","0.0","27374.43","13155.31","1.0"
"Australia","Bahamas, The","2015.0","Import","13.0","0.3","13301.64","0.01","2.29","2.13","15.0","46.67","53.33","0.0","0.0","5.0","0.0","0.0","10263.19","3037.67","2.29","2.13","15.0","46.67","53.33","0.0","0.0","5.0","0.0","0.0","10263.19","3037.67","1.0"
"Australia","Bosnia and Herzegovina","2015.0","Import","146.0","3.34","6958.89","0.0","4.15","3.91","215.0","73.49","25.58","0.0","0.93","28.08","0.0","0.0","5558.55","1400.35","4.15","3.91","215.0","73.49","25.58","0.0","0.93","28.08","0.0","0.0","5558.55","1400.35","1.0"
"Australia","Belarus","2015.0","Import","57.0","1.3","2793.65","0.0","2.38","1.0","85.0","57.65","42.35","0.0","0.0","5.0","0.0","0.0","642.72","2150.93","2.38","1.0","85.0","57.65","42.35","0.0","0.0","5.0","0.0","0.0","642.72","2150.93",""
"Australia","Belize","2015.0","Import","26.0","0.59","1449.96","0.0","2.75","1.75","41.0","56.1","43.9","0.0","0.0","5.0","0.0","0.0","580.3","869.66","2.75","1.75","41.0","56.1","43.9","0.0","0.0","5.0","0.0","0.0","580.3","869.66","1.0"
"Australia","Bermuda","2015.0","Import","19.0","0.43","1575.95","0.0","3.04","2.88","27.0","55.56","44.44","0.0","0.0","5.0","0.0","0.0","932.47","643.48","3.04","2.88","27.0","55.56","44.44","0.0","0.0","5.0","0.0","0.0","932.47","643.48","1.0"
"Australia","Bolivia","2015.0","Import","50.0","1.14","16295.76","0.01","2.69","0.32","78.0","61.54","38.46","0.0","0.0","5.0","0.0","0.0","1228.4","15067.35","2.69","0.32","78.0","61.54","38.46","0.0","0.0","5.0","0.0","0.0","1228.4","15067.35","1.0"
"Australia","Brazil","2015.0","Import","878.0","20.08","483863.77","0.24","3.31","2.44","1316.0","67.02","32.45","0.08","0.46","5.12","0.0","48.59","256713.79","225165.61","3.31","2.44","1316.0","67.02","32.45","0.08","0.46","5.12","0.0","48.59","256713.79","225165.61","1.0"
"Australia","Barbados","2015.0","Import","12.0","0.27","1186.15","0.0","2.71","4.89","13.0","53.85","46.15","0.0","0.0","5.0","0.0","0.0","1164.33","21.82","2.71","4.89","13.0","53.85","46.15","0.0","0.0","5.0","0.0","0.0","1164.33","21.82","1.0"
"Australia","Brunei","2015.0","Import","46.0","1.05","308653.52","0.15","0.16","0.0","63.0","3.17","96.83","0.0","0.0","5.0","0.0","0.0","89.81","308563.71","2.53","0.01","63.0","52.38","47.62","0.0","0.0","5.0","0.0","0.0","882.88","307770.64","2.0"
"Australia","Bhutan","2015.0","Import","10.0","0.23","304.67","0.0","0.0","0.0","30.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","304.67","4.23","4.87","30.0","76.67","23.33","0.0","0.0","5.0","0.0","0.0","304.67","0.0","2.0"
"Australia","Botswana","2015.0","Import","6.0","0.14","37.55","0.0","0.0","0.0","8.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","37.55","0.56","0.07","8.0","25.0","75.0","0.0","0.0","5.0","0.0","0.0","0.81","36.74","1.0"
"Australia","Central African Republic","2015.0","Import","7.0","0.16","140.83","0.0","0.0","0.0","16.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","140.83","3.82","4.12","16.0","68.75","31.25","0.0","0.0","5.0","0.0","0.0","140.83","0.0","2.0"
"Australia","Canada","2015.0","Import","1837.0","42.01","1668497.35","0.83","2.6","1.5","2539.0","49.51","50.14","0.04","0.32","28.08","0.0","2.73","640636.55","1026198.45","3.11","2.09","2539.0","62.58","37.06","0.04","0.32","28.08","0.0","2.73","816495.58","850339.41","1.0"
"Australia","Cocos (Keeling) Islands","2015.0","Import","9.0","0.21","71.47","0.0","3.89","3.88","13.0","76.92","23.08","0.0","0.0","5.0","0.0","0.0","65.81","5.66","3.89","3.88","13.0","76.92","23.08","0.0","0.0","5.0","0.0","0.0","65.81","5.66",""
"Australia","Switzerland","2015.0","Import","1676.0","38.33","2420414.41","1.21","3.06","1.05","2271.0","61.82","38.04","0.04","0.09","21.25","0.0","8.38","663518.63","1756593.97","3.06","1.05","2271.0","61.82","38.04","0.04","0.09","21.25","0.0","8.38","663518.63","1756593.97",""
"Australia","Chile","2015.0","Import","286.0","6.54","656657.13","0.33","0.0","0.0","407.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","655795.52","2.81","1.11","407.0","59.21","40.79","0.0","0.0","5.0","0.0","0.0","153085.15","502710.37","2.0"
"Australia","China","2015.0","Import","3723.0","85.14","46292722.37","23.13","2.83","3.07","4903.0","58.68","41.12","0.04","0.16","5.12","0.0","29.92","30786670.4","15001595.17","2.83","3.07","4903.0","58.68","41.12","0.04","0.16","5.12","0.0","29.92","30786670.4","15001595.17","1.0"
"Australia","Cote d'Ivoire","2015.0","Import","20.0","0.46","20751.51","0.01","2.08","0.02","33.0","48.48","51.52","0.0","0.0","5.0","0.0","0.0","91.48","20660.03","2.08","0.02","33.0","48.48","51.52","0.0","0.0","5.0","0.0","0.0","91.48","20660.03","1.0"
"Australia","Cameroon","2015.0","Import","60.0","1.37","660.35","0.0","3.34","3.25","117.0","68.38","31.62","0.0","0.0","5.0","0.0","0.0","506.34","154.01","3.34","3.25","117.0","68.38","31.62","0.0","0.0","5.0","0.0","0.0","506.34","154.01","1.0"
"Australia","Congo, Rep.","2015.0","Import","8.0","0.18","97034.7","0.05","2.38","0.0","16.0","56.25","43.75","0.0","0.0","5.0","0.0","0.0","33.65","97001.05","2.38","0.0","16.0","56.25","43.75","0.0","0.0","5.0","0.0","0.0","33.65","97001.05","1.0"
"Australia","Cook Islands","2015.0","Import","9.0","0.21","919.68","0.0","0.0","0.0","9.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","919.68","2.22","0.08","9.0","44.44","55.56","0.0","0.0","5.0","0.0","0.0","15.35","904.32","1.0"
"Australia","Colombia","2015.0","Import","232.0","5.31","61121.22","0.03","3.31","0.77","356.0","65.45","34.55","0.0","0.0","5.0","0.0","0.0","10924.17","49958.23","3.31","0.77","356.0","65.45","34.55","0.0","0.0","5.0","0.0","0.0","10924.17","49958.23","1.0"
"Australia","Comoros","2015.0","Import","4.0","0.09","39.71","0.0","0.0","0.0","4.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","39.71","2.5","3.16","4.0","50.0","50.0","0.0","0.0","5.0","0.0","0.0","25.08","14.63","2.0"
"Australia","Cape Verde","2015.0","Import","5.0","0.11","193.94","0.0","0.0","0.0","7.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","193.94","4.67","4.98","7.0","85.71","14.29","0.0","0.0","5.0","0.0","0.0","193.94","0.0","2.0"
"Australia","Costa Rica","2015.0","Import","133.0","3.04","83518.3","0.04","2.63","0.47","216.0","60.19","39.81","0.0","0.0","5.0","0.0","0.0","8601.25","74917.05","2.63","0.47","216.0","60.19","39.81","0.0","0.0","5.0","0.0","0.0","8601.25","74917.05","1.0"
"Australia","Cuba","2015.0","Import","17.0","0.39","9399.78","0.0","2.22","1.36","30.0","33.33","63.33","3.33","0.0","5.0","0.0","275.57","3432.69","5967.08","2.22","1.36","30.0","33.33","63.33","3.33","0.0","5.0","0.0","275.57","3432.69","5967.08","1.0"
"Australia","Curaçao","2015.0","Import","14.0","0.32","569.17","0.0","3.99","4.78","20.0","75.0","25.0","0.0","0.0","5.0","0.0","0.0","516.49","11.41","3.99","4.78","20.0","75.0","25.0","0.0","0.0","5.0","0.0","0.0","516.49","11.41",""
"Australia","Christmas Island","2015.0","Import","14.0","0.32","936.27","0.0","3.18","0.52","24.0","66.67","33.33","0.0","0.0","5.0","0.0","0.0","104.86","831.41","3.18","0.52","24.0","66.67","33.33","0.0","0.0","5.0","0.0","0.0","104.86","831.41",""
"Australia","Cayman Islands","2015.0","Import","13.0","0.3","7928.49","0.0","2.31","2.56","16.0","50.0","50.0","0.0","0.0","5.0","0.0","0.0","7840.98","87.51","2.31","2.56","16.0","50.0","50.0","0.0","0.0","5.0","0.0","0.0","7840.98","87.51","1.0"
"Australia","Cyprus","2015.0","Import","118.0","2.7","16674.17","0.01","3.5","5.5","185.0","62.7","35.68","0.0","1.62","28.08","0.0","0.0","10920.68","5751.6","3.5","5.5","185.0","62.7","35.68","0.0","1.62","28.08","0.0","0.0","10920.68","5751.6","1.0"
"Australia","Czech Republic","2015.0","Import","1099.0","25.13","630244.08","0.31","3.41","4.11","1585.0","67.7","32.05","0.0","0.25","5.08","0.0","0.0","564502.79","65124.8","3.41","4.11","1585.0","67.7","32.05","0.0","0.25","5.08","0.0","0.0","564502.79","65124.8","1.0"
"Australia","Germany","2015.0","Import","3028.0","69.24","9275084.62","4.63","2.94","3.38","4014.0","59.99","39.71","0.0","0.3","28.08","0.0","0.0","6845956.07","2380538.53","2.94","3.38","4014.0","59.99","39.71","0.0","0.3","28.08","0.0","0.0","6845956.07","2380538.53",""
