"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Austria","Aruba","2015.0","Import","2.0","0.04","2.69","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","Afghanistan","2015.0","Import","69.0","1.53","211.22","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","Angola","2015.0","Import","12.0","0.27","20419.03","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","Anguila","2015.0","Import","4.0","0.09","0.4","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","Albania","2015.0","Import","339.0","7.52","19758.51","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","Andorra","2015.0","Import","43.0","0.95","71.65","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","United Arab Emirates","2015.0","Import","849.0","18.82","161452.88","0.11","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","Argentina","2015.0","Import","433.0","9.6","170926.02","0.12","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","Armenia","2015.0","Import","60.0","1.33","2931.65","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","American Samoa","2015.0","Import","1.0","0.02","0.03","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","Antigua and Barbuda","2015.0","Import","12.0","0.27","64.74","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","Australia","2015.0","Import","1162.0","25.77","85665.2","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","Azerbaijan","2015.0","Import","80.0","1.77","369671.53","0.25","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","Burundi","2015.0","Import","8.0","0.18","1040.86","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","Belgium","2015.0","Import","2863.0","63.48","2107352.57","1.42","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","Benin","2015.0","Import","38.0","0.84","23.83","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","Bonaire","2015.0","Import","2.0","0.04","0.2","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","Burkina Faso","2015.0","Import","28.0","0.62","1703.12","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","Bangladesh","2015.0","Import","423.0","9.38","529548.12","0.36","","","","","","","","","","","","","","","","","","","","","","","","",""
