"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Azerbaijan","Anguila","2015.0","Import","1.0","0.03","5.0","0.0","4.88","0.7","26.0","96.15","3.85","0.0","0.0","15.0","0.0","0.0","5852.46","9.81","4.88","0.7","26.0","96.15","3.85","0.0","0.0","15.0","0.0","0.0","5852.46","9.81",""
"Azerbaijan","Albania","2015.0","Import","5.0","0.14","6.8","0.0","15.0","15.0","14.0","85.71","0.0","14.29","0.0","15.0","15.0","1.8","5.44","0.0","15.0","15.0","14.0","85.71","0.0","14.29","0.0","15.0","15.0","1.8","5.44","0.0",""
"Azerbaijan","Andorra","2015.0","Import","1.0","0.03","57.85","0.0","7.69","9.3","11.0","100.0","0.0","0.0","0.0","15.0","0.5","0.0","32.02","0.0","7.69","9.3","11.0","100.0","0.0","0.0","0.0","15.0","0.5","0.0","32.02","0.0",""
"Azerbaijan","United Arab Emirates","2015.0","Import","405.0","11.56","66672.65","0.72","10.02","5.68","1568.0","97.19","1.59","1.21","0.0","15.0","0.0","3950.64","58567.44","2579.81","10.02","5.68","1568.0","97.19","1.59","1.21","0.0","15.0","0.0","3950.64","58567.44","2579.81",""
"Azerbaijan","Argentina","2015.0","Import","39.0","1.11","15155.36","0.16","9.64","1.7","202.0","69.31","0.99","29.7","0.0","15.0","0.0","65.09","9318.55","1668.25","9.64","1.7","202.0","69.31","0.99","29.7","0.0","15.0","0.0","65.09","9318.55","1668.25",""
"Azerbaijan","American Samoa","2015.0","Import","3.0","0.09","8.54","0.0","10.69","10.17","6.0","100.0","0.0","0.0","0.0","15.0","0.5","0.0","3.99","0.0","10.69","10.17","6.0","100.0","0.0","0.0","0.0","15.0","0.5","0.0","3.99","0.0",""
"Azerbaijan","Australia","2015.0","Import","178.0","5.08","9105.29","0.1","9.0","3.82","430.0","81.4","3.02","15.58","0.0","15.0","0.0","196.58","3877.8","732.02","9.0","3.82","430.0","81.4","3.02","15.58","0.0","15.0","0.0","196.58","3877.8","732.02",""
"Azerbaijan","Austria","2015.0","Import","555.0","15.85","118442.2","1.29","9.29","3.34","1596.0","92.29","1.63","6.08","0.0","15.0","0.0","11261.55","76734.3","11980.21","9.29","3.34","1596.0","92.29","1.63","6.08","0.0","15.0","0.0","11261.55","76734.3","11980.21",""
"Azerbaijan","Belgium","2015.0","Import","513.0","14.65","80138.95","0.87","9.38","6.26","1421.0","95.29","4.08","0.63","0.0","15.0","0.0","223.59","63362.83","33338.27","9.38","6.26","1421.0","95.29","4.08","0.63","0.0","15.0","0.0","223.59","63362.83","33338.27",""
"Azerbaijan","Bangladesh","2015.0","Import","76.0","2.17","2213.76","0.02","14.61","14.4","118.0","99.15","0.85","0.0","0.0","15.0","0.0","0.0","800.86","33.21","14.61","14.4","118.0","99.15","0.85","0.0","0.0","15.0","0.0","0.0","800.86","33.21",""
"Azerbaijan","Bulgaria","2015.0","Import","166.0","4.74","12582.88","0.14","10.44","4.92","612.0","90.69","4.9","4.41","0.0","15.0","0.0","428.25","57659.02","5783.11","10.44","4.92","612.0","90.69","4.9","4.41","0.0","15.0","0.0","428.25","57659.02","5783.11",""
"Azerbaijan","Bahrain","2015.0","Import","5.0","0.14","283.3","0.0","15.0","15.0","5.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","1.39","0.0","15.0","15.0","5.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","1.39","0.0",""
"Azerbaijan","Bahamas, The","2015.0","Import","1.0","0.03","1.56","0.0","","","6.0","0.0","0.0","100.0","0.0","","","0.97","0.97","0.0","","","6.0","0.0","0.0","100.0","0.0","","","0.97","0.97","0.0",""
"Azerbaijan","Bosnia and Herzegovina","2015.0","Import","16.0","0.46","471.47","0.01","11.81","2.91","56.0","98.21","1.79","0.0","0.0","15.0","0.0","0.0","92.91","376.7","11.81","2.91","56.0","98.21","1.79","0.0","0.0","15.0","0.0","0.0","92.91","376.7",""
"Azerbaijan","Belarus","2015.0","Import","381.0","10.88","83594.24","0.91","0.0","0.0","1148.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","83937.65","9.59","5.73","1148.0","94.86","4.01","1.13","0.0","15.0","0.0","1227.29","75588.29","8349.36","1.0"
"Azerbaijan","Belize","2015.0","Import","1.0","0.03","69.45","0.0","9.5","7.45","122.0","99.18","0.82","0.0","0.0","15.0","0.0","0.0","2944.72","0.0","9.5","7.45","122.0","99.18","0.82","0.0","0.0","15.0","0.0","0.0","2944.72","0.0",""
"Azerbaijan","Brazil","2015.0","Import","144.0","4.11","119708.52","1.3","9.43","7.19","463.0","94.82","1.51","3.67","0.0","15.0","0.0","2.02","221158.41","272.65","9.43","7.19","463.0","94.82","1.51","3.67","0.0","15.0","0.0","2.02","221158.41","272.65",""
"Azerbaijan","Brunei","2015.0","Import","1.0","0.03","0.33","0.0","14.62","14.62","13.0","100.0","0.0","0.0","0.0","15.0","10.0","0.0","0.14","0.0","14.62","14.62","13.0","100.0","0.0","0.0","0.0","15.0","10.0","0.0","0.14","0.0",""
"Azerbaijan","Bhutan","2015.0","Import","1.0","0.03","3.79","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","Botswana","2015.0","Import","1.0","0.03","1.2","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","Canada","2015.0","Import","315.0","8.99","16580.67","0.18","9.09","4.52","866.0","94.69","3.0","2.31","0.0","15.0","0.0","197.87","33842.97","654.71","9.09","4.52","866.0","94.69","3.0","2.31","0.0","15.0","0.0","197.87","33842.97","654.71",""
