"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Burundi","Angola","2015.0","Import","2.0","0.08","4.49","0.0","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","4.49","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","4.49",""
"Burundi","Albania","2015.0","Import","4.0","0.16","39.21","0.01","15.0","33.5","4.0","25.0","50.0","0.0","25.0","35.0","0.0","0.0","37.61","1.6","15.0","33.5","4.0","25.0","50.0","0.0","25.0","35.0","0.0","0.0","37.61","1.6",""
"Burundi","United Arab Emirates","2015.0","Import","996.0","40.87","27743.76","4.95","16.51","11.06","1171.0","76.09","23.14","0.0","0.77","100.0","0.0","0.0","18350.79","9391.32","16.51","11.06","1171.0","76.09","23.14","0.0","0.77","100.0","0.0","0.0","18350.79","9391.32",""
"Burundi","Armenia","2015.0","Import","1.0","0.04","12.76","0.0","25.0","25.0","1.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","12.76","0.0","25.0","25.0","1.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","12.76","0.0",""
"Burundi","American Samoa","2015.0","Import","2.0","0.08","42.33","0.01","2.76","0.01","20.0","30.0","70.0","0.0","0.0","25.0","0.0","0.0","0.1","42.23","2.76","0.01","20.0","30.0","70.0","0.0","0.0","25.0","0.0","0.0","0.1","42.23",""
"Burundi","Australia","2015.0","Import","52.0","2.13","1005.75","0.18","16.54","31.11","56.0","75.0","23.21","0.0","1.79","35.0","0.0","0.0","931.22","74.53","16.54","31.11","56.0","75.0","23.21","0.0","1.79","35.0","0.0","0.0","931.22","74.53",""
"Burundi","Austria","2015.0","Import","16.0","0.66","56.86","0.01","3.59","4.11","18.0","22.22","77.78","0.0","0.0","25.0","0.0","0.0","18.95","37.91","3.59","4.11","18.0","22.22","77.78","0.0","0.0","25.0","0.0","0.0","18.95","37.91",""
"Burundi","Azerbaijan","2015.0","Import","1.0","0.04","0.17","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","0.17","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","0.17","0.0",""
"Burundi","Belgium","2015.0","Import","851.0","34.92","34540.25","6.16","14.18","5.43","968.0","64.57","34.92","0.0","0.52","100.0","0.0","0.0","11802.54","22737.29","14.18","5.43","968.0","64.57","34.92","0.0","0.52","100.0","0.0","0.0","11802.54","22737.29",""
"Burundi","Burkina Faso","2015.0","Import","2.0","0.08","14.06","0.0","21.25","17.51","3.0","100.0","0.0","0.0","0.0","25.0","10.0","0.0","14.06","0.0","21.25","17.51","3.0","100.0","0.0","0.0","0.0","25.0","10.0","0.0","14.06","0.0",""
"Burundi","Bangladesh","2015.0","Import","2.0","0.08","188.56","0.03","12.5","21.59","2.0","50.0","50.0","0.0","0.0","25.0","0.0","0.0","162.88","25.69","12.5","21.59","2.0","50.0","50.0","0.0","0.0","25.0","0.0","0.0","162.88","25.69",""
"Burundi","Bulgaria","2015.0","Import","26.0","1.07","246.86","0.04","11.22","5.66","32.0","40.63","59.38","0.0","0.0","60.0","0.0","0.0","82.86","164.01","11.22","5.66","32.0","40.63","59.38","0.0","0.0","60.0","0.0","0.0","82.86","164.01",""
"Burundi","Bahrain","2015.0","Import","2.0","0.08","403.9","0.07","32.76","5.53","20.0","35.0","65.0","0.0","0.0","60.0","0.0","0.0","403.9","0.0","32.76","5.53","20.0","35.0","65.0","0.0","0.0","60.0","0.0","0.0","403.9","0.0",""
"Burundi","Bosnia and Herzegovina","2015.0","Import","2.0","0.08","24.0","0.0","12.5","13.24","2.0","50.0","50.0","0.0","0.0","25.0","0.0","0.0","12.72","11.29","12.5","13.24","2.0","50.0","50.0","0.0","0.0","25.0","0.0","0.0","12.72","11.29",""
"Burundi","Brazil","2015.0","Import","5.0","0.21","50.03","0.01","15.0","19.21","5.0","60.0","40.0","0.0","0.0","25.0","0.0","0.0","38.44","11.59","15.0","19.21","5.0","60.0","40.0","0.0","0.0","25.0","0.0","0.0","38.44","11.59",""
"Burundi","Central African Republic","2015.0","Import","8.0","0.33","47.67","0.01","13.44","14.99","9.0","66.67","33.33","0.0","0.0","25.0","0.0","0.0","46.52","1.15","13.44","14.99","9.0","66.67","33.33","0.0","0.0","25.0","0.0","0.0","46.52","1.15",""
"Burundi","Canada","2015.0","Import","57.0","2.34","2726.64","0.49","14.41","32.83","69.0","63.77","34.78","0.0","1.45","35.0","0.0","0.0","2600.26","126.39","14.41","32.83","69.0","63.77","34.78","0.0","1.45","35.0","0.0","0.0","2600.26","126.39",""
"Burundi","Switzerland","2015.0","Import","110.0","4.51","1287.08","0.23","12.02","7.21","136.0","59.56","40.44","0.0","0.0","35.0","0.0","0.0","595.72","691.36","12.02","7.21","136.0","59.56","40.44","0.0","0.0","35.0","0.0","0.0","595.72","691.36",""
"Burundi","China","2015.0","Import","1169.0","47.97","70540.96","12.58","15.41","12.3","1319.0","74.91","24.94","0.0","0.15","75.0","0.0","0.0","41258.57","29282.4","15.41","12.3","1319.0","74.91","24.94","0.0","0.15","75.0","0.0","0.0","41258.57","29282.4",""
