"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Belgium","Aruba","2015.0","Import","6.0","0.13","43.03","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Afghanistan","2015.0","Import","20.0","0.44","2405.22","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Angola","2015.0","Import","155.0","3.42","598850.47","0.16","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Anguila","2015.0","Import","1.0","0.02","0.03","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Albania","2015.0","Import","81.0","1.79","7093.62","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Andorra","2015.0","Import","50.0","1.1","292.65","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","United Arab Emirates","2015.0","Import","854.0","18.83","3120048.9","0.84","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Argentina","2015.0","Import","332.0","7.32","346954.2","0.09","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Armenia","2015.0","Import","63.0","1.39","49131.98","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","American Samoa","2015.0","Import","3.0","0.07","80.75","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Fr. So. Ant. Tr","2015.0","Import","3.0","0.07","12.73","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Antigua and Barbuda","2015.0","Import","6.0","0.13","14.97","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Australia","2015.0","Import","1089.0","24.01","1178726.09","0.32","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Austria","2015.0","Import","2213.0","48.8","2007726.01","0.54","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Azerbaijan","2015.0","Import","23.0","0.51","29743.48","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Burundi","2015.0","Import","38.0","0.84","7423.55","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Benin","2015.0","Import","28.0","0.62","5338.41","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Bonaire","2015.0","Import","2.0","0.04","2273.92","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Burkina Faso","2015.0","Import","58.0","1.28","5690.96","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Bangladesh","2015.0","Import","435.0","9.59","854436.44","0.23","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Bulgaria","2015.0","Import","884.0","19.49","1015764.41","0.27","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Bahrain","2015.0","Import","86.0","1.9","133070.38","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Bahamas, The","2015.0","Import","13.0","0.29","9524.8","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Bosnia and Herzegovina","2015.0","Import","316.0","6.97","31639.4","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Saint Barthélemy","2015.0","Import","6.0","0.13","5.03","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Belarus","2015.0","Import","132.0","2.91","105704.73","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Belize","2015.0","Import","7.0","0.15","485.89","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Bermuda","2015.0","Import","6.0","0.13","13.79","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Bolivia","2015.0","Import","58.0","1.28","253074.06","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Brazil","2015.0","Import","1065.0","23.48","3117864.1","0.84","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Barbados","2015.0","Import","6.0","0.13","5.86","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Brunei","2015.0","Import","8.0","0.18","64.95","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Bhutan","2015.0","Import","4.0","0.09","14.19","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Botswana","2015.0","Import","33.0","0.73","1574407.63","0.42","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Central African Republic","2015.0","Import","9.0","0.2","3345.65","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Canada","2015.0","Import","1683.0","37.11","3175951.77","0.86","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Cocos (Keeling) Islands","2015.0","Import","7.0","0.15","8.45","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Switzerland","2015.0","Import","2410.0","53.14","4831619.69","1.3","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Chile","2015.0","Import","348.0","7.67","730348.26","0.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","China","2015.0","Import","3395.0","74.86","16212822.24","4.37","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Cote d'Ivoire","2015.0","Import","291.0","6.42","640192.19","0.17","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Cameroon","2015.0","Import","195.0","4.3","285628.64","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Congo, Rep.","2015.0","Import","45.0","0.99","52153.96","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Cook Islands","2015.0","Import","2.0","0.04","0.78","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Colombia","2015.0","Import","344.0","7.59","565463.36","0.15","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Cape Verde","2015.0","Import","6.0","0.13","9.73","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Costa Rica","2015.0","Import","126.0","2.78","496448.55","0.13","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Cuba","2015.0","Import","91.0","2.01","53499.05","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Curaçao","2015.0","Import","16.0","0.35","38149.04","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Cayman Islands","2015.0","Import","6.0","0.13","52.47","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Cyprus","2015.0","Import","404.0","8.91","84328.0","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Czech Republic","2015.0","Import","2075.0","45.76","3613264.23","0.97","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Germany","2015.0","Import","4237.0","93.43","47140019.59","12.71","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Djibouti","2015.0","Import","10.0","0.22","1590.3","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Dominica","2015.0","Import","1.0","0.02","0.06","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Denmark","2015.0","Import","2137.0","47.12","1278884.37","0.34","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Dominican Republic","2015.0","Import","140.0","3.09","184742.17","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Algeria","2015.0","Import","85.0","1.87","1087173.7","0.29","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","East Asia & Pacific","2015.0","Import","3779.0","83.33","41458882.4","11.17","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Europe & Central Asia","2015.0","Import","4513.0","99.51","256710569.31","69.19","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Ecuador","2015.0","Import","120.0","2.65","298408.12","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Egypt, Arab Rep.","2015.0","Import","627.0","13.83","258856.27","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Eritrea","2015.0","Import","5.0","0.11","14.27","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Western Sahara","2015.0","Import","1.0","0.02","0.06","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Spain","2015.0","Import","3132.0","69.06","6923532.96","1.87","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Estonia","2015.0","Import","668.0","14.73","184995.75","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Ethiopia(excludes Eritrea)","2015.0","Import","72.0","1.59","29118.66","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Finland","2015.0","Import","1363.0","30.06","2384394.08","0.64","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Fiji","2015.0","Import","6.0","0.13","10.23","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","France","2015.0","Import","4206.0","92.75","35321576.26","9.52","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Faeroe Islands","2015.0","Import","1.0","0.02","0.33","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Micronesia, Fed. Sts.","2015.0","Import","1.0","0.02","0.04","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Gabon","2015.0","Import","49.0","1.08","82937.28","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","United Kingdom","2015.0","Import","3608.0","79.56","18742828.91","5.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Georgia","2015.0","Import","60.0","1.32","26811.6","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Ghana","2015.0","Import","331.0","7.3","213598.28","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Gibraltar","2015.0","Import","8.0","0.18","5701.66","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Guinea","2015.0","Import","65.0","1.43","117326.1","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Gambia, The","2015.0","Import","31.0","0.68","1043.66","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Guinea-Bissau","2015.0","Import","1.0","0.02","13.31","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Equatorial Guinea","2015.0","Import","10.0","0.22","1179.54","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Greece","2015.0","Import","1073.0","23.66","398004.14","0.11","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Grenada","2015.0","Import","4.0","0.09","187.31","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Greenland","2015.0","Import","41.0","0.9","11.1","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Guatemala","2015.0","Import","91.0","2.01","74785.18","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Guam","2015.0","Import","2.0","0.04","0.31","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Guyana","2015.0","Import","16.0","0.35","42502.29","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Hong Kong, China","2015.0","Import","1176.0","25.93","1179275.89","0.32","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Honduras","2015.0","Import","75.0","1.65","144678.01","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Croatia","2015.0","Import","553.0","12.19","122295.46","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Haiti","2015.0","Import","25.0","0.55","7168.15","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Hungary","2015.0","Import","1382.0","30.47","1757354.7","0.47","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Indonesia","2015.0","Import","1129.0","24.9","1362899.89","0.37","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","India","2015.0","Import","2256.0","49.75","4569386.88","1.23","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Ireland","2015.0","Import","1477.0","32.57","17675811.26","4.76","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Iran, Islamic Rep.","2015.0","Import","118.0","2.6","77014.33","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Iraq","2015.0","Import","55.0","1.21","85053.37","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Iceland","2015.0","Import","223.0","4.92","63508.45","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Israel","2015.0","Import","1282.0","28.27","1681345.12","0.45","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Italy","2015.0","Import","3507.0","77.33","14302646.1","3.85","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Jamaica","2015.0","Import","28.0","0.62","7521.12","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Jordan","2015.0","Import","184.0","4.06","44307.65","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Japan","2015.0","Import","2182.0","48.11","8197090.18","2.21","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Kazakhstan","2015.0","Import","144.0","3.18","219334.1","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Kenya","2015.0","Import","253.0","5.58","48551.12","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Kyrgyz Republic","2015.0","Import","16.0","0.35","1247.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Cambodia","2015.0","Import","192.0","4.23","197909.11","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","St. Kitts and Nevis","2015.0","Import","10.0","0.22","253.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Korea, Rep.","2015.0","Import","1369.0","30.19","2081531.29","0.56","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Kuwait","2015.0","Import","108.0","2.38","56492.36","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Lao PDR","2015.0","Import","54.0","1.19","16116.69","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Lebanon","2015.0","Import","399.0","8.8","37132.34","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Liberia","2015.0","Import","14.0","0.31","13141.88","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Libya","2015.0","Import","24.0","0.53","23907.76","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","St. Lucia","2015.0","Import","4.0","0.09","2.3","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Latin America & Caribbean","2015.0","Import","2014.0","44.41","10591296.05","2.85","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Sri Lanka","2015.0","Import","378.0","8.34","310947.05","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Lesotho","2015.0","Import","3.0","0.07","279485.49","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Lithuania","2015.0","Import","791.0","17.44","400534.78","0.11","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Luxembourg","2015.0","Import","2688.0","59.27","3090190.22","0.83","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Latvia","2015.0","Import","572.0","12.61","116899.23","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Macao","2015.0","Import","38.0","0.84","8873.01","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Morocco","2015.0","Import","783.0","17.27","404723.34","0.11","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Moldova","2015.0","Import","199.0","4.39","7699.28","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Madagascar","2015.0","Import","104.0","2.29","125677.85","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Maldives","2015.0","Import","12.0","0.26","2646.43","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Middle East & North Africa","2015.0","Import","2365.0","52.15","10295614.06","2.77","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Mexico","2015.0","Import","1156.0","25.49","3176476.64","0.86","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Marshall Islands","2015.0","Import","1.0","0.02","0.06","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Macedonia, FYR","2015.0","Import","340.0","7.5","179558.7","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Mali","2015.0","Import","31.0","0.68","1856.13","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Malta","2015.0","Import","255.0","5.62","53212.01","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Myanmar","2015.0","Import","83.0","1.83","44520.32","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Mongolia","2015.0","Import","107.0","2.36","4711.86","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Northern Mariana Islands","2015.0","Import","1.0","0.02","0.75","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Montenegro","2015.0","Import","32.0","0.71","23455.95","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Mozambique","2015.0","Import","22.0","0.49","350073.62","0.09","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Mauritania","2015.0","Import","18.0","0.4","158.05","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Montserrat","2015.0","Import","4.0","0.09","343.81","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Mauritius","2015.0","Import","116.0","2.56","47579.53","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Malawi","2015.0","Import","16.0","0.35","161215.93","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Malaysia","2015.0","Import","902.0","19.89","1009284.65","0.27","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","North America","2015.0","Import","3548.0","78.24","35564397.73","9.59","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Namibia","2015.0","Import","39.0","0.86","234854.05","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","New Caledonia","2015.0","Import","34.0","0.75","77535.58","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Niger","2015.0","Import","56.0","1.23","149.13","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Norfolk Island","2015.0","Import","1.0","0.02","334.69","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Nigeria","2015.0","Import","205.0","4.52","116109.51","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Nicaragua","2015.0","Import","55.0","1.21","45079.62","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Netherlands","2015.0","Import","4223.0","93.12","61901789.42","16.68","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Norway","2015.0","Import","1078.0","23.77","4899474.19","1.32","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Nepal","2015.0","Import","256.0","5.64","2696.49","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","New Zealand","2015.0","Import","435.0","9.59","330311.38","0.09","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Other Asia, nes","2015.0","Import","1650.0","36.38","1078525.35","0.29","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Oman","2015.0","Import","92.0","2.03","10595.48","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Pakistan","2015.0","Import","631.0","13.91","420573.35","0.11","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Panama","2015.0","Import","115.0","2.54","7504.08","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Pitcairn","2015.0","Import","1.0","0.02","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Peru","2015.0","Import","384.0","8.47","492906.94","0.13","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Philippines","2015.0","Import","516.0","11.38","244137.52","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Papua New Guinea","2015.0","Import","19.0","0.42","41952.57","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Poland","2015.0","Import","2524.0","55.66","4085669.67","1.1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Korea, Dem. Rep.","2015.0","Import","5.0","0.11","153.73","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Portugal","2015.0","Import","1670.0","36.82","1214791.31","0.33","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Paraguay","2015.0","Import","40.0","0.88","4661.54","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
