"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Benin","Afghanistan","2015.0","Import","5.0","0.19","18.43","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Benin","Angola","2015.0","Import","4.0","0.15","7921.04","0.32","","","","","","","","","","","","","","","","","","","","","","","","",""
"Benin","Anguila","2015.0","Import","1.0","0.04","0.3","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Benin","Albania","2015.0","Import","34.0","1.27","79.3","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Benin","Andorra","2015.0","Import","6.0","0.22","89.56","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Benin","United Arab Emirates","2015.0","Import","266.0","9.92","33308.59","1.35","","","","","","","","","","","","","","","","","","","","","","","","",""
"Benin","Argentina","2015.0","Import","17.0","0.63","3726.28","0.15","","","","","","","","","","","","","","","","","","","","","","","","",""
"Benin","Armenia","2015.0","Import","10.0","0.37","110.2","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Benin","Antigua and Barbuda","2015.0","Import","2.0","0.07","2058.59","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Benin","Australia","2015.0","Import","14.0","0.52","888.49","0.04","17.5","26.99","20.0","100.0","0.0","0.0","0.0","35.0","5.0","0.0","1113.35","0.0","17.5","26.99","20.0","100.0","0.0","0.0","0.0","35.0","5.0","0.0","1113.35","0.0",""
"Benin","Austria","2015.0","Import","66.0","2.46","951.76","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Benin","Burundi","2015.0","Import","7.0","0.26","134.29","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Benin","Belgium","2015.0","Import","763.0","28.45","120932.76","4.89","","","","","","","","","","","","","","","","","","","","","","","","",""
"Benin","Burkina Faso","2015.0","Import","53.0","1.98","2377.36","0.1","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Benin","Bangladesh","2015.0","Import","7.0","0.26","145.86","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Benin","Bulgaria","2015.0","Import","7.0","0.26","60.74","0.0","14.63","18.87","63.0","98.41","1.59","0.0","0.0","35.0","0.0","0.0","996.64","3.42","14.63","18.87","63.0","98.41","1.59","0.0","0.0","35.0","0.0","0.0","996.64","3.42",""
"Benin","Bahrain","2015.0","Import","1.0","0.04","2029.94","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Benin","Bahamas, The","2015.0","Import","1.0","0.04","17.44","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Benin","Bosnia and Herzegovina","2015.0","Import","2.0","0.07","8.77","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Benin","Belarus","2015.0","Import","1.0","0.04","33.94","0.0","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","86.6","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","86.6",""
"Benin","Bolivia","2015.0","Import","2.0","0.07","1.16","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Benin","Brazil","2015.0","Import","54.0","2.01","69409.74","2.8","16.31","23.3","90.0","97.78","2.22","0.0","0.0","35.0","0.0","0.0","109888.76","0.55","16.31","23.3","90.0","97.78","2.22","0.0","0.0","35.0","0.0","0.0","109888.76","0.55",""
"Benin","Brunei","2015.0","Import","4.0","0.15","4.97","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
