"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Bangladesh","Aruba","2015.0","Import","1.0","0.02","0.01","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","Afghanistan","2015.0","Import","7.0","0.17","50.87","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","Albania","2015.0","Import","5.0","0.12","0.06","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","Andorra","2015.0","Import","4.0","0.1","3.81","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","United Arab Emirates","2015.0","Import","1485.0","35.29","901844.34","1.88","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","Argentina","2015.0","Import","50.0","1.19","704268.09","1.47","7.61","0.32","88.0","79.55","20.45","0.0","0.0","25.0","0.0","0.0","23012.27","254291.13","7.61","0.32","88.0","79.55","20.45","0.0","0.0","25.0","0.0","0.0","23012.27","254291.13",""
"Bangladesh","Armenia","2015.0","Import","1.0","0.02","2.62","0.0","20.0","20.0","24.0","100.0","0.0","0.0","0.0","25.0","5.0","0.0","18.0","0.0","20.0","20.0","24.0","100.0","0.0","0.0","0.0","25.0","5.0","0.0","18.0","0.0",""
"Bangladesh","American Samoa","2015.0","Import","8.0","0.19","92.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","Antigua and Barbuda","2015.0","Import","6.0","0.14","31.96","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","Australia","2015.0","Import","606.0","14.4","545260.36","1.13","13.45","3.84","490.0","88.98","9.59","0.0","1.43","25.0","0.0","0.0","254711.92","264367.09","13.45","3.84","490.0","88.98","9.59","0.0","1.43","25.0","0.0","0.0","254711.92","264367.09",""
"Bangladesh","Austria","2015.0","Import","354.0","8.41","48360.96","0.1","11.49","3.32","613.0","96.41","3.59","0.0","0.0","25.0","0.0","0.0","44773.15","269.85","11.49","3.32","613.0","96.41","3.59","0.0","0.0","25.0","0.0","0.0","44773.15","269.85",""
"Bangladesh","Azerbaijan","2015.0","Import","1.0","0.02","9.88","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","Burundi","2015.0","Import","2.0","0.05","0.92","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","Belgium","2015.0","Import","738.0","17.54","258983.64","0.54","10.78","6.93","886.0","94.24","5.64","0.0","0.11","25.0","0.0","0.0","97680.9","60794.5","10.78","6.93","886.0","94.24","5.64","0.0","0.11","25.0","0.0","0.0","97680.9","60794.5",""
"Bangladesh","Benin","2015.0","Import","2.0","0.05","41536.06","0.09","2.5","0.0","2.0","50.0","50.0","0.0","0.0","5.0","0.0","0.0","42.4","46508.15","2.5","0.0","2.0","50.0","50.0","0.0","0.0","5.0","0.0","0.0","42.4","46508.15",""
"Bangladesh","Burkina Faso","2015.0","Import","2.0","0.05","34432.04","0.07","25.0","25.0","1.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","3.45","0.0","25.0","25.0","1.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","3.45","0.0",""
"Bangladesh","Bulgaria","2015.0","Import","97.0","2.31","41809.36","0.09","9.53","5.33","75.0","82.67","17.33","0.0","0.0","25.0","0.0","0.0","26398.4","313.09","9.53","5.33","75.0","82.67","17.33","0.0","0.0","25.0","0.0","0.0","26398.4","313.09",""
"Bangladesh","Bahrain","2015.0","Import","89.0","2.12","46321.52","0.1","15.28","19.56","33.0","96.97","3.03","0.0","0.0","25.0","0.0","0.0","18288.05","2.98","15.28","19.56","33.0","96.97","3.03","0.0","0.0","25.0","0.0","0.0","18288.05","2.98",""
"Bangladesh","Bahamas, The","2015.0","Import","1.0","0.02","0.06","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","Bosnia and Herzegovina","2015.0","Import","10.0","0.24","3.98","0.0","15.0","15.0","2.0","100.0","0.0","0.0","0.0","25.0","5.0","0.0","0.11","0.0","15.0","15.0","2.0","100.0","0.0","0.0","0.0","25.0","5.0","0.0","0.11","0.0",""
