"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Bulgaria","Aruba","2015.0","Import","2.0","0.05","1.25","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","Afghanistan","2015.0","Import","4.0","0.09","234.68","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","Angola","2015.0","Import","1.0","0.02","0.06","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","Albania","2015.0","Import","138.0","3.18","21379.9","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","Andorra","2015.0","Import","4.0","0.09","43.16","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","United Arab Emirates","2015.0","Import","270.0","6.22","78225.63","0.27","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","Argentina","2015.0","Import","49.0","1.13","18035.7","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","Armenia","2015.0","Import","23.0","0.53","1688.3","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","Australia","2015.0","Import","251.0","5.78","164107.05","0.56","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","Austria","2015.0","Import","2356.0","54.29","786069.8","2.69","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","Azerbaijan","2015.0","Import","4.0","0.09","94.33","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
