"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Bahrain","Aruba","2015.0","Import","7.0","0.17","36.74","0.0","4.29","5.0","30.0","60.0","40.0","0.0","0.0","5.0","0.0","0.0","36.71","0.03","4.29","5.0","30.0","60.0","40.0","0.0","0.0","5.0","0.0","0.0","36.71","0.03",""
"Bahrain","Afghanistan","2015.0","Import","32.0","0.78","174.46","0.0","3.78","2.04","85.0","84.71","15.29","0.0","0.0","5.0","0.0","0.0","71.19","103.28","3.78","2.04","85.0","84.71","15.29","0.0","0.0","5.0","0.0","0.0","71.19","103.28",""
"Bahrain","Anguila","2015.0","Import","3.0","0.07","12.57","0.0","5.0","5.0","3.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","12.57","0.0","5.0","5.0","3.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","12.57","0.0",""
"Bahrain","Albania","2015.0","Import","69.0","1.68","372.62","0.0","4.79","4.92","131.0","94.66","4.58","0.76","0.0","5.0","0.0","0.77","366.76","5.87","4.79","4.92","131.0","94.66","4.58","0.76","0.0","5.0","0.0","0.77","366.76","5.87",""
"Bahrain","Andorra","2015.0","Import","14.0","0.34","105.83","0.0","2.86","1.25","31.0","61.29","38.71","0.0","0.0","5.0","0.0","0.0","26.51","79.31","2.86","1.25","31.0","61.29","38.71","0.0","0.0","5.0","0.0","0.0","26.51","79.31",""
"Bahrain","United Arab Emirates","2015.0","Import","1712.0","41.56","1131278.04","6.91","0.0","0.0","3304.0","0.0","99.91","0.09","0.0","0.0","0.0","233.01","233.01","1169142.1","4.57","3.38","3304.0","87.74","11.62","0.39","0.24","100.0","0.0","11876.44","791636.88","377738.23","2.0"
"Bahrain","Argentina","2015.0","Import","126.0","3.06","10899.76","0.07","3.44","0.99","271.0","73.06","24.72","2.21","0.0","5.0","0.0","74.38","2203.79","8694.58","3.44","0.99","271.0","73.06","24.72","2.21","0.0","5.0","0.0","74.38","2203.79","8694.58",""
"Bahrain","Armenia","2015.0","Import","7.0","0.17","6.71","0.0","4.29","4.82","15.0","93.33","6.67","0.0","0.0","5.0","0.0","0.0","6.46","0.24","4.29","4.82","15.0","93.33","6.67","0.0","0.0","5.0","0.0","0.0","6.46","0.24",""
"Bahrain","American Samoa","2015.0","Import","13.0","0.32","36.18","0.0","3.33","2.16","20.0","75.0","25.0","0.0","0.0","5.0","0.0","0.0","14.9","19.54","3.33","2.16","20.0","75.0","25.0","0.0","0.0","5.0","0.0","0.0","14.9","19.54",""
"Bahrain","Antigua and Barbuda","2015.0","Import","11.0","0.27","113.61","0.0","4.06","2.8","40.0","87.5","12.5","0.0","0.0","5.0","0.0","0.0","63.68","49.93","4.06","2.8","40.0","87.5","12.5","0.0","0.0","5.0","0.0","0.0","63.68","49.93",""
