"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Bahamas, The","Aruba","2015.0","Import","5.0","0.13","13.43","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2.07","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2.07",""
"Bahamas, The","Argentina","2015.0","Import","22.0","0.57","2000.95","0.06","24.04","4.58","19.0","52.63","26.32","21.05","0.0","55.0","0.0","0.19","103.71","825.85","24.04","4.58","19.0","52.63","26.32","21.05","0.0","55.0","0.0","0.19","103.71","825.85",""
"Bahamas, The","Antigua and Barbuda","2015.0","Import","19.0","0.49","16.61","0.0","0.0","0.0","5.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1966.76","0.0","0.0","5.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1966.76",""
"Bahamas, The","Australia","2015.0","Import","35.0","0.91","518.91","0.02","26.93","2.93","34.0","76.47","23.53","0.0","0.0","60.0","0.0","0.0","173.27","2314.51","26.93","2.93","34.0","76.47","23.53","0.0","0.0","60.0","0.0","0.0","173.27","2314.51",""
"Bahamas, The","Austria","2015.0","Import","37.0","0.96","298.52","0.01","17.45","19.69","44.0","65.91","34.09","0.0","0.0","45.0","0.0","0.0","35.77","13.2","27.49","22.3","44.0","68.18","31.82","0.0","0.0","45.0","0.0","0.0","36.44","12.54","1.0"
"Bahamas, The","Belgium","2015.0","Import","67.0","1.74","4685.89","0.15","9.05","5.01","63.0","57.14","42.86","0.0","0.0","40.0","0.0","0.0","5655.59","3779.34","20.0","14.08","63.0","66.67","33.33","0.0","0.0","45.0","0.0","0.0","7443.81","1991.13","1.0"
"Bahamas, The","Bermuda","2015.0","Import","17.0","0.44","37.22","0.0","29.64","37.04","26.0","92.31","7.69","0.0","0.0","55.0","0.0","0.0","63.34","0.0","29.64","37.04","26.0","92.31","7.69","0.0","0.0","55.0","0.0","0.0","63.34","0.0",""
"Bahamas, The","Brazil","2015.0","Import","113.0","2.93","27817.67","0.88","23.31","25.48","152.0","61.84","38.16","0.0","0.0","55.0","0.0","0.0","10015.04","924.33","23.31","25.48","152.0","61.84","38.16","0.0","0.0","55.0","0.0","0.0","10015.04","924.33",""
"Bahamas, The","Barbados","2015.0","Import","152.0","3.94","13757.96","0.44","29.2","0.07","213.0","56.81","41.31","1.88","0.0","60.0","0.0","62.31","422.41","96453.38","29.2","0.07","213.0","56.81","41.31","1.88","0.0","60.0","0.0","62.31","422.41","96453.38",""
"Bahamas, The","Canada","2015.0","Import","816.0","21.14","25368.26","0.8","31.19","16.05","989.0","75.73","23.76","0.51","0.0","75.0","0.0","3.79","9478.79","10659.68","31.19","16.05","989.0","75.73","23.76","0.51","0.0","75.0","0.0","3.79","9478.79","10659.68",""
"Bahamas, The","Switzerland","2015.0","Import","333.0","8.63","21051.41","0.67","31.39","6.36","383.0","81.2","18.8","0.0","0.0","60.0","0.0","0.0","2760.21","13075.71","31.39","6.36","383.0","81.2","18.8","0.0","0.0","60.0","0.0","0.0","2760.21","13075.71",""
