"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Bosnia and Herzegovina","Afghanistan","2015.0","Import","14.0","0.34","12.49","0.0","9.29","9.08","28.0","92.86","7.14","0.0","0.0","15.0","0.0","0.0","11.71","0.79","9.29","9.08","28.0","92.86","7.14","0.0","0.0","15.0","0.0","0.0","11.71","0.79",""
"Bosnia and Herzegovina","Albania","2015.0","Import","194.0","4.66","6093.01","0.07","0.0","0.0","550.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","6093.01","11.55","12.51","550.0","74.73","13.09","0.18","12.0","91.83","0.0","1.28","4800.08","1292.93","1.0"
"Bosnia and Herzegovina","Andorra","2015.0","Import","9.0","0.22","8.81","0.0","7.89","9.93","22.0","81.82","18.18","0.0","0.0","15.0","0.0","0.0","8.58","0.24","7.89","9.93","22.0","81.82","18.18","0.0","0.0","15.0","0.0","0.0","8.58","0.24",""
"Bosnia and Herzegovina","United Arab Emirates","2015.0","Import","99.0","2.38","7225.31","0.08","8.87","3.18","302.0","78.48","20.86","0.33","0.33","23.37","0.0","3.84","4199.11","3026.2","8.87","3.18","302.0","78.48","20.86","0.33","0.33","23.37","0.0","3.84","4199.11","3026.2",""
"Bosnia and Herzegovina","Argentina","2015.0","Import","103.0","2.48","9312.63","0.1","5.95","3.71","414.0","53.62","27.78","0.0","18.6","91.83","0.0","0.0","5978.57","3334.06","5.95","3.71","414.0","53.62","27.78","0.0","18.6","91.83","0.0","0.0","5978.57","3334.06",""
"Bosnia and Herzegovina","Armenia","2015.0","Import","7.0","0.17","14.89","0.0","13.57","14.64","17.0","100.0","0.0","0.0","0.0","15.0","10.0","0.0","14.89","0.0","13.57","14.64","17.0","100.0","0.0","0.0","0.0","15.0","10.0","0.0","14.89","0.0",""
"Bosnia and Herzegovina","Australia","2015.0","Import","303.0","7.29","1921.52","0.02","7.84","6.6","949.0","69.34","23.08","0.0","7.59","36.93","0.0","0.0","1609.71","311.81","7.84","6.6","949.0","69.34","23.08","0.0","7.59","36.93","0.0","0.0","1609.71","311.81",""
"Bosnia and Herzegovina","Austria","2015.0","Import","2195.0","52.78","317896.27","3.53","0.22","0.18","5304.0","0.47","97.21","0.17","2.15","201.37","0.0","49.85","7321.98","310611.08","7.27","8.55","5304.0","69.55","23.04","1.38","6.03","201.37","0.0","2627.1","274240.95","43692.11","1.0"
"Bosnia and Herzegovina","Azerbaijan","2015.0","Import","3.0","0.07","59.63","0.0","12.08","5.22","9.0","22.22","55.56","0.0","22.22","91.83","0.0","0.0","59.63","0.0","12.08","5.22","9.0","22.22","55.56","0.0","22.22","91.83","0.0","0.0","59.63","0.0",""
"Bosnia and Herzegovina","Belgium","2015.0","Import","1322.0","31.79","67802.1","0.75","0.26","1.2","3293.0","0.52","98.48","0.06","0.94","201.37","0.0","52.51","1963.65","65838.45","7.13","7.92","3293.0","70.82","25.33","0.39","3.46","201.37","0.0","408.36","60130.71","7671.39","1.0"
"Bosnia and Herzegovina","Benin","2015.0","Import","6.0","0.14","0.42","0.0","0.83","0.33","49.0","51.02","48.98","0.0","0.0","5.0","0.0","0.0","0.03","0.4","0.83","0.33","49.0","51.02","48.98","0.0","0.0","5.0","0.0","0.0","0.03","0.4",""
"Bosnia and Herzegovina","Burkina Faso","2015.0","Import","3.0","0.07","16.52","0.0","6.67","0.02","3.0","66.67","33.33","0.0","0.0","15.0","0.0","0.0","0.06","16.46","6.67","0.02","3.0","66.67","33.33","0.0","0.0","15.0","0.0","0.0","0.06","16.46",""
"Bosnia and Herzegovina","Bangladesh","2015.0","Import","220.0","5.29","19137.21","0.21","13.93","14.49","459.0","98.26","1.74","0.0","0.0","15.0","0.0","0.0","19137.21","0.0","13.93","14.49","459.0","98.26","1.74","0.0","0.0","15.0","0.0","0.0","19137.21","0.0",""
"Bosnia and Herzegovina","Bulgaria","2015.0","Import","961.0","23.11","69366.58","0.77","0.07","0.35","2547.0","0.51","99.18","0.08","0.24","43.33","0.0","1.48","3666.4","65710.94","8.54","9.13","2547.0","74.05","20.77","1.69","3.49","91.83","0.0","539.3","62103.58","7273.76","1.0"
"Bosnia and Herzegovina","Bahrain","2015.0","Import","10.0","0.24","75.2","0.0","9.42","9.68","44.0","52.27","47.73","0.0","0.0","15.0","0.0","0.0","75.02","0.18","9.42","9.68","44.0","52.27","47.73","0.0","0.0","15.0","0.0","0.0","75.02","0.18",""
"Bosnia and Herzegovina","Bahamas, The","2015.0","Import","2.0","0.05","4.87","0.0","5.0","5.0","4.0","75.0","25.0","0.0","0.0","10.0","0.0","0.0","4.87","0.0","5.0","5.0","4.0","75.0","25.0","0.0","0.0","10.0","0.0","0.0","4.87","0.0",""
"Bosnia and Herzegovina","Belarus","2015.0","Import","149.0","3.58","12370.47","0.14","6.91","3.26","539.0","71.8","28.01","0.0","0.19","166.45","0.0","0.0","10580.36","1790.1","6.91","3.26","539.0","71.8","28.01","0.0","0.19","166.45","0.0","0.0","10580.36","1790.1",""
"Bosnia and Herzegovina","Belize","2015.0","Import","3.0","0.07","13.2","0.0","13.33","15.0","16.0","100.0","0.0","0.0","0.0","15.0","10.0","0.0","13.2","0.0","13.33","15.0","16.0","100.0","0.0","0.0","0.0","15.0","10.0","0.0","13.2","0.0",""
"Bosnia and Herzegovina","Bermuda","2015.0","Import","1.0","0.02","62.84","0.0","5.0","5.0","2.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","62.84","0.0","5.0","5.0","2.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","62.84","0.0",""
"Bosnia and Herzegovina","Bolivia","2015.0","Import","15.0","0.36","136.46","0.0","2.49","2.22","56.0","57.14","42.86","0.0","0.0","15.0","0.0","0.0","75.3","61.16","2.49","2.22","56.0","57.14","42.86","0.0","0.0","15.0","0.0","0.0","75.3","61.16",""
"Bosnia and Herzegovina","Brazil","2015.0","Import","328.0","7.89","110732.61","1.23","6.45","4.54","1020.0","67.16","25.88","4.51","2.45","91.83","0.0","112.2","69059.36","41673.26","6.45","4.54","1020.0","67.16","25.88","4.51","2.45","91.83","0.0","112.2","69059.36","41673.26",""
"Bosnia and Herzegovina","Barbados","2015.0","Import","10.0","0.24","23.05","0.0","6.16","3.14","31.0","74.19","25.81","0.0","0.0","15.0","0.0","0.0","7.75","15.3","6.16","3.14","31.0","74.19","25.81","0.0","0.0","15.0","0.0","0.0","7.75","15.3",""
"Bosnia and Herzegovina","Brunei","2015.0","Import","3.0","0.07","32.5","0.0","7.86","5.13","13.0","84.62","15.38","0.0","0.0","15.0","0.0","0.0","32.5","0.0","7.86","5.13","13.0","84.62","15.38","0.0","0.0","15.0","0.0","0.0","32.5","0.0",""
"Bosnia and Herzegovina","Bhutan","2015.0","Import","2.0","0.05","0.06","0.0","0.0","0.0","10.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.06","0.0","0.0","10.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.06",""
