"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Belarus","Afghanistan","2015.0","Import","3.0","0.07","443.0","0.0","1.45","0.02","10.0","50.0","50.0","0.0","0.0","5.0","0.0","0.0","2.3","440.7","7.71","5.0","10.0","80.0","0.0","0.0","20.0","13.8","1.7","0.0","443.0","0.0","2.0"
"Belarus","Angola","2015.0","Import","1.0","0.02","19.7","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","19.7","3.0","3.0","1.0","100.0","0.0","0.0","0.0","3.0","3.0","0.0","19.7","0.0","2.0"
"Belarus","Albania","2015.0","Import","43.0","1.02","432.8","0.0","8.78","6.03","112.0","10.71","0.0","0.0","89.29","16.7","0.0","0.0","432.8","0.0","8.78","6.03","112.0","10.71","0.0","0.0","89.29","16.7","0.0","0.0","432.8","0.0",""
"Belarus","Andorra","2015.0","Import","2.0","0.05","0.3","0.0","4.15","4.43","2.0","50.0","0.0","0.0","50.0","5.0","3.3","0.0","0.3","0.0","4.15","4.43","2.0","50.0","0.0","0.0","50.0","5.0","3.3","0.0","0.3","0.0",""
"Belarus","United Arab Emirates","2015.0","Import","52.0","1.23","4373.9","0.01","6.71","8.41","583.0","62.26","29.33","0.17","8.23","18.0","0.0","79.5","4767.7","225.0","6.8","9.21","583.0","62.26","29.33","0.17","8.23","18.0","0.0","79.5","4767.7","225.0","1.0"
"Belarus","Argentina","2015.0","Import","117.0","2.77","56974.8","0.19","5.51","1.33","601.0","73.88","19.3","0.83","5.99","16.8","0.0","77.7","16621.7","40262.5","6.39","1.7","601.0","73.88","19.3","0.83","5.99","17.2","0.0","77.7","16621.7","40262.5","1.0"
"Belarus","Armenia","2015.0","Import","78.0","1.85","5819.1","0.02","0.0","0.0","325.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","5740.6","7.33","1.67","325.0","73.23","8.0","0.62","18.15","18.0","0.0","2.9","5715.8","24.8","3.0"
"Belarus","Antigua and Barbuda","2015.0","Import","1.0","0.02","0.1","0.0","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","1.0"
"Belarus","Australia","2015.0","Import","153.0","3.63","8821.6","0.03","5.33","2.81","773.0","70.89","26.39","0.0","2.72","18.0","0.0","0.0","8589.2","457.8","5.33","2.81","773.0","70.89","26.39","0.0","2.72","18.0","0.0","0.0","8589.2","457.8",""
"Belarus","Austria","2015.0","Import","976.0","23.14","164165.9","0.54","6.71","4.73","3240.0","67.59","21.6","3.92","6.88","18.8","0.0","9957.1","118941.1","60479.4","6.71","4.73","3240.0","67.59","21.6","3.92","6.88","18.8","0.0","9957.1","118941.1","60479.4",""
"Belarus","Azerbaijan","2015.0","Import","31.0","0.74","4256.6","0.01","0.0","0.0","215.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","4018.4","5.27","5.45","215.0","48.84","26.51","18.6","6.05","17.5","0.0","163.1","3505.7","512.7","3.0"
"Belarus","Belgium","2015.0","Import","960.0","22.77","186995.4","0.62","7.04","5.89","3040.0","69.11","21.55","1.32","8.03","80.0","0.0","6086.9","170320.8","18700.0","7.04","5.89","3040.0","69.11","21.55","1.32","8.03","80.0","0.0","6086.9","170320.8","18700.0",""
"Belarus","Benin","2015.0","Import","1.0","0.02","19.8","0.0","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","19.8","3.0","3.0","2.0","100.0","0.0","0.0","0.0","3.0","3.0","0.0","19.8","0.0","2.0"
"Belarus","Burkina Faso","2015.0","Import","2.0","0.05","0.6","0.0","0.0","0.0","4.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.6","2.0","1.33","4.0","50.0","50.0","0.0","0.0","5.0","0.0","0.0","0.2","0.4","2.0"
"Belarus","Bangladesh","2015.0","Import","148.0","3.51","20341.8","0.07","10.19","6.12","306.0","16.99","5.56","0.0","77.45","18.3","0.0","0.0","15939.7","4400.0","10.47","7.19","306.0","21.24","1.31","0.0","77.45","18.3","0.0","0.0","20332.6","7.1","2.0"
"Belarus","Bulgaria","2015.0","Import","550.0","13.04","34743.2","0.11","7.26","6.42","1921.0","62.16","21.76","0.52","15.56","18.3","0.0","938.1","24307.6","4869.5","7.26","6.42","1921.0","62.16","21.76","0.52","15.56","18.3","0.0","938.1","24307.6","4869.5",""
"Belarus","Bahrain","2015.0","Import","2.0","0.05","1.5","0.0","7.9","10.41","6.0","100.0","0.0","0.0","0.0","10.8","5.0","0.0","1.5","0.0","7.9","10.41","6.0","100.0","0.0","0.0","0.0","10.8","5.0","0.0","1.5","0.0","1.0"
"Belarus","Bahamas, The","2015.0","Import","1.0","0.02","177.5","0.0","0.0","0.0","6.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","177.5","0.0","0.0","0.0","6.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","177.5","0.0","1.0"
"Belarus","Bosnia and Herzegovina","2015.0","Import","120.0","2.85","62327.0","0.21","8.57","5.22","345.0","39.42","13.33","0.0","47.25","18.3","0.0","0.0","52032.3","10296.4","8.57","5.22","345.0","39.42","13.33","0.0","47.25","18.3","0.0","0.0","52032.3","10296.4",""
"Belarus","Saint Barthélemy","2015.0","Import","2.0","0.05","2.3","0.0","6.02","4.53","5.0","100.0","0.0","0.0","0.0","8.3","3.0","0.0","2.3","0.0","6.02","4.53","5.0","100.0","0.0","0.0","0.0","8.3","3.0","0.0","2.3","0.0",""
"Belarus","Bermuda","2015.0","Import","2.0","0.05","2.9","0.0","0.0","0.0","28.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","2.9","0.0","0.0","0.0","28.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","2.9","0.0","1.0"
"Belarus","Bolivia","2015.0","Import","6.0","0.14","405.2","0.0","5.19","4.09","19.0","94.74","0.0","0.0","5.26","13.0","3.75","0.0","405.2","0.0","6.02","5.28","19.0","94.74","0.0","0.0","5.26","13.0","5.0","0.0","405.2","0.0","1.0"
"Belarus","Brazil","2015.0","Import","326.0","7.73","124484.4","0.41","5.37","2.67","1278.0","58.06","27.23","0.39","14.32","60.0","0.0","626.4","114360.3","8818.1","5.85","3.44","1278.0","58.06","27.23","0.39","14.32","80.0","0.0","626.4","114360.3","8818.1","1.0"
"Belarus","Barbados","2015.0","Import","2.0","0.05","6.7","0.0","2.5","0.97","7.0","14.29","0.0","0.0","85.71","5.0","0.0","0.0","6.7","0.0","2.5","0.97","7.0","14.29","0.0","0.0","85.71","5.0","0.0","0.0","6.7","0.0","1.0"
"Belarus","Bhutan","2015.0","Import","1.0","0.02","0.1","0.0","2.77","2.77","3.0","33.33","66.67","0.0","0.0","8.3","0.0","0.0","0.1","0.0","2.77","2.77","3.0","33.33","66.67","0.0","0.0","8.3","0.0","0.0","0.1","0.0","2.0"
"Belarus","Central African Republic","2015.0","Import","2.0","0.05","12.7","0.0","0.0","0.0","8.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","12.7","9.27","5.2","8.0","100.0","0.0","0.0","0.0","14.0","5.0","0.0","12.7","0.0","2.0"
"Belarus","Canada","2015.0","Import","357.0","8.47","19530.4","0.06","5.94","8.58","1539.0","66.54","26.77","1.1","5.59","65.0","0.0","804.0","17547.1","2413.9","5.94","8.58","1539.0","66.54","26.77","1.1","5.59","65.0","0.0","804.0","17547.1","2413.9",""
"Belarus","Switzerland","2015.0","Import","954.0","22.62","206645.6","0.68","6.36","4.75","3266.0","65.89","23.64","0.28","10.2","65.0","0.0","1645.0","193914.4","39331.4","6.36","4.75","3266.0","65.89","23.64","0.28","10.2","65.0","0.0","1645.0","193914.4","39331.4",""
"Belarus","Chile","2015.0","Import","57.0","1.35","13228.1","0.04","5.54","7.71","267.0","80.9","4.87","0.75","13.48","48.75","0.0","3.0","12677.2","547.3","6.88","9.73","267.0","80.9","4.87","0.75","13.48","65.0","0.0","3.0","12677.2","547.3","1.0"
"Belarus","China","2015.0","Import","2652.0","62.89","2321406.2","7.66","7.14","4.36","6561.0","70.1","18.63","1.01","10.27","20.0","0.0","7466.5","1295408.9","772713.7","7.41","4.53","6561.0","70.1","18.63","1.01","10.27","20.0","0.0","7466.5","1295408.9","772713.7","1.0"
