"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Belize","Anguila","2015.0","Import","43.0","1.3","15.75","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belize","Albania","2015.0","Import","1.0","0.03","379.64","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belize","Andorra","2015.0","Import","2.0","0.06","1.17","0.0","16.88","15.07","8.0","87.5","12.5","0.0","0.0","50.0","0.0","0.0","0.57","0.0","16.88","15.07","8.0","87.5","12.5","0.0","0.0","50.0","0.0","0.0","0.57","0.0",""
"Belize","United Arab Emirates","2015.0","Import","4.0","0.12","3266.79","0.33","12.52","17.4","27.0","81.48","7.41","11.11","0.0","20.0","0.0","1332.51","1443.7","0.0","12.52","17.4","27.0","81.48","7.41","11.11","0.0","20.0","0.0","1332.51","1443.7","0.0",""
"Belize","Argentina","2015.0","Import","27.0","0.81","1999.0","0.2","10.05","8.31","95.0","64.21","26.32","9.47","0.0","60.0","0.0","212.93","2876.73","253.02","10.05","8.31","95.0","64.21","26.32","9.47","0.0","60.0","0.0","212.93","2876.73","253.02",""
"Belize","Australia","2015.0","Import","22.0","0.66","79.75","0.01","11.66","11.58","142.0","80.99","17.61","1.41","0.0","60.0","0.0","51.98","568.04","18.4","11.66","11.58","142.0","80.99","17.61","1.41","0.0","60.0","0.0","51.98","568.04","18.4",""
"Belize","Austria","2015.0","Import","28.0","0.84","3466.64","0.35","11.29","11.13","56.0","67.86","30.36","1.79","0.0","100.0","0.0","0.89","3783.39","66.97","13.51","12.74","56.0","69.64","28.57","1.79","0.0","100.0","0.0","0.89","3792.9","57.46","1.0"
"Belize","Belgium","2015.0","Import","156.0","4.7","1563.12","0.16","7.43","5.41","104.0","72.12","26.92","0.96","0.0","35.0","0.0","1.86","392.39","415.81","10.1","6.04","104.0","79.81","19.23","0.96","0.0","35.0","0.0","1.86","431.33","376.86","1.0"
"Belize","Bangladesh","2015.0","Import","7.0","0.21","58.61","0.01","5.11","8.3","28.0","53.57","42.86","3.57","0.0","20.0","0.0","5.04","55.02","20.68","5.11","8.3","28.0","53.57","42.86","3.57","0.0","20.0","0.0","5.04","55.02","20.68",""
"Belize","Bulgaria","2015.0","Import","27.0","0.81","2365.02","0.24","9.36","13.8","18.0","77.78","22.22","0.0","0.0","30.0","0.0","0.0","718.8","2.33","13.19","19.84","18.0","77.78","22.22","0.0","0.0","30.0","0.0","0.0","718.8","2.33","1.0"
"Belize","Bahamas, The","2015.0","Import","1.0","0.03","177.43","0.02","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","384.54","5.0","5.0","2.0","50.0","0.0","50.0","0.0","5.0","5.0","384.51","384.54","0.0","1.0"
"Belize","Bolivia","2015.0","Import","18.0","0.54","38.3","0.0","12.15","10.42","32.0","90.63","6.25","3.13","0.0","30.0","0.0","0.3","21.24","0.0","12.15","10.42","32.0","90.63","6.25","3.13","0.0","30.0","0.0","0.3","21.24","0.0",""
"Belize","Brazil","2015.0","Import","188.0","5.66","5646.64","0.57","8.48","5.94","283.0","80.21","18.37","1.41","0.0","60.0","0.0","23.94","3487.58","2707.29","8.48","5.94","283.0","80.21","18.37","1.41","0.0","60.0","0.0","23.94","3487.58","2707.29",""
