"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Bermuda","Aruba","2015.0","Import","2.0","0.06","0.08","0.0","6.5","6.5","1.0","100.0","0.0","0.0","0.0","6.5","6.5","0.0","0.05","0.0","6.5","6.5","1.0","100.0","0.0","0.0","0.0","6.5","6.5","0.0","0.05","0.0",""
"Bermuda","Afghanistan","2015.0","Import","6.0","0.18","7.42","0.0","24.5","24.47","5.0","100.0","0.0","0.0","0.0","33.5","22.25","0.0","7.37","0.0","24.5","24.47","5.0","100.0","0.0","0.0","0.0","33.5","22.25","0.0","7.37","0.0",""
"Bermuda","Anguila","2015.0","Import","1.0","0.03","0.44","0.0","145.18","145.18","1.0","0.0","0.0","0.0","100.0","145.18","145.18","0.0","0.44","0.0","145.18","145.18","1.0","0.0","0.0","0.0","100.0","145.18","145.18","0.0","0.44","0.0",""
"Bermuda","Albania","2015.0","Import","12.0","0.35","5.92","0.0","17.95","14.53","11.0","100.0","0.0","0.0","0.0","22.25","6.5","0.0","4.78","0.0","17.95","14.53","11.0","100.0","0.0","0.0","0.0","22.25","6.5","0.0","4.78","0.0",""
"Bermuda","United Arab Emirates","2015.0","Import","51.0","1.49","140.43","0.02","18.41","16.41","59.0","89.83","10.17","0.0","0.0","33.5","0.0","0.0","28.66","0.3","18.41","16.41","59.0","89.83","10.17","0.0","0.0","33.5","0.0","0.0","28.66","0.3",""
"Bermuda","Argentina","2015.0","Import","11.0","0.32","370.29","0.04","53.67","62.24","12.0","58.33","16.67","0.0","25.0","312.87","0.0","0.0","363.82","0.0","53.67","62.24","12.0","58.33","16.67","0.0","25.0","312.87","0.0","0.0","363.82","0.0",""
"Bermuda","Armenia","2015.0","Import","1.0","0.03","0.24","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bermuda","American Samoa","2015.0","Import","5.0","0.15","4.56","0.0","20.45","8.56","5.0","100.0","0.0","0.0","0.0","33.5","6.5","0.0","4.56","0.0","20.45","8.56","5.0","100.0","0.0","0.0","0.0","33.5","6.5","0.0","4.56","0.0",""
"Bermuda","Antigua and Barbuda","2015.0","Import","1.0","0.03","2.29","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bermuda","Australia","2015.0","Import","60.0","1.75","550.23","0.06","31.67","50.64","68.0","76.47","10.29","0.0","13.24","312.87","0.0","0.0","475.33","7.91","31.67","50.64","68.0","76.47","10.29","0.0","13.24","312.87","0.0","0.0","475.33","7.91",""
"Bermuda","Austria","2015.0","Import","54.0","1.58","329.83","0.04","27.97","23.05","59.0","88.14","5.08","0.0","6.78","312.87","0.0","0.0","250.64","0.25","27.97","23.05","59.0","88.14","5.08","0.0","6.78","312.87","0.0","0.0","250.64","0.25",""
"Bermuda","Burundi","2015.0","Import","1.0","0.03","0.06","0.0","22.25","22.25","1.0","100.0","0.0","0.0","0.0","22.25","22.25","0.0","0.06","0.0","22.25","22.25","1.0","100.0","0.0","0.0","0.0","22.25","22.25","0.0","0.06","0.0",""
"Bermuda","Belgium","2015.0","Import","42.0","1.23","913.42","0.1","24.09","42.3","43.0","88.37","6.98","0.0","4.65","101.18","0.0","0.0","761.95","50.07","24.09","42.3","43.0","88.37","6.98","0.0","4.65","101.18","0.0","0.0","761.95","50.07",""
"Bermuda","Bangladesh","2015.0","Import","80.0","2.34","482.12","0.05","7.71","6.63","80.0","98.75","1.25","0.0","0.0","22.25","0.0","0.0","470.49","0.0","7.71","6.63","80.0","98.75","1.25","0.0","0.0","22.25","0.0","0.0","470.49","0.0",""
"Bermuda","Bulgaria","2015.0","Import","28.0","0.82","38.88","0.0","10.29","7.9","27.0","96.3","0.0","0.0","3.7","94.69","5.0","0.0","35.67","0.0","10.29","7.9","27.0","96.3","0.0","0.0","3.7","94.69","5.0","0.0","35.67","0.0",""
"Bermuda","Bahrain","2015.0","Import","1.0","0.03","0.37","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bermuda","Bahamas, The","2015.0","Import","5.0","0.15","13796.21","1.49","9.31","21.34","10.0","30.0","20.0","50.0","0.0","22.25","0.0","13519.56","13737.93","0.2","9.31","21.34","10.0","30.0","20.0","50.0","0.0","22.25","0.0","13519.56","13737.93","0.2",""
"Bermuda","Bosnia and Herzegovina","2015.0","Import","3.0","0.09","2.12","0.0","13.38","10.72","3.0","66.67","33.33","0.0","0.0","33.5","0.0","0.0","0.79","0.0","13.38","10.72","3.0","66.67","33.33","0.0","0.0","33.5","0.0","0.0","0.79","0.0",""
"Bermuda","Belize","2015.0","Import","1.0","0.03","0.14","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bermuda","Bolivia","2015.0","Import","1.0","0.03","0.13","0.0","6.5","6.5","1.0","100.0","0.0","0.0","0.0","6.5","6.5","0.0","0.13","0.0","6.5","6.5","1.0","100.0","0.0","0.0","0.0","6.5","6.5","0.0","0.13","0.0",""
"Bermuda","Brazil","2015.0","Import","62.0","1.81","1817.9","0.2","17.28","8.17","64.0","96.88","3.13","0.0","0.0","33.5","0.0","0.0","1805.19","0.0","17.28","8.17","64.0","96.88","3.13","0.0","0.0","33.5","0.0","0.0","1805.19","0.0",""
"Bermuda","Barbados","2015.0","Import","81.0","2.37","516.55","0.06","43.84","103.67","86.0","90.7","6.98","0.0","2.33","1449.54","0.0","0.0","429.25","46.92","43.84","103.67","86.0","90.7","6.98","0.0","2.33","1449.54","0.0","0.0","429.25","46.92",""
"Bermuda","Central African Republic","2015.0","Import","1.0","0.03","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bermuda","Canada","2015.0","Import","1039.0","30.39","136964.28","14.74","18.54","10.14","1154.0","90.55","8.41","0.52","0.52","312.87","0.0","42581.0","64116.26","70849.39","18.54","10.14","1154.0","90.55","8.41","0.52","0.52","312.87","0.0","42581.0","64116.26","70849.39",""
"Bermuda","Switzerland","2015.0","Import","178.0","5.21","4270.89","0.46","18.66","11.37","196.0","85.71","12.76","0.51","1.02","65.31","0.0","314.37","2174.71","174.72","18.66","11.37","196.0","85.71","12.76","0.51","1.02","65.31","0.0","314.37","2174.71","174.72",""
"Bermuda","Chile","2015.0","Import","15.0","0.44","441.66","0.05","29.5","57.98","15.0","73.33","6.67","0.0","20.0","114.87","0.0","0.0","440.61","0.0","29.5","57.98","15.0","73.33","6.67","0.0","20.0","114.87","0.0","0.0","440.61","0.0",""
"Bermuda","China","2015.0","Import","1125.0","32.9","24746.37","2.66","18.41","18.8","1225.0","95.18","4.65","0.16","0.0","75.0","0.0","16.6","10637.92","45.14","18.41","18.8","1225.0","95.18","4.65","0.16","0.0","75.0","0.0","16.6","10637.92","45.14",""
"Bermuda","Cote d'Ivoire","2015.0","Import","1.0","0.03","0.12","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bermuda","Cameroon","2015.0","Import","3.0","0.09","2.07","0.0","6.5","6.5","2.0","100.0","0.0","0.0","0.0","6.5","6.5","0.0","0.78","0.0","6.5","6.5","2.0","100.0","0.0","0.0","0.0","6.5","6.5","0.0","0.78","0.0",""
"Bermuda","Congo, Rep.","2015.0","Import","1.0","0.03","0.25","0.0","22.25","22.25","1.0","100.0","0.0","0.0","0.0","22.25","22.25","0.0","0.25","0.0","22.25","22.25","1.0","100.0","0.0","0.0","0.0","22.25","22.25","0.0","0.25","0.0",""
"Bermuda","Cook Islands","2015.0","Import","1.0","0.03","0.18","0.0","22.25","22.25","1.0","100.0","0.0","0.0","0.0","22.25","22.25","0.0","0.18","0.0","22.25","22.25","1.0","100.0","0.0","0.0","0.0","22.25","22.25","0.0","0.18","0.0",""
"Bermuda","Colombia","2015.0","Import","38.0","1.11","196.04","0.02","13.46","6.56","42.0","95.24","4.76","0.0","0.0","22.25","0.0","0.0","181.67","0.0","13.46","6.56","42.0","95.24","4.76","0.0","0.0","22.25","0.0","0.0","181.67","0.0",""
"Bermuda","Cape Verde","2015.0","Import","4.0","0.12","1.26","0.0","14.38","8.6","4.0","100.0","0.0","0.0","0.0","22.25","6.5","0.0","1.26","0.0","14.38","8.6","4.0","100.0","0.0","0.0","0.0","22.25","6.5","0.0","1.26","0.0",""
