"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Bolivia","Afghanistan","2015.0","Import","8.0","0.2","2.42","0.0","25.71","22.69","9.0","100.0","0.0","0.0","0.0","40.0","10.0","0.0","0.94","0.0","25.71","22.69","9.0","100.0","0.0","0.0","0.0","40.0","10.0","0.0","0.94","0.0",""
"Bolivia","Angola","2015.0","Import","3.0","0.08","42.86","0.0","25.0","30.43","2.0","100.0","0.0","0.0","0.0","40.0","10.0","0.0","0.05","0.0","25.0","30.43","2.0","100.0","0.0","0.0","0.0","40.0","10.0","0.0","0.05","0.0",""
"Bolivia","Albania","2015.0","Import","28.0","0.71","85.65","0.0","10.66","3.95","84.0","89.29","10.71","0.0","0.0","40.0","0.0","0.0","85.44","0.0","10.66","3.95","84.0","89.29","10.71","0.0","0.0","40.0","0.0","0.0","85.44","0.0",""
"Bolivia","Andorra","2015.0","Import","1.0","0.03","0.59","0.0","7.5","7.5","2.0","100.0","0.0","0.0","0.0","10.0","5.0","0.0","0.59","0.0","7.5","7.5","2.0","100.0","0.0","0.0","0.0","10.0","5.0","0.0","0.59","0.0",""
"Bolivia","United Arab Emirates","2015.0","Import","184.0","4.65","2713.2","0.03","14.42","7.97","363.0","95.04","4.96","0.0","0.0","40.0","0.0","0.0","2528.04","185.13","14.42","7.97","363.0","95.04","4.96","0.0","0.0","40.0","0.0","0.0","2528.04","185.13",""
"Bolivia","Argentina","2015.0","Import","1842.0","46.53","1149042.12","11.77","0.1","0.49","3227.0","3.63","96.37","0.0","0.0","40.0","0.0","0.0","478700.02","656193.35","12.51","9.6","3227.0","91.26","8.74","0.0","0.0","40.0","0.0","0.0","1116443.9","18449.46","4.0"
"Bolivia","Armenia","2015.0","Import","10.0","0.25","27.1","0.0","12.67","11.63","18.0","88.89","11.11","0.0","0.0","40.0","0.0","0.0","27.1","0.0","12.67","11.63","18.0","88.89","11.11","0.0","0.0","40.0","0.0","0.0","27.1","0.0",""
"Bolivia","American Samoa","2015.0","Import","1.0","0.03","0.46","0.0","1.0","1.0","5.0","20.0","80.0","0.0","0.0","5.0","0.0","0.0","0.46","0.0","1.0","1.0","5.0","20.0","80.0","0.0","0.0","5.0","0.0","0.0","0.46","0.0",""
"Bolivia","Antigua and Barbuda","2015.0","Import","3.0","0.08","1.21","0.0","11.21","10.39","13.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","1.21","0.0","11.21","10.39","13.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","1.21","0.0",""
"Bolivia","Australia","2015.0","Import","304.0","7.68","4236.05","0.04","10.71","5.62","605.0","89.26","10.74","0.0","0.0","40.0","0.0","0.0","3845.3","370.79","10.71","5.62","605.0","89.26","10.74","0.0","0.0","40.0","0.0","0.0","3845.3","370.79",""
"Bolivia","Austria","2015.0","Import","482.0","12.17","37390.88","0.38","10.35","3.89","947.0","89.33","10.67","0.0","0.0","40.0","0.0","0.0","16784.64","20589.13","10.35","3.89","947.0","89.33","10.67","0.0","0.0","40.0","0.0","0.0","16784.64","20589.13",""
"Bolivia","Burundi","2015.0","Import","1.0","0.03","0.07","0.0","40.0","40.0","1.0","100.0","0.0","0.0","0.0","40.0","40.0","0.0","0.07","0.0","40.0","40.0","1.0","100.0","0.0","0.0","0.0","40.0","40.0","0.0","0.07","0.0",""
"Bolivia","Belgium","2015.0","Import","514.0","12.98","38806.56","0.4","11.14","5.57","996.0","90.76","9.24","0.0","0.0","40.0","0.0","0.0","28148.3","10501.55","11.14","5.57","996.0","90.76","9.24","0.0","0.0","40.0","0.0","0.0","28148.3","10501.55",""
"Bolivia","Burkina Faso","2015.0","Import","1.0","0.03","0.01","0.0","40.0","40.0","1.0","100.0","0.0","0.0","0.0","40.0","40.0","0.0","0.01","0.0","40.0","40.0","1.0","100.0","0.0","0.0","0.0","40.0","40.0","0.0","0.01","0.0",""
"Bolivia","Bangladesh","2015.0","Import","170.0","4.29","1839.8","0.02","35.69","27.32","219.0","99.09","0.91","0.0","0.0","40.0","0.0","0.0","1827.32","0.21","35.69","27.32","219.0","99.09","0.91","0.0","0.0","40.0","0.0","0.0","1827.32","0.21",""
"Bolivia","Bulgaria","2015.0","Import","151.0","3.81","1970.01","0.02","15.76","9.23","285.0","89.82","10.18","0.0","0.0","40.0","0.0","0.0","1921.49","47.61","15.76","9.23","285.0","89.82","10.18","0.0","0.0","40.0","0.0","0.0","1921.49","47.61",""
"Bolivia","Bahrain","2015.0","Import","7.0","0.18","24.78","0.0","35.0","5.06","10.0","100.0","0.0","0.0","0.0","40.0","5.0","0.0","24.78","0.0","35.0","5.06","10.0","100.0","0.0","0.0","0.0","40.0","5.0","0.0","24.78","0.0",""
"Bolivia","Bahamas, The","2015.0","Import","4.0","0.1","4.94","0.0","10.0","10.0","6.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","4.94","0.0","10.0","10.0","6.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","4.94","0.0",""
"Bolivia","Bosnia and Herzegovina","2015.0","Import","32.0","0.81","75.1","0.0","18.01","16.93","51.0","84.31","15.69","0.0","0.0","40.0","0.0","0.0","75.1","0.0","18.01","16.93","51.0","84.31","15.69","0.0","0.0","40.0","0.0","0.0","75.1","0.0",""
"Bolivia","Belarus","2015.0","Import","18.0","0.45","11.16","0.0","11.21","9.8","43.0","95.35","4.65","0.0","0.0","40.0","0.0","0.0","11.13","0.0","11.21","9.8","43.0","95.35","4.65","0.0","0.0","40.0","0.0","0.0","11.13","0.0",""
"Bolivia","Belize","2015.0","Import","1.0","0.03","0.16","0.0","3.33","3.33","3.0","66.67","33.33","0.0","0.0","5.0","0.0","0.0","0.16","0.0","3.33","3.33","3.0","66.67","33.33","0.0","0.0","5.0","0.0","0.0","0.16","0.0",""
"Bolivia","Bermuda","2015.0","Import","1.0","0.03","8.44","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","8.44","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","8.44","0.0",""
"Bolivia","Brazil","2015.0","Import","2639.0","66.66","1609393.15","16.48","0.1","0.12","4318.0","3.33","96.67","0.0","0.0","40.0","0.0","0.0","104974.91","1492818.2","12.41","9.67","4318.0","91.5","8.5","0.0","0.0","40.0","0.0","0.0","1390236.45","207556.67","4.0"
"Bolivia","Barbados","2015.0","Import","4.0","0.1","4.58","0.0","6.67","8.72","3.0","100.0","0.0","0.0","0.0","10.0","5.0","0.0","4.46","0.0","6.67","8.72","3.0","100.0","0.0","0.0","0.0","10.0","5.0","0.0","4.46","0.0",""
"Bolivia","Brunei","2015.0","Import","3.0","0.08","9.93","0.0","11.67","10.02","4.0","100.0","0.0","0.0","0.0","15.0","10.0","0.0","9.93","0.0","11.67","10.02","4.0","100.0","0.0","0.0","0.0","15.0","10.0","0.0","9.93","0.0",""
"Bolivia","Bhutan","2015.0","Import","3.0","0.08","1.04","0.0","13.33","12.54","4.0","100.0","0.0","0.0","0.0","20.0","10.0","0.0","1.04","0.0","13.33","12.54","4.0","100.0","0.0","0.0","0.0","20.0","10.0","0.0","1.04","0.0",""
"Bolivia","Botswana","2015.0","Import","1.0","0.03","8.18","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bolivia","Central African Republic","2015.0","Import","2.0","0.05","2.36","0.0","19.58","9.33","7.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","2.36","0.0","19.58","9.33","7.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","2.36","0.0",""
"Bolivia","Canada","2015.0","Import","821.0","20.74","57981.39","0.59","10.26","6.76","1525.0","86.36","13.64","0.0","0.0","40.0","0.0","0.0","46167.42","10960.98","10.26","6.76","1525.0","86.36","13.64","0.0","0.0","40.0","0.0","0.0","46167.42","10960.98",""
"Bolivia","Cocos (Keeling) Islands","2015.0","Import","5.0","0.13","4.5","0.0","8.16","5.82","29.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","4.5","0.0","8.16","5.82","29.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","4.5","0.0",""
