"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Brazil","Aruba","2015.0","Import","1.0","0.02","1.61","0.0","4.0","4.0","4.0","25.0","75.0","0.0","0.0","16.0","0.0","0.0","1.61","0.0","4.0","4.0","4.0","25.0","75.0","0.0","0.0","16.0","0.0","0.0","1.61","0.0",""
"Brazil","Afghanistan","2015.0","Import","20.0","0.46","280.87","0.0","14.53","11.16","76.0","85.53","14.47","0.0","0.0","35.0","0.0","0.0","280.87","0.0","14.53","11.16","76.0","85.53","14.47","0.0","0.0","35.0","0.0","0.0","280.87","0.0",""
"Brazil","Angola","2015.0","Import","13.0","0.3","31847.78","0.02","9.5","0.04","52.0","55.77","44.23","0.0","0.0","18.0","0.0","0.0","129.23","31718.54","9.5","0.04","52.0","55.77","44.23","0.0","0.0","18.0","0.0","0.0","129.23","31718.54","1.0"
"Brazil","Albania","2015.0","Import","37.0","0.86","736.29","0.0","26.0","14.49","81.0","76.54","23.46","0.0","0.0","35.0","0.0","0.0","472.88","263.41","26.0","14.49","81.0","76.54","23.46","0.0","0.0","35.0","0.0","0.0","472.88","263.41",""
"Brazil","Andorra","2015.0","Import","5.0","0.12","8.64","0.0","11.2","13.62","14.0","71.43","28.57","0.0","0.0","18.0","0.0","0.0","8.64","0.0","11.2","13.62","14.0","71.43","28.57","0.0","0.0","18.0","0.0","0.0","8.64","0.0",""
"Brazil","United Arab Emirates","2015.0","Import","364.0","8.44","461777.52","0.27","16.49","2.83","864.0","91.44","8.56","0.0","0.0","35.0","0.0","0.0","392216.41","69561.1","16.49","2.83","864.0","91.44","8.56","0.0","0.0","35.0","0.0","0.0","392216.41","69561.1",""
"Brazil","Argentina","2015.0","Import","1526.0","35.38","10284589.08","6.0","0.02","0.03","4144.0","0.12","99.88","0.0","0.0","20.0","0.0","0.0","75715.08","10208874.0","14.4","20.53","4144.0","91.02","8.98","0.0","0.0","55.0","0.0","0.0","9962146.17","322442.92","11.0"
"Brazil","Armenia","2015.0","Import","10.0","0.23","125.9","0.0","22.01","22.18","54.0","100.0","0.0","0.0","0.0","35.0","2.0","0.0","125.9","0.0","22.01","22.18","54.0","100.0","0.0","0.0","0.0","35.0","2.0","0.0","125.9","0.0",""
"Brazil","American Samoa","2015.0","Import","1.0","0.02","0.34","0.0","10.67","10.67","3.0","66.67","33.33","0.0","0.0","16.0","0.0","0.0","0.34","0.0","10.67","10.67","3.0","66.67","33.33","0.0","0.0","16.0","0.0","0.0","0.34","0.0",""
"Brazil","Antigua and Barbuda","2015.0","Import","1.0","0.02","1.87","0.0","18.0","18.0","3.0","100.0","0.0","0.0","0.0","18.0","18.0","0.0","1.87","0.0","18.0","18.0","3.0","100.0","0.0","0.0","0.0","18.0","18.0","0.0","1.87","0.0",""
