"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Barbados","Aruba","2015.0","Import","19.0","0.5","5.3","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Afghanistan","2015.0","Import","7.0","0.19","8.56","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Angola","2015.0","Import","1.0","0.03","0.02","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Anguila","2015.0","Import","4.0","0.11","0.92","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Albania","2015.0","Import","8.0","0.21","16.74","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Andorra","2015.0","Import","7.0","0.19","3.65","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","United Arab Emirates","2015.0","Import","103.0","2.73","330.85","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Argentina","2015.0","Import","63.0","1.67","1585.91","0.1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","American Samoa","2015.0","Import","2.0","0.05","0.03","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Antigua and Barbuda","2015.0","Import","51.0","1.35","207.91","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Australia","2015.0","Import","124.0","3.29","4319.64","0.27","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Austria","2015.0","Import","128.0","3.39","1376.69","0.09","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Burundi","2015.0","Import","1.0","0.03","1.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Belgium","2015.0","Import","223.0","5.91","5616.95","0.35","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Bonaire","2015.0","Import","1.0","0.03","0.28","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Bangladesh","2015.0","Import","47.0","1.25","119.92","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Bulgaria","2015.0","Import","37.0","0.98","103.99","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Bahrain","2015.0","Import","1.0","0.03","0.05","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Bahamas, The","2015.0","Import","21.0","0.56","8738.48","0.54","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Bosnia and Herzegovina","2015.0","Import","3.0","0.08","0.35","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Belarus","2015.0","Import","1.0","0.03","316.63","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Belize","2015.0","Import","29.0","0.77","1879.19","0.12","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Bermuda","2015.0","Import","38.0","1.01","21.61","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Bolivia","2015.0","Import","2.0","0.05","5.17","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Brazil","2015.0","Import","393.0","10.42","22785.31","1.41","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Brunei","2015.0","Import","2.0","0.05","0.09","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Bouvet Island","2015.0","Import","1.0","0.03","0.48","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Central African Republic","2015.0","Import","3.0","0.08","41.95","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Canada","2015.0","Import","1373.0","36.4","38002.74","2.35","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Cocos (Keeling) Islands","2015.0","Import","3.0","0.08","8.83","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Switzerland","2015.0","Import","452.0","11.98","20320.79","1.26","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Chile","2015.0","Import","86.0","2.28","4036.97","0.25","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","China","2015.0","Import","1769.0","46.9","91436.89","5.65","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Cote d'Ivoire","2015.0","Import","1.0","0.03","166.57","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Cameroon","2015.0","Import","7.0","0.19","205.84","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Congo, Rep.","2015.0","Import","1.0","0.03","43.95","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Colombia","2015.0","Import","203.0","5.38","4398.28","0.27","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Comoros","2015.0","Import","1.0","0.03","7.94","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Cape Verde","2015.0","Import","1.0","0.03","1.07","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Costa Rica","2015.0","Import","140.0","3.71","8361.48","0.52","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Cuba","2015.0","Import","12.0","0.32","198.31","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Curaçao","2015.0","Import","195.0","5.17","627.48","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Cayman Islands","2015.0","Import","16.0","0.42","13.98","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Cyprus","2015.0","Import","13.0","0.34","415.32","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Czech Republic","2015.0","Import","127.0","3.37","344.41","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Germany","2015.0","Import","817.0","21.66","26967.89","1.67","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Dominica","2015.0","Import","37.0","0.98","780.86","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Denmark","2015.0","Import","262.0","6.95","7260.85","0.45","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Dominican Republic","2015.0","Import","172.0","4.56","9555.05","0.59","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","East Asia & Pacific","2015.0","Import","2021.0","53.58","204020.14","12.61","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Europe & Central Asia","2015.0","Import","2454.0","65.06","251920.16","15.57","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Ecuador","2015.0","Import","61.0","1.62","1280.74","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Egypt, Arab Rep.","2015.0","Import","26.0","0.69","217.17","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Eritrea","2015.0","Import","3.0","0.08","2.92","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Spain","2015.0","Import","314.0","8.32","9793.31","0.61","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Estonia","2015.0","Import","10.0","0.27","47.93","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Ethiopia(excludes Eritrea)","2015.0","Import","1.0","0.03","8.82","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Finland","2015.0","Import","54.0","1.43","167.92","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Fiji","2015.0","Import","2.0","0.05","215.02","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","France","2015.0","Import","592.0","15.69","31300.39","1.93","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Gabon","2015.0","Import","3.0","0.08","64.35","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","United Kingdom","2015.0","Import","1996.0","52.92","68197.53","4.22","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Georgia","2015.0","Import","17.0","0.45","172.06","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Ghana","2015.0","Import","6.0","0.16","21.38","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Guinea","2015.0","Import","3.0","0.08","0.46","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Gambia, The","2015.0","Import","3.0","0.08","3.39","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Greece","2015.0","Import","32.0","0.85","120.28","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Grenada","2015.0","Import","57.0","1.51","1230.97","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Guatemala","2015.0","Import","83.0","2.2","3634.31","0.22","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Guam","2015.0","Import","1.0","0.03","1.32","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","Guyana","2015.0","Import","192.0","5.09","14445.12","0.89","","","","","","","","","","","","","","","","","","","","","","","","",""
