"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Brunei","Afghanistan","2015.0","Import","11.0","0.31","8.45","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei","Anguila","2015.0","Import","89.0","2.51","954.34","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei","Albania","2015.0","Import","1.0","0.03","0.17","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei","United Arab Emirates","2015.0","Import","450.0","12.7","7839.0","0.24","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei","Argentina","2015.0","Import","20.0","0.56","6801.05","0.21","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei","Antarctica","2015.0","Import","4.0","0.11","312.96","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei","Australia","2015.0","Import","943.0","26.61","43839.26","1.36","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei","Austria","2015.0","Import","128.0","3.61","1663.86","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei","Burundi","2015.0","Import","4.0","0.11","10.58","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei","Belgium","2015.0","Import","192.0","5.42","5871.32","0.18","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei","Bangladesh","2015.0","Import","113.0","3.19","607.95","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei","Bulgaria","2015.0","Import","33.0","0.93","89.85","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei","Bahrain","2015.0","Import","2.0","0.06","0.48","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei","Bosnia and Herzegovina","2015.0","Import","1.0","0.03","0.19","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei","Brazil","2015.0","Import","108.0","3.05","786.1","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei","Canada","2015.0","Import","301.0","8.49","5414.6","0.17","","","","","","","","","","","","","","","","","","","","","","","","",""
