"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Botswana","Aruba","2015.0","Import","1.0","0.02","0.15","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Botswana","Angola","2015.0","Import","6.0","0.15","81.96","0.0","0.0","0.0","9.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","81.96","7.11","3.14","9.0","44.44","44.44","0.0","11.11","20.0","0.0","0.0","25.39","56.56","1.0"
"Botswana","Andorra","2015.0","Import","43.0","1.07","109.52","0.0","12.42","13.48","105.0","58.1","31.43","8.57","1.9","45.0","0.0","1.6","86.94","22.57","12.42","13.48","105.0","58.1","31.43","8.57","1.9","45.0","0.0","1.6","86.94","22.57",""
"Botswana","United Arab Emirates","2015.0","Import","579.0","14.34","33520.11","0.44","10.39","11.42","1209.0","54.76","42.27","1.24","1.74","395.8","0.0","816.91","23491.6","9886.03","10.39","11.42","1209.0","54.76","42.27","1.24","1.74","395.8","0.0","816.91","23491.6","9886.03",""
"Botswana","Argentina","2015.0","Import","1.0","0.02","1.66","0.0","37.0","37.0","1.0","100.0","0.0","0.0","0.0","37.0","37.0","0.0","1.66","0.0","37.0","37.0","1.0","100.0","0.0","0.0","0.0","37.0","37.0","0.0","1.66","0.0",""
"Botswana","Australia","2015.0","Import","250.0","6.19","15264.29","0.2","12.1","4.47","504.0","53.37","44.25","0.4","1.98","395.8","0.0","0.1","4521.46","10614.38","12.1","4.47","504.0","53.37","44.25","0.4","1.98","395.8","0.0","0.1","4521.46","10614.38",""
"Botswana","Austria","2015.0","Import","61.0","1.51","1129.05","0.01","5.3","1.55","169.0","40.83","59.17","0.0","0.0","45.0","0.0","0.0","145.93","971.56","5.3","1.55","169.0","40.83","59.17","0.0","0.0","45.0","0.0","0.0","145.93","971.56",""
"Botswana","Burundi","2015.0","Import","1.0","0.02","3.86","0.0","3.75","3.75","4.0","25.0","75.0","0.0","0.0","15.0","0.0","0.0","3.86","0.0","3.75","3.75","4.0","25.0","75.0","0.0","0.0","15.0","0.0","0.0","3.86","0.0",""
"Botswana","Belgium","2015.0","Import","242.0","5.99","209956.47","2.75","6.22","0.2","531.0","44.26","51.79","2.07","1.88","45.0","0.0","10.62","6438.88","203504.18","6.22","0.2","531.0","44.26","51.79","2.07","1.88","45.0","0.0","10.62","6438.88","203504.18",""
"Botswana","Bangladesh","2015.0","Import","14.0","0.35","4.77","0.0","31.36","40.68","18.0","66.67","22.22","0.0","11.11","45.0","0.0","0.0","1.83","0.1","31.36","40.68","18.0","66.67","22.22","0.0","11.11","45.0","0.0","0.0","1.83","0.1",""
"Botswana","Bulgaria","2015.0","Import","10.0","0.25","7.71","0.0","41.67","20.09","15.0","40.0","33.33","13.33","13.33","395.8","0.0","0.53","0.85","6.63","41.67","20.09","15.0","40.0","33.33","13.33","13.33","395.8","0.0","0.53","0.85","6.63",""
"Botswana","Bahrain","2015.0","Import","2.0","0.05","11.36","0.0","5.88","8.52","19.0","36.84","63.16","0.0","0.0","20.0","0.0","0.0","11.36","0.0","5.88","8.52","19.0","36.84","63.16","0.0","0.0","20.0","0.0","0.0","11.36","0.0",""
