"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Central African Republic","Angola","2015.0","Import","5.0","0.52","46.56","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Central African Republic","United Arab Emirates","2015.0","Import","131.0","13.67","5427.36","1.19","","","","","","","","","","","","","","","","","","","","","","","","",""
"Central African Republic","Australia","2015.0","Import","6.0","0.63","1649.7","0.36","10.28","9.38","18.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","709.91","0.0","10.28","9.38","18.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","709.91","0.0",""
"Central African Republic","Austria","2015.0","Import","1.0","0.1","0.5","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Central African Republic","Belgium","2015.0","Import","121.0","12.63","15299.5","3.35","","","","","","","","","","","","","","","","","","","","","","","","",""
"Central African Republic","Benin","2015.0","Import","2.0","0.21","297.07","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Central African Republic","Bulgaria","2015.0","Import","6.0","0.63","79.81","0.02","16.25","25.69","5.0","80.0","20.0","0.0","0.0","30.0","0.0","0.0","165.97","1.61","16.25","25.69","5.0","80.0","20.0","0.0","0.0","30.0","0.0","0.0","165.97","1.61",""
"Central African Republic","Brazil","2015.0","Import","5.0","0.52","2825.87","0.62","12.95","6.86","29.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","1737.36","0.0","12.95","6.86","29.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","1737.36","0.0",""
"Central African Republic","Canada","2015.0","Import","2.0","0.21","550.74","0.12","13.85","3.98","27.0","96.3","3.7","0.0","0.0","30.0","0.0","0.0","508.63","788.37","13.85","3.98","27.0","96.3","3.7","0.0","0.0","30.0","0.0","0.0","508.63","788.37",""
"Central African Republic","Switzerland","2015.0","Import","72.0","7.52","6045.77","1.32","13.03","5.45","41.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","1758.19","0.0","13.03","5.45","41.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","1758.19","0.0",""
"Central African Republic","Chile","2015.0","Import","2.0","0.21","242.74","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
