"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Canada","Aruba","2015.0","Import","29.0","0.64","42404.96","0.01","4.06","1.01","92.0","45.65","47.83","1.09","5.43","274.5","0.0","0.1","42387.29","17.65","4.06","1.01","92.0","45.65","47.83","1.09","5.43","274.5","0.0","0.1","42387.29","17.65",""
"Canada","Afghanistan","2015.0","Import","272.0","5.96","2359.46","0.0","0.72","0.12","539.0","0.0","98.7","0.0","1.3","274.5","0.0","0.0","2.52","2334.48","4.89","2.07","539.0","43.04","53.25","0.19","3.53","274.5","0.0","0.2","540.88","1796.12","2.0"
"Canada","Angola","2015.0","Import","56.0","1.23","520271.66","0.12","1.16","0.0","100.0","20.0","80.0","0.0","0.0","18.0","0.0","0.0","11.64","520260.03","1.58","0.0","100.0","24.0","76.0","0.0","0.0","18.0","0.0","0.0","36.32","520235.35","1.0"
"Canada","Anguila","2015.0","Import","21.0","0.46","177.08","0.0","2.46","0.08","45.0","28.89","71.11","0.0","0.0","18.0","0.0","0.0","2.52","174.56","2.78","0.88","45.0","31.11","64.44","0.0","4.44","18.0","0.0","0.0","157.71","19.38","1.0"
"Canada","Albania","2015.0","Import","338.0","7.41","6526.86","0.0","7.06","11.26","658.0","52.43","45.29","0.15","2.13","274.5","0.0","0.28","5141.13","1344.22","7.06","11.26","658.0","52.43","45.29","0.15","2.13","274.5","0.0","0.28","5141.13","1344.22",""
"Canada","Andorra","2015.0","Import","65.0","1.43","214.7","0.0","3.03","0.67","168.0","35.71","60.71","0.6","2.98","274.5","0.0","0.09","22.04","192.67","3.03","0.67","168.0","35.71","60.71","0.6","2.98","274.5","0.0","0.09","22.04","192.67",""
"Canada","United Arab Emirates","2015.0","Import","913.0","20.02","110685.21","0.03","4.32","2.4","1547.0","41.5","54.36","0.45","3.68","277.0","0.0","209.51","37433.37","73247.29","4.32","2.4","1547.0","41.5","54.36","0.45","3.68","277.0","0.0","209.51","37433.37","73247.29",""
"Canada","Argentina","2015.0","Import","787.0","17.26","1463272.17","0.35","3.3","0.59","1450.0","32.55","58.14","0.41","8.9","274.5","0.0","1903.51","163688.45","1299583.41","3.3","0.59","1450.0","32.55","58.14","0.41","8.9","274.5","0.0","1903.51","163688.45","1299583.41",""
"Canada","Armenia","2015.0","Import","138.0","3.03","111730.17","0.03","5.11","0.39","258.0","38.76","51.16","0.0","10.08","256.0","0.0","0.0","2705.02","109023.1","5.48","0.39","258.0","41.86","44.96","0.0","13.18","256.0","0.0","0.0","2726.09","109002.02","1.0"
"Canada","American Samoa","2015.0","Import","78.0","1.71","408.81","0.0","4.17","0.25","197.0","44.67","52.28","0.51","2.54","274.5","0.0","0.02","18.46","390.35","4.17","0.25","197.0","44.67","52.28","0.51","2.54","274.5","0.0","0.02","18.46","390.35",""
"Canada","Antarctica","2015.0","Import","13.0","0.29","174.16","0.0","1.92","4.44","17.0","29.41","70.59","0.0","0.0","9.5","0.0","0.0","171.77","2.39","1.92","4.44","17.0","29.41","70.59","0.0","0.0","9.5","0.0","0.0","171.77","2.39",""
"Canada","Fr. So. Ant. Tr","2015.0","Import","5.0","0.11","0.86","0.0","4.2","1.99","11.0","36.36","63.64","0.0","0.0","18.0","0.0","0.0","0.46","0.4","4.2","1.99","11.0","36.36","63.64","0.0","0.0","18.0","0.0","0.0","0.46","0.4","1.0"
"Canada","Antigua and Barbuda","2015.0","Import","48.0","1.05","312.5","0.0","1.54","0.11","124.0","2.42","94.35","0.0","3.23","274.5","0.0","0.0","4.36","360.04","3.46","1.08","124.0","36.29","55.65","0.81","7.26","274.5","0.0","0.0","266.32","98.08","1.0"
"Canada","Australia","2015.0","Import","1905.0","41.78","1313820.77","0.31","3.12","2.73","3162.0","30.42","64.33","0.22","5.03","298.5","0.0","1741.45","418384.52","875073.33","3.48","2.79","3162.0","32.57","62.02","0.22","5.19","298.5","0.0","1741.45","444018.55","849439.3","1.0"
"Canada","Austria","2015.0","Import","2194.0","48.11","1400445.55","0.33","3.36","0.69","3550.0","33.32","62.85","0.14","3.69","274.5","0.0","70.42","143401.02","1135759.18","3.36","0.69","3550.0","33.32","62.85","0.14","3.69","274.5","0.0","70.42","143401.02","1135759.18",""
"Canada","Azerbaijan","2015.0","Import","48.0","1.05","349640.84","0.08","2.08","0.0","91.0","29.67","70.33","0.0","0.0","13.0","0.0","0.0","181.28","349459.56","2.08","0.0","91.0","29.67","70.33","0.0","0.0","13.0","0.0","0.0","181.28","349459.56",""
"Canada","Burundi","2015.0","Import","16.0","0.35","406.02","0.0","0.0","0.0","21.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","406.02","4.48","0.87","21.0","28.57","71.43","0.0","0.0","18.0","0.0","0.0","27.4","378.61","2.0"
"Canada","Belgium","2015.0","Import","2281.0","50.02","1704897.56","0.41","3.17","3.37","3673.0","30.6","64.06","0.19","5.15","298.5","0.0","7337.22","545156.28","1100901.72","3.17","3.37","3673.0","30.6","64.06","0.19","5.15","298.5","0.0","7337.22","545156.28","1100901.72",""
"Canada","Benin","2015.0","Import","28.0","0.61","14.17","0.0","3.21","0.83","53.0","0.0","98.11","0.0","1.89","270.0","0.0","0.0","0.13","14.04","6.34","4.55","53.0","43.4","54.72","0.0","1.89","270.0","0.0","0.0","8.88","5.28","2.0"
"Canada","Bonaire","2015.0","Import","6.0","0.13","0.26","0.0","3.35","2.25","11.0","54.55","45.45","0.0","0.0","10.0","0.0","0.0","0.11","0.15","3.35","2.25","11.0","54.55","45.45","0.0","0.0","10.0","0.0","0.0","0.11","0.15",""
