"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Switzerland","Aruba","2015.0","Import","13.0","0.29","400.7","0.0","2.13","0.84","17.0","0.0","17.65","0.0","82.35","23.79","0.0","0.0","229.11","171.59","2.13","0.84","17.0","0.0","17.65","0.0","82.35","23.79","0.0","0.0","229.11","171.59",""
"Switzerland","Afghanistan","2015.0","Import","52.0","1.14","588.57","0.0","0.0","0.0","77.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","588.56","8.28","5.77","77.0","0.0","12.99","0.0","87.01","148.54","0.0","0.0","559.86","28.7","2.0"
"Switzerland","Angola","2015.0","Import","43.0","0.95","200.1","0.0","0.0","0.0","72.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","200.1","2.19","0.28","72.0","0.0","29.17","0.0","70.83","18.31","0.0","0.0","58.79","141.31","2.0"
"Switzerland","Anguila","2015.0","Import","1.0","0.02","40.11","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","40.11","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","40.11","1.0"
"Switzerland","Albania","2015.0","Import","305.0","6.71","13416.62","0.01","1.45","0.73","569.0","0.0","86.29","0.0","13.71","815.38","0.0","0.0","299.07","13117.54","9.79","8.41","569.0","0.0","11.6","0.0","88.4","815.38","0.0","0.0","11834.11","1582.5","1.0"
"Switzerland","Andorra","2015.0","Import","55.0","1.21","611.02","0.0","0.63","0.01","110.0","0.0","73.64","0.0","26.36","135.97","0.0","0.0","0.16","610.86","6.96","2.79","110.0","0.0","8.18","0.0","91.82","135.97","0.0","0.0","567.11","43.91","1.0"
"Switzerland","United Arab Emirates","2015.0","Import","983.0","21.62","3870630.08","1.53","0.83","0.05","1684.0","0.0","90.08","0.0","9.92","366.85","0.0","0.0","3401.65","3866381.84","6.83","0.1","1684.0","0.0","12.89","0.06","87.05","366.85","0.0","30.25","898392.75","2971390.74","1.0"
"Switzerland","Argentina","2015.0","Import","544.0","11.96","1265725.05","0.5","5.27","2.54","1242.0","0.0","62.24","0.0","37.76","883.82","0.0","0.0","42961.72","1222763.33","9.6","2.75","1242.0","0.0","16.83","0.0","83.17","883.82","0.0","0.0","73119.29","1192605.77","1.0"
"Switzerland","Armenia","2015.0","Import","149.0","3.28","3265.38","0.0","6.79","4.15","353.0","0.0","52.12","0.0","47.88","815.38","0.0","0.0","1284.43","1980.95","12.29","8.11","353.0","0.0","13.6","0.28","86.12","815.38","0.0","304.75","3085.57","179.82","1.0"
"Switzerland","Fr. So. Ant. Tr","2015.0","Import","1.0","0.02","1.82","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1.82","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1.82",""
