"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Chile","Aruba","2015.0","Import","5.0","0.11","12550.16","0.02","6.0","6.0","7.0","100.0","0.0","0.0","0.0","6.0","6.0","0.0","12550.16","0.0","6.0","6.0","7.0","100.0","0.0","0.0","0.0","6.0","6.0","0.0","12550.16","0.0",""
"Chile","Afghanistan","2015.0","Import","10.0","0.23","12.38","0.0","0.0","0.0","18.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","12.37","6.0","6.0","18.0","100.0","0.0","0.0","0.0","6.0","6.0","0.0","12.37","0.0","1.0"
"Chile","Angola","2015.0","Import","4.0","0.09","58752.45","0.09","0.0","0.0","13.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","58752.45","6.0","6.0","13.0","100.0","0.0","0.0","0.0","6.0","6.0","0.0","58752.45","0.0","1.0"
"Chile","Anguila","2015.0","Import","62.0","1.43","54.09","0.0","6.0","6.0","132.0","100.0","0.0","0.0","0.0","6.0","6.0","0.0","54.09","0.0","6.0","6.0","132.0","100.0","0.0","0.0","0.0","6.0","6.0","0.0","54.09","0.0",""
"Chile","Albania","2015.0","Import","34.0","0.78","290.97","0.0","6.0","6.0","89.0","100.0","0.0","0.0","0.0","6.0","6.0","0.0","290.97","0.0","6.0","6.0","89.0","100.0","0.0","0.0","0.0","6.0","6.0","0.0","290.97","0.0",""
"Chile","Andorra","2015.0","Import","27.0","0.62","774.05","0.0","6.0","6.0","51.0","100.0","0.0","0.0","0.0","6.0","6.0","0.0","774.06","0.0","6.0","6.0","51.0","100.0","0.0","0.0","0.0","6.0","6.0","0.0","774.06","0.0",""
"Chile","United Arab Emirates","2015.0","Import","394.0","9.06","39825.37","0.06","5.98","6.0","870.0","99.54","0.46","0.0","0.0","6.0","0.0","0.0","39825.23","0.14","5.98","6.0","870.0","99.54","0.46","0.0","0.0","6.0","0.0","0.0","39825.23","0.14",""
"Chile","Argentina","2015.0","Import","2087.0","47.97","2516607.71","3.99","0.0","0.0","3724.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2516607.73","6.0","6.0","3724.0","99.92","0.08","0.0","0.0","6.0","0.0","0.0","2516607.73","0.0","4.0"
"Chile","Armenia","2015.0","Import","4.0","0.09","21.7","0.0","6.0","6.0","17.0","100.0","0.0","0.0","0.0","6.0","6.0","0.0","21.7","0.0","6.0","6.0","17.0","100.0","0.0","0.0","0.0","6.0","6.0","0.0","21.7","0.0",""
"Chile","Fr. So. Ant. Tr","2015.0","Import","7.0","0.16","44.83","0.0","6.0","6.0","11.0","100.0","0.0","0.0","0.0","6.0","6.0","0.0","44.83","0.0","6.0","6.0","11.0","100.0","0.0","0.0","0.0","6.0","6.0","0.0","44.83","0.0",""
