"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"China","Aruba","2015.0","Import","6.0","0.13","5.66","0.0","2.83","1.76","13.0","30.77","69.23","0.0","0.0","10.0","0.0","0.0","1.25","4.4","2.83","1.76","13.0","30.77","69.23","0.0","0.0","10.0","0.0","0.0","1.25","4.4",""
"China","Afghanistan","2015.0","Import","45.0","1.01","11770.64","0.0","0.05","0.0","206.0","1.46","98.54","0.0","0.0","5.0","0.0","0.0","2.64","11993.57","6.43","7.53","206.0","86.89","13.11","0.0","0.0","25.0","0.0","0.0","11526.97","469.23","1.0"
"China","Angola","2015.0","Import","43.0","0.96","16001611.38","0.95","0.01","0.0","156.0","0.64","99.36","0.0","0.0","1.0","0.0","0.0","19272.49","15977976.59","3.87","0.01","156.0","42.95","57.05","0.0","0.0","35.0","0.0","0.0","63030.53","15934218.55","1.0"
"China","Albania","2015.0","Import","183.0","4.1","127861.36","0.01","13.17","1.21","1076.0","94.98","5.02","0.0","0.0","40.0","0.0","0.0","11873.56","116781.18","13.17","1.21","1076.0","94.98","5.02","0.0","0.0","40.0","0.0","0.0","11873.56","116781.18",""
"China","Andorra","2015.0","Import","16.0","0.36","10.67","0.0","4.19","5.09","59.0","66.1","33.9","0.0","0.0","12.0","0.0","0.0","9.55","1.12","4.19","5.09","59.0","66.1","33.9","0.0","0.0","12.0","0.0","0.0","9.55","1.12",""
"China","United Arab Emirates","2015.0","Import","725.0","16.25","11514031.96","0.69","9.33","2.14","2356.0","88.46","11.54","0.0","0.0","57.0","0.0","0.0","5935248.31","5354294.0","9.33","2.14","2356.0","88.46","11.54","0.0","0.0","57.0","0.0","0.0","5935248.31","5354294.0",""
"China","Argentina","2015.0","Import","493.0","11.05","5717476.18","0.34","8.59","4.47","1828.0","87.09","12.58","0.0","0.33","65.0","0.0","0.0","5519913.51","194417.84","8.59","4.47","1828.0","87.09","12.58","0.0","0.33","65.0","0.0","0.0","5519913.51","194417.84",""
"China","Armenia","2015.0","Import","93.0","2.08","208972.28","0.01","11.1","0.56","605.0","93.22","6.78","0.0","0.0","65.0","0.0","0.0","7221.11","211859.55","11.1","0.56","605.0","93.22","6.78","0.0","0.0","65.0","0.0","0.0","7221.11","211859.55",""
"China","Antigua and Barbuda","2015.0","Import","7.0","0.16","6.66","0.0","3.93","2.35","18.0","55.56","44.44","0.0","0.0","15.0","0.0","0.0","2.73","3.94","3.93","2.35","18.0","55.56","44.44","0.0","0.0","15.0","0.0","0.0","2.73","3.94",""
"China","Australia","2015.0","Import","2317.0","51.94","73509970.81","4.38","9.4","1.99","6915.0","89.17","10.77","0.0","0.06","3000.0","0.0","0.0","15804076.67","49315154.34","9.4","1.99","6915.0","89.17","10.77","0.0","0.06","3000.0","0.0","0.0","15804076.67","49315154.34",""
"China","Austria","2015.0","Import","1950.0","43.71","4968031.5","0.3","8.85","7.03","5826.0","88.23","11.74","0.0","0.03","3000.0","0.0","0.0","3920800.03","1048138.15","8.85","7.03","5826.0","88.23","11.74","0.0","0.03","3000.0","0.0","0.0","3920800.03","1048138.15",""
"China","Azerbaijan","2015.0","Import","26.0","0.58","222904.06","0.01","7.56","1.46","139.0","93.53","6.47","0.0","0.0","20.0","0.0","0.0","66559.76","159812.89","7.56","1.46","139.0","93.53","6.47","0.0","0.0","20.0","0.0","0.0","66559.76","159812.89",""
"China","Burundi","2015.0","Import","11.0","0.25","2815.54","0.0","0.0","0.0","32.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2815.54","6.36","2.39","32.0","75.0","25.0","0.0","0.0","15.0","0.0","0.0","500.06","2315.48","1.0"
"China","Belgium","2015.0","Import","2321.0","52.03","7005805.22","0.42","9.34","6.6","7225.0","90.35","9.38","0.19","0.07","3000.0","0.0","59625.07","6052070.19","967900.68","9.34","6.6","7225.0","90.35","9.38","0.19","0.07","3000.0","0.0","59625.07","6052070.19","967900.68",""
"China","Benin","2015.0","Import","18.0","0.4","77849.43","0.0","2.43","3.01","112.0","2.68","97.32","0.0","0.0","40.0","0.0","0.0","17182.08","60949.89","6.25","3.28","112.0","28.57","71.43","0.0","0.0","40.0","0.0","0.0","19477.48","58654.5","1.0"
"China","Bonaire","2015.0","Import","1.0","0.02","0.11","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"China","Burkina Faso","2015.0","Import","10.0","0.22","44064.9","0.0","7.0","5.46","25.0","80.0","20.0","0.0","0.0","40.0","0.0","0.0","18382.57","25827.25","7.0","5.46","25.0","80.0","20.0","0.0","0.0","40.0","0.0","0.0","18382.57","25827.25",""
"China","Bangladesh","2015.0","Import","477.0","10.69","816845.19","0.05","2.67","0.44","2201.0","16.58","83.42","0.0","0.0","45.0","0.0","0.0","126768.64","676949.61","12.01","12.05","2201.0","95.09","4.91","0.0","0.0","45.0","0.0","0.0","800661.38","3056.87","3.0"
"China","Bulgaria","2015.0","Import","803.0","18.0","748306.6","0.04","10.04","3.86","3145.0","86.96","12.97","0.0","0.06","3000.0","0.0","0.0","207445.39","545589.75","10.04","3.86","3145.0","86.96","12.97","0.0","0.06","3000.0","0.0","0.0","207445.39","545589.75",""
"China","Bahrain","2015.0","Import","93.0","2.08","111542.81","0.01","7.26","4.79","346.0","87.28","12.72","0.0","0.0","20.0","0.0","0.0","105125.18","6453.63","7.26","4.79","346.0","87.28","12.72","0.0","0.0","20.0","0.0","0.0","105125.18","6453.63",""
"China","Bahamas, The","2015.0","Import","13.0","0.29","24365.19","0.0","4.35","4.77","55.0","78.18","21.82","0.0","0.0","12.0","0.0","0.0","23427.69","937.5","4.35","4.77","55.0","78.18","21.82","0.0","0.0","12.0","0.0","0.0","23427.69","937.5",""
"China","Bosnia and Herzegovina","2015.0","Import","257.0","5.76","53729.08","0.0","11.21","9.03","1233.0","89.7","10.3","0.0","0.0","25.0","0.0","0.0","33657.43","20071.94","11.21","9.03","1233.0","89.7","10.3","0.0","0.0","25.0","0.0","0.0","33657.43","20071.94",""
"China","Belarus","2015.0","Import","312.0","6.99","1010810.01","0.06","8.68","2.61","1148.0","81.36","18.47","0.0","0.17","3000.0","0.0","0.0","981778.88","28731.28","8.68","2.61","1148.0","81.36","18.47","0.0","0.17","3000.0","0.0","0.0","981778.88","28731.28",""
"China","Belize","2015.0","Import","18.0","0.4","1786.13","0.0","4.59","0.16","59.0","40.68","59.32","0.0","0.0","10.0","0.0","0.0","58.71","1727.42","4.59","0.16","59.0","40.68","59.32","0.0","0.0","10.0","0.0","0.0","58.71","1727.42",""
