"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Cote d'Ivoire","Aruba","2015.0","Import","1.0","0.03","355.77","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cote d'Ivoire","Afghanistan","2015.0","Import","4.0","0.1","1.46","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cote d'Ivoire","Angola","2015.0","Import","16.0","0.42","15273.86","0.16","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cote d'Ivoire","Anguila","2015.0","Import","1.0","0.03","0.05","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cote d'Ivoire","Albania","2015.0","Import","14.0","0.37","368.16","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cote d'Ivoire","Andorra","2015.0","Import","7.0","0.18","57.02","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cote d'Ivoire","United Arab Emirates","2015.0","Import","985.0","25.74","46856.99","0.49","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cote d'Ivoire","Argentina","2015.0","Import","55.0","1.44","34026.01","0.36","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cote d'Ivoire","American Samoa","2015.0","Import","1.0","0.03","0.01","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cote d'Ivoire","Antarctica","2015.0","Import","2.0","0.05","0.54","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cote d'Ivoire","Antigua and Barbuda","2015.0","Import","3.0","0.08","1.07","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cote d'Ivoire","Australia","2015.0","Import","395.0","10.32","21273.91","0.22","12.03","9.69","345.0","99.71","0.29","0.0","0.0","35.0","0.0","0.0","11945.52","129.42","12.03","9.69","345.0","99.71","0.29","0.0","0.0","35.0","0.0","0.0","11945.52","129.42",""
"Cote d'Ivoire","Austria","2015.0","Import","349.0","9.12","10519.51","0.11","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cote d'Ivoire","Azerbaijan","2015.0","Import","1.0","0.03","0.35","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cote d'Ivoire","Burundi","2015.0","Import","4.0","0.1","1.56","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cote d'Ivoire","Belgium","2015.0","Import","1573.0","41.1","175363.72","1.84","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cote d'Ivoire","Benin","2015.0","Import","76.0","1.99","8463.34","0.09","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Cote d'Ivoire","Burkina Faso","2015.0","Import","225.0","5.88","6147.53","0.06","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Cote d'Ivoire","Bangladesh","2015.0","Import","155.0","4.05","14104.35","0.15","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cote d'Ivoire","Bulgaria","2015.0","Import","111.0","2.9","1543.77","0.02","18.45","16.58","62.0","98.39","1.61","0.0","0.0","35.0","0.0","0.0","1651.17","126.66","18.45","16.58","62.0","98.39","1.61","0.0","0.0","35.0","0.0","0.0","1651.17","126.66",""
"Cote d'Ivoire","Bahrain","2015.0","Import","4.0","0.1","573.97","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cote d'Ivoire","Bosnia and Herzegovina","2015.0","Import","18.0","0.47","86.39","0.0","8.75","5.43","4.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","60.24","0.0","8.75","5.43","4.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","60.24","0.0",""
"Cote d'Ivoire","Belarus","2015.0","Import","11.0","0.29","29605.71","0.31","4.17","0.01","7.0","28.57","71.43","0.0","0.0","20.0","0.0","0.0","12.5","23621.6","4.17","0.01","7.0","28.57","71.43","0.0","0.0","20.0","0.0","0.0","12.5","23621.6",""
