"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Cameroon","Afghanistan","2015.0","Import","2.0","0.05","0.46","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Angola","2015.0","Import","42.0","1.15","14339.07","0.24","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Albania","2015.0","Import","13.0","0.35","169.84","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Andorra","2015.0","Import","7.0","0.19","10.08","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","United Arab Emirates","2015.0","Import","1308.0","35.68","63728.78","1.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Argentina","2015.0","Import","40.0","1.09","49880.17","0.83","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Armenia","2015.0","Import","18.0","0.49","48.04","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","American Samoa","2015.0","Import","29.0","0.79","102.99","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Antarctica","2015.0","Import","1.0","0.03","0.2","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Antigua and Barbuda","2015.0","Import","71.0","1.94","20692.19","0.34","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Australia","2015.0","Import","127.0","3.46","4678.24","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Austria","2015.0","Import","221.0","6.03","10416.91","0.17","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Belgium","2015.0","Import","1695.0","46.24","110956.88","1.84","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Benin","2015.0","Import","64.0","1.75","1096.88","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Burkina Faso","2015.0","Import","15.0","0.41","81.23","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Bangladesh","2015.0","Import","95.0","2.59","2435.71","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Bulgaria","2015.0","Import","77.0","2.1","2127.26","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Bahrain","2015.0","Import","2.0","0.05","5.86","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Bahamas, The","2015.0","Import","1.0","0.03","1.06","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Bosnia and Herzegovina","2015.0","Import","24.0","0.65","179.24","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Saint Barthélemy","2015.0","Import","3.0","0.08","12148.69","0.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Belize","2015.0","Import","7.0","0.19","2217.13","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Bolivia","2015.0","Import","2.0","0.05","0.15","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Brazil","2015.0","Import","272.0","7.42","111106.16","1.84","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Barbados","2015.0","Import","2.0","0.05","2.68","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Brunei","2015.0","Import","1.0","0.03","0.08","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Central African Republic","2015.0","Import","7.0","0.19","105.35","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Canada","2015.0","Import","569.0","15.52","61684.02","1.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Switzerland","2015.0","Import","587.0","16.01","16463.17","0.27","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Chile","2015.0","Import","22.0","0.6","2993.79","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","China","2015.0","Import","2448.0","66.78","1172904.26","19.43","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Cote d'Ivoire","2015.0","Import","153.0","4.17","79590.44","1.32","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Congo, Rep.","2015.0","Import","33.0","0.9","18671.42","0.31","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Colombia","2015.0","Import","39.0","1.06","3547.77","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Comoros","2015.0","Import","1.0","0.03","1.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Cape Verde","2015.0","Import","1.0","0.03","1.33","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Costa Rica","2015.0","Import","52.0","1.42","8770.01","0.15","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Cuba","2015.0","Import","2.0","0.05","1.84","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Curaçao","2015.0","Import","31.0","0.85","108.45","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Cyprus","2015.0","Import","33.0","0.9","1136.82","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Czech Republic","2015.0","Import","315.0","8.59","10509.41","0.17","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Germany","2015.0","Import","1687.0","46.02","216858.43","3.59","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Dominica","2015.0","Import","1.0","0.03","2.73","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Denmark","2015.0","Import","400.0","10.91","9351.98","0.15","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Dominican Republic","2015.0","Import","6.0","0.16","1.09","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Algeria","2015.0","Import","22.0","0.6","1547.96","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","East Asia & Pacific","2015.0","Import","2663.0","72.64","1794352.03","29.72","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Europe & Central Asia","2015.0","Import","3258.0","88.87","1835771.86","30.41","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Ecuador","2015.0","Import","40.0","1.09","633.67","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Egypt, Arab Rep.","2015.0","Import","207.0","5.65","28873.63","0.48","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Eritrea","2015.0","Import","5.0","0.14","0.59","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Spain","2015.0","Import","1259.0","34.34","147217.56","2.44","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Estonia","2015.0","Import","48.0","1.31","6077.44","0.1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Ethiopia(excludes Eritrea)","2015.0","Import","12.0","0.33","20.29","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Finland","2015.0","Import","274.0","7.47","13895.47","0.23","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","France","2015.0","Import","2738.0","74.69","619771.33","10.27","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Faeroe Islands","2015.0","Import","1.0","0.03","66.65","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Gabon","2015.0","Import","77.0","2.1","1055.58","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","United Kingdom","2015.0","Import","1200.0","32.73","73978.16","1.23","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","Georgia","2015.0","Import","7.0","0.19","993.23","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
