"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Colombia","Aruba","2015.0","Import","8.0","0.19","21228.01","0.04","1.38","0.48","30.0","10.0","90.0","0.0","0.0","15.0","0.0","0.0","20017.56","1185.09","1.38","0.48","30.0","10.0","90.0","0.0","0.0","15.0","0.0","0.0","20017.56","1185.09",""
"Colombia","Afghanistan","2015.0","Import","5.0","0.12","26.89","0.0","4.55","4.43","22.0","31.82","68.18","0.0","0.0","15.0","0.0","0.0","15.89","11.0","4.55","4.43","22.0","31.82","68.18","0.0","0.0","15.0","0.0","0.0","15.89","11.0",""
"Colombia","Angola","2015.0","Import","8.0","0.19","187.97","0.0","5.48","10.01","25.0","36.0","64.0","0.0","0.0","15.0","0.0","0.0","126.07","30.02","5.48","10.01","25.0","36.0","64.0","0.0","0.0","15.0","0.0","0.0","126.07","30.02",""
"Colombia","Anguila","2015.0","Import","2.0","0.05","1.31","0.0","7.5","9.76","3.0","100.0","0.0","0.0","0.0","10.0","5.0","0.0","1.31","0.0","7.5","9.76","3.0","100.0","0.0","0.0","0.0","10.0","5.0","0.0","1.31","0.0",""
"Colombia","Albania","2015.0","Import","66.0","1.55","516.32","0.0","5.92","2.98","135.0","34.81","32.59","32.59","0.0","15.0","0.0","120.26","253.33","262.99","5.92","2.98","135.0","34.81","32.59","32.59","0.0","15.0","0.0","120.26","253.33","262.99",""
"Colombia","Andorra","2015.0","Import","4.0","0.09","520.78","0.0","5.42","4.73","7.0","42.86","57.14","0.0","0.0","15.0","0.0","0.0","499.44","21.34","5.42","4.73","7.0","42.86","57.14","0.0","0.0","15.0","0.0","0.0","499.44","21.34",""
"Colombia","United Arab Emirates","2015.0","Import","151.0","3.54","41998.2","0.08","4.32","1.13","348.0","37.64","60.34","2.01","0.0","15.0","0.0","21.83","9237.19","32671.7","4.32","1.13","348.0","37.64","60.34","2.01","0.0","15.0","0.0","21.83","9237.19","32671.7",""
"Colombia","Argentina","2015.0","Import","989.0","23.2","501487.66","0.93","5.87","12.76","2008.0","44.17","52.09","3.74","0.0","94.0","0.0","647.16","431981.67","69291.47","5.87","12.76","2008.0","44.17","52.09","3.74","0.0","94.0","0.0","647.16","431981.67","69291.47",""
"Colombia","Armenia","2015.0","Import","6.0","0.14","20.86","0.0","4.34","1.15","18.0","44.44","55.56","0.0","0.0","15.0","0.0","0.0","2.7","18.15","4.34","1.15","18.0","44.44","55.56","0.0","0.0","15.0","0.0","0.0","2.7","18.15",""
"Colombia","Antigua and Barbuda","2015.0","Import","6.0","0.14","8.25","0.0","3.83","2.52","22.0","22.73","77.27","0.0","0.0","10.0","0.0","0.0","6.78","1.47","3.83","2.52","22.0","22.73","77.27","0.0","0.0","10.0","0.0","0.0","6.78","1.47",""
"Colombia","Australia","2015.0","Import","435.0","10.2","44648.39","0.08","3.45","2.79","917.0","35.88","62.81","1.31","0.0","20.0","0.0","21.73","21399.59","23193.05","3.45","2.79","917.0","35.88","62.81","1.31","0.0","20.0","0.0","21.73","21399.59","23193.05",""
"Colombia","Austria","2015.0","Import","922.0","21.63","175248.0","0.32","4.36","3.87","1738.0","39.18","58.0","2.82","0.0","35.0","0.0","102.09","67280.43","107834.97","4.36","3.87","1738.0","39.18","58.0","2.82","0.0","35.0","0.0","102.09","67280.43","107834.97",""
"Colombia","Azerbaijan","2015.0","Import","2.0","0.05","22.07","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.07","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.07",""
"Colombia","Burundi","2015.0","Import","1.0","0.02","0.36","0.0","","","3.0","0.0","0.0","100.0","0.0","","","0.36","0.36","0.0","","","3.0","0.0","0.0","100.0","0.0","","","0.36","0.36","0.0",""
"Colombia","Belgium","2015.0","Import","979.0","22.97","223646.16","0.41","4.9","6.09","1882.0","40.12","58.93","0.96","0.0","35.0","0.0","69.29","116817.31","106722.87","4.9","6.09","1882.0","40.12","58.93","0.96","0.0","35.0","0.0","69.29","116817.31","106722.87",""
"Colombia","Benin","2015.0","Import","3.0","0.07","1094.97","0.0","8.33","5.01","8.0","100.0","0.0","0.0","0.0","10.0","5.0","0.0","1094.97","0.0","8.33","5.01","8.0","100.0","0.0","0.0","0.0","10.0","5.0","0.0","1094.97","0.0",""
"Colombia","Burkina Faso","2015.0","Import","1.0","0.02","3045.45","0.01","5.0","5.0","4.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","3045.45","0.0","5.0","5.0","4.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","3045.45","0.0",""
"Colombia","Bangladesh","2015.0","Import","167.0","3.92","32404.24","0.06","9.41","7.71","213.0","19.25","3.76","77.0","0.0","15.0","0.0","31181.64","31949.64","454.6","9.41","7.71","213.0","19.25","3.76","77.0","0.0","15.0","0.0","31181.64","31949.64","454.6",""
"Colombia","Bulgaria","2015.0","Import","260.0","6.1","13915.49","0.03","4.64","2.6","520.0","32.5","47.31","20.19","0.0","20.0","0.0","1405.97","9892.28","4023.21","4.64","2.6","520.0","32.5","47.31","20.19","0.0","20.0","0.0","1405.97","9892.28","4023.21",""
