"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Cape Verde","Afghanistan","2015.0","Import","1.0","0.03","0.83","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cape Verde","Angola","2015.0","Import","52.0","1.65","46.98","0.01","25.0","21.38","57.0","84.21","15.79","0.0","0.0","50.0","0.0","0.0","28.98","0.52","25.0","21.38","57.0","84.21","15.79","0.0","0.0","50.0","0.0","0.0","28.98","0.52",""
"Cape Verde","Albania","2015.0","Import","1.0","0.03","0.02","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cape Verde","Andorra","2015.0","Import","2.0","0.06","0.31","0.0","36.67","39.99","17.0","100.0","0.0","0.0","0.0","40.0","30.0","0.0","30.61","0.0","36.67","39.99","17.0","100.0","0.0","0.0","0.0","40.0","30.0","0.0","30.61","0.0",""
"Cape Verde","United Arab Emirates","2015.0","Import","110.0","3.48","468.35","0.08","12.3","17.74","221.0","69.68","30.32","0.0","0.0","50.0","0.0","0.0","377.61","36.82","12.3","17.74","221.0","69.68","30.32","0.0","0.0","50.0","0.0","0.0","377.61","36.82",""
"Cape Verde","Argentina","2015.0","Import","18.0","0.57","5155.03","0.85","15.95","9.88","26.0","73.08","26.92","0.0","0.0","50.0","0.0","0.0","5014.65","26.85","15.95","9.88","26.0","73.08","26.92","0.0","0.0","50.0","0.0","0.0","5014.65","26.85",""
"Cape Verde","Australia","2015.0","Import","2.0","0.06","4.49","0.0","1.5","2.94","2.0","50.0","50.0","0.0","0.0","3.0","0.0","0.0","11.88","0.24","1.5","2.94","2.0","50.0","50.0","0.0","0.0","3.0","0.0","0.0","11.88","0.24",""
"Cape Verde","Austria","2015.0","Import","26.0","0.82","249.69","0.04","10.92","10.91","15.0","60.0","40.0","0.0","0.0","50.0","0.0","0.0","247.57","245.69","10.92","10.91","15.0","60.0","40.0","0.0","0.0","50.0","0.0","0.0","247.57","245.69",""
"Cape Verde","Belgium","2015.0","Import","753.0","23.85","16398.96","2.7","16.28","7.65","816.0","76.1","23.9","0.0","0.0","50.0","0.0","0.0","27517.6","1429.07","16.28","7.65","816.0","76.1","23.9","0.0","0.0","50.0","0.0","0.0","27517.6","1429.07",""
"Cape Verde","Bangladesh","2015.0","Import","15.0","0.48","58.48","0.01","26.67","34.07","12.0","91.67","8.33","0.0","0.0","50.0","0.0","0.0","25.71","0.0","26.67","34.07","12.0","91.67","8.33","0.0","0.0","50.0","0.0","0.0","25.71","0.0",""
"Cape Verde","Bulgaria","2015.0","Import","14.0","0.44","10.85","0.0","27.5","27.52","15.0","100.0","0.0","0.0","0.0","50.0","5.0","0.0","7.8","0.0","27.5","27.52","15.0","100.0","0.0","0.0","0.0","50.0","5.0","0.0","7.8","0.0",""
"Cape Verde","Brazil","2015.0","Import","473.0","14.98","23063.17","3.8","19.94","11.89","566.0","79.51","20.49","0.0","0.0","50.0","0.0","0.0","24556.89","682.72","19.94","11.89","566.0","79.51","20.49","0.0","0.0","50.0","0.0","0.0","24556.89","682.72",""
"Cape Verde","Bhutan","2015.0","Import","1.0","0.03","16.71","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cape Verde","Canada","2015.0","Import","18.0","0.57","2044.12","0.34","9.92","17.52","17.0","94.12","5.88","0.0","0.0","30.0","0.0","0.0","1425.06","8.5","9.92","17.52","17.0","94.12","5.88","0.0","0.0","30.0","0.0","0.0","1425.06","8.5",""
"Cape Verde","Switzerland","2015.0","Import","137.0","4.34","6729.92","1.11","15.27","4.74","164.0","76.22","23.78","0.0","0.0","50.0","0.0","0.0","4887.93","879.52","15.27","4.74","164.0","76.22","23.78","0.0","0.0","50.0","0.0","0.0","4887.93","879.52",""
"Cape Verde","Chile","2015.0","Import","14.0","0.44","1759.48","0.29","7.27","27.3","13.0","46.15","53.85","0.0","0.0","40.0","0.0","0.0","1372.96","44.67","7.27","27.3","13.0","46.15","53.85","0.0","0.0","40.0","0.0","0.0","1372.96","44.67",""
"Cape Verde","China","2015.0","Import","1282.0","40.61","33644.27","5.55","16.15","16.01","1578.0","73.7","26.3","0.0","0.0","50.0","0.0","0.0","28490.82","2917.74","16.15","16.01","1578.0","73.7","26.3","0.0","0.0","50.0","0.0","0.0","28490.82","2917.74",""
