"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Costa Rica","Aruba","2015.0","Import","10.0","0.24","44.08","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Costa Rica","Afghanistan","2015.0","Import","13.0","0.32","40.42","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Costa Rica","Angola","2015.0","Import","2.0","0.05","2.97","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Costa Rica","Anguila","2015.0","Import","2.0","0.05","11.83","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Costa Rica","Albania","2015.0","Import","9.0","0.22","11.47","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Costa Rica","Andorra","2015.0","Import","7.0","0.17","28.38","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Costa Rica","United Arab Emirates","2015.0","Import","188.0","4.59","5937.5","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Costa Rica","Argentina","2015.0","Import","826.0","20.18","61392.63","0.4","","","","","","","","","","","","","","","","","","","","","","","","",""
"Costa Rica","Armenia","2015.0","Import","1.0","0.02","23.87","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Costa Rica","American Samoa","2015.0","Import","18.0","0.44","17.24","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
