"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Cyprus","Afghanistan","2015.0","Import","1.0","0.03","0.08","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Albania","2015.0","Import","8.0","0.21","72.35","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Andorra","2015.0","Import","2.0","0.05","0.8","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","United Arab Emirates","2015.0","Import","491.0","12.8","18782.89","0.33","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Argentina","2015.0","Import","35.0","0.91","39543.69","0.7","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Armenia","2015.0","Import","1.0","0.03","1.03","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Antigua and Barbuda","2015.0","Import","1.0","0.03","0.66","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Australia","2015.0","Import","266.0","6.94","2696.28","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Austria","2015.0","Import","770.0","20.08","40878.5","0.72","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Azerbaijan","2015.0","Import","4.0","0.1","9.43","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Belgium","2015.0","Import","1448.0","37.76","162594.08","2.87","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Bangladesh","2015.0","Import","76.0","1.98","5079.55","0.09","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Bulgaria","2015.0","Import","482.0","12.57","98247.85","1.73","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Bahrain","2015.0","Import","59.0","1.54","14955.72","0.26","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Bosnia and Herzegovina","2015.0","Import","8.0","0.21","210.63","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Saint Barthélemy","2015.0","Import","1.0","0.03","0.42","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Belarus","2015.0","Import","13.0","0.34","3227.47","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Belize","2015.0","Import","1.0","0.03","2050.81","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Bermuda","2015.0","Import","1.0","0.03","4447.4","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Brazil","2015.0","Import","83.0","2.16","10790.9","0.19","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Botswana","2015.0","Import","1.0","0.03","245.45","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Canada","2015.0","Import","317.0","8.27","5785.05","0.1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Cocos (Keeling) Islands","2015.0","Import","1.0","0.03","0.12","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Switzerland","2015.0","Import","625.0","16.3","40753.1","0.72","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Chile","2015.0","Import","26.0","0.68","2496.41","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","China","2015.0","Import","1955.0","50.98","266756.85","4.71","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Cote d'Ivoire","2015.0","Import","1.0","0.03","119.42","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Cameroon","2015.0","Import","11.0","0.29","545.58","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Congo, Rep.","2015.0","Import","2.0","0.05","30.69","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Colombia","2015.0","Import","18.0","0.47","448.74","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Costa Rica","2015.0","Import","3.0","0.08","76.77","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Cuba","2015.0","Import","6.0","0.16","42094.6","0.74","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Czech Republic","2015.0","Import","601.0","15.67","23535.87","0.42","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Germany","2015.0","Import","2515.0","65.58","417771.63","7.37","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Djibouti","2015.0","Import","2.0","0.05","216.5","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Denmark","2015.0","Import","780.0","20.34","49359.07","0.87","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Dominican Republic","2015.0","Import","11.0","0.29","264.14","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Algeria","2015.0","Import","5.0","0.13","1255.0","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","East Asia & Pacific","2015.0","Import","2192.0","57.16","489254.59","8.63","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Europe & Central Asia","2015.0","Import","3695.0","96.35","4421227.12","78.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Ecuador","2015.0","Import","5.0","0.13","2702.64","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Egypt, Arab Rep.","2015.0","Import","348.0","9.07","22889.61","0.4","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Spain","2015.0","Import","1642.0","42.82","213421.04","3.77","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Estonia","2015.0","Import","33.0","0.86","1805.22","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Ethiopia(excludes Eritrea)","2015.0","Import","7.0","0.18","330.84","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Finland","2015.0","Import","168.0","4.38","13998.51","0.25","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","France","2015.0","Import","1626.0","42.4","208834.13","3.69","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Gabon","2015.0","Import","1.0","0.03","1.96","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","United Kingdom","2015.0","Import","2262.0","58.98","500466.17","8.83","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Georgia","2015.0","Import","6.0","0.16","242.22","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Ghana","2015.0","Import","17.0","0.44","90.19","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Gibraltar","2015.0","Import","3.0","0.08","1.34","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Greece","2015.0","Import","2767.0","72.15","1435538.08","25.34","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Guatemala","2015.0","Import","4.0","0.1","16.79","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Guyana","2015.0","Import","1.0","0.03","15.91","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Hong Kong, China","2015.0","Import","702.0","18.31","14784.07","0.26","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Honduras","2015.0","Import","16.0","0.42","68.55","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Croatia","2015.0","Import","23.0","0.6","9688.59","0.17","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Haiti","2015.0","Import","4.0","0.1","1.09","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Hungary","2015.0","Import","234.0","6.1","18211.71","0.32","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Indonesia","2015.0","Import","195.0","5.08","12178.22","0.21","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","India","2015.0","Import","675.0","17.6","71540.21","1.26","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Ireland","2015.0","Import","217.0","5.66","14769.34","0.26","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Iran, Islamic Rep.","2015.0","Import","18.0","0.47","641.48","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Iraq","2015.0","Import","4.0","0.1","1.54","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Iceland","2015.0","Import","4.0","0.1","8.8","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Israel","2015.0","Import","694.0","18.1","309555.4","5.46","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Italy","2015.0","Import","2342.0","61.07","449232.87","7.93","","","","","","","","","","","","","","","","","","","","","","","","",""
