"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Czech Republic","Aruba","2015.0","Import","8.0","0.18","5.29","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Afghanistan","2015.0","Import","21.0","0.46","52.78","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Angola","2015.0","Import","2.0","0.04","4.86","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Anguila","2015.0","Import","2.0","0.04","54.59","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Albania","2015.0","Import","139.0","3.07","9171.13","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Andorra","2015.0","Import","45.0","0.99","109.39","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","United Arab Emirates","2015.0","Import","445.0","9.83","89444.32","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Argentina","2015.0","Import","292.0","6.45","97489.59","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Armenia","2015.0","Import","54.0","1.19","2169.21","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","American Samoa","2015.0","Import","23.0","0.51","135.98","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Fr. So. Ant. Tr","2015.0","Import","14.0","0.31","319.87","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Antigua and Barbuda","2015.0","Import","9.0","0.2","14.83","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Australia","2015.0","Import","768.0","16.96","150576.54","0.11","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Austria","2015.0","Import","3300.0","72.9","4189914.84","2.98","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Azerbaijan","2015.0","Import","35.0","0.77","1047980.01","0.74","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Burundi","2015.0","Import","7.0","0.15","23.65","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Belgium","2015.0","Import","2949.0","65.14","2363188.27","1.68","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Benin","2015.0","Import","5.0","0.11","228.53","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Bonaire","2015.0","Import","2.0","0.04","3.7","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Burkina Faso","2015.0","Import","9.0","0.2","63.88","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Bangladesh","2015.0","Import","332.0","7.33","311936.59","0.22","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Bulgaria","2015.0","Import","1108.0","24.48","337747.55","0.24","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Bahrain","2015.0","Import","28.0","0.62","13684.09","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Bahamas, The","2015.0","Import","9.0","0.2","190.68","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Bosnia and Herzegovina","2015.0","Import","331.0","7.31","62157.82","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Saint Barthélemy","2015.0","Import","4.0","0.09","65.1","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Belarus","2015.0","Import","501.0","11.07","157248.45","0.11","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Belize","2015.0","Import","15.0","0.33","182.45","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Bermuda","2015.0","Import","6.0","0.13","86.78","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Bolivia","2015.0","Import","42.0","0.93","2810.63","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Brazil","2015.0","Import","811.0","17.91","269712.36","0.19","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Barbados","2015.0","Import","21.0","0.46","1110.08","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Brunei","2015.0","Import","14.0","0.31","78.58","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Bhutan","2015.0","Import","5.0","0.11","312.51","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Bunkers","2015.0","Import","223.0","4.93","11662.61","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Bouvet Island","2015.0","Import","4.0","0.09","13.31","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","Botswana","2015.0","Import","10.0","0.22","1960.73","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
