"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Denmark","Aruba","2015.0","Import","7.0","0.16","24.94","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Afghanistan","2015.0","Import","14.0","0.32","276.84","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Angola","2015.0","Import","18.0","0.41","33683.37","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Anguila","2015.0","Import","3.0","0.07","10.86","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Albania","2015.0","Import","41.0","0.93","1040.9","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Andorra","2015.0","Import","16.0","0.36","17.04","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","United Arab Emirates","2015.0","Import","535.0","12.09","58842.39","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Argentina","2015.0","Import","143.0","3.23","412733.94","0.48","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Armenia","2015.0","Import","9.0","0.2","133.01","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","American Samoa","2015.0","Import","2.0","0.05","36.77","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Antarctica","2015.0","Import","1.0","0.02","0.56","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Fr. So. Ant. Tr","2015.0","Import","2.0","0.05","14.16","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Antigua and Barbuda","2015.0","Import","11.0","0.25","1080.29","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Australia","2015.0","Import","825.0","18.64","131840.15","0.15","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Austria","2015.0","Import","2473.0","55.89","783041.2","0.92","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Azerbaijan","2015.0","Import","9.0","0.2","577.43","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Burundi","2015.0","Import","4.0","0.09","35.49","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Belgium","2015.0","Import","3024.0","68.34","2682191.01","3.14","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Benin","2015.0","Import","2.0","0.05","3.65","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Bonaire","2015.0","Import","5.0","0.11","6.14","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Burkina Faso","2015.0","Import","16.0","0.36","43.88","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Bangladesh","2015.0","Import","282.0","6.37","618765.28","0.73","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Bulgaria","2015.0","Import","1674.0","37.83","120305.13","0.14","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Bahrain","2015.0","Import","43.0","0.97","2105.62","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Bahamas, The","2015.0","Import","10.0","0.23","557.19","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Bosnia and Herzegovina","2015.0","Import","145.0","3.28","6182.15","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Saint Barthélemy","2015.0","Import","1.0","0.02","0.2","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Belarus","2015.0","Import","64.0","1.45","37674.58","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Belize","2015.0","Import","3.0","0.07","62.9","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Bermuda","2015.0","Import","8.0","0.18","151.22","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Bolivia","2015.0","Import","80.0","1.81","2855.78","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Brazil","2015.0","Import","406.0","9.18","202947.24","0.24","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Barbados","2015.0","Import","8.0","0.18","799.89","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Brunei","2015.0","Import","5.0","0.11","39.44","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Bhutan","2015.0","Import","1.0","0.02","2.2","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Botswana","2015.0","Import","5.0","0.11","31.98","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Central African Republic","2015.0","Import","4.0","0.09","12.76","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Canada","2015.0","Import","1111.0","25.11","431977.99","0.51","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Cocos (Keeling) Islands","2015.0","Import","1.0","0.02","0.3","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Switzerland","2015.0","Import","1907.0","43.1","651971.61","0.76","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Chile","2015.0","Import","160.0","3.62","168382.76","0.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","China","2015.0","Import","2949.0","66.64","6375315.51","7.47","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Cote d'Ivoire","2015.0","Import","15.0","0.34","898.33","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Cameroon","2015.0","Import","53.0","1.2","1979.38","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
