"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Dominican Republic","Aruba","2015.0","Import","165.0","4.02","45306.54","0.26","8.77","1.1","325.0","51.08","48.92","0.0","0.0","20.0","0.0","0.0","13266.65","32039.9","8.77","1.1","325.0","51.08","48.92","0.0","0.0","20.0","0.0","0.0","13266.65","32039.9",""
"Dominican Republic","Afghanistan","2015.0","Import","53.0","1.29","710.23","0.0","10.49","9.62","102.0","55.88","44.12","0.0","0.0","20.0","0.0","0.0","696.71","13.52","10.49","9.62","102.0","55.88","44.12","0.0","0.0","20.0","0.0","0.0","696.71","13.52",""
"Dominican Republic","Angola","2015.0","Import","14.0","0.34","49.3","0.0","10.21","7.92","23.0","43.48","56.52","0.0","0.0","20.0","0.0","0.0","43.46","5.83","10.21","7.92","23.0","43.48","56.52","0.0","0.0","20.0","0.0","0.0","43.46","5.83",""
"Dominican Republic","Albania","2015.0","Import","24.0","0.58","569.97","0.0","12.6","19.12","48.0","52.08","47.92","0.0","0.0","20.0","0.0","0.0","560.52","9.44","12.6","19.12","48.0","52.08","47.92","0.0","0.0","20.0","0.0","0.0","560.52","9.44",""
"Dominican Republic","Andorra","2015.0","Import","5.0","0.12","7.43","0.0","5.04","7.87","16.0","50.0","50.0","0.0","0.0","20.0","0.0","0.0","5.15","2.28","5.04","7.87","16.0","50.0","50.0","0.0","0.0","20.0","0.0","0.0","5.15","2.28",""
"Dominican Republic","United Arab Emirates","2015.0","Import","36.0","0.88","9119.07","0.05","4.83","6.68","72.0","27.78","72.22","0.0","0.0","20.0","0.0","0.0","8401.09","717.98","4.83","6.68","72.0","27.78","72.22","0.0","0.0","20.0","0.0","0.0","8401.09","717.98",""
"Dominican Republic","Argentina","2015.0","Import","459.0","11.17","116875.37","0.67","7.76","2.78","892.0","49.1","50.9","0.0","0.0","40.0","0.0","0.0","36644.86","80230.52","7.76","2.78","892.0","49.1","50.9","0.0","0.0","40.0","0.0","0.0","36644.86","80230.52",""
"Dominican Republic","American Samoa","2015.0","Import","2.0","0.05","22.22","0.0","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","22.22","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","22.22",""
"Dominican Republic","Antarctica","2015.0","Import","4.0","0.1","8.33","0.0","0.0","0.0","6.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","8.33","0.0","0.0","6.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","8.33",""
"Dominican Republic","Fr. So. Ant. Tr","2015.0","Import","2.0","0.05","1.45","0.0","4.0","5.57","2.0","50.0","50.0","0.0","0.0","8.0","0.0","0.0","1.01","0.44","4.0","5.57","2.0","50.0","50.0","0.0","0.0","8.0","0.0","0.0","1.01","0.44",""
"Dominican Republic","Antigua and Barbuda","2015.0","Import","14.0","0.34","16.89","0.0","0.0","0.0","29.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","16.89","6.21","8.73","29.0","24.14","75.86","0.0","0.0","20.0","0.0","0.0","8.86","8.03","1.0"
"Dominican Republic","Australia","2015.0","Import","257.0","6.26","10098.89","0.06","7.71","8.38","544.0","44.67","55.33","0.0","0.0","40.0","0.0","0.0","7556.91","2541.97","7.71","8.38","544.0","44.67","55.33","0.0","0.0","40.0","0.0","0.0","7556.91","2541.97",""
"Dominican Republic","Austria","2015.0","Import","439.0","10.69","12393.94","0.07","6.27","4.27","853.0","51.0","49.0","0.0","0.0","20.0","0.0","0.0","6095.15","6298.79","8.09","5.22","853.0","51.0","49.0","0.0","0.0","20.0","0.0","0.0","6095.15","6298.79","1.0"
"Dominican Republic","Burundi","2015.0","Import","1.0","0.02","5.27","0.0","0.5","0.5","6.0","16.67","83.33","0.0","0.0","3.0","0.0","0.0","5.27","0.0","0.5","0.5","6.0","16.67","83.33","0.0","0.0","3.0","0.0","0.0","5.27","0.0",""
"Dominican Republic","Belgium","2015.0","Import","777.0","18.91","82808.4","0.48","6.9","5.4","1405.0","51.1","48.9","0.0","0.0","20.0","0.0","0.0","46038.92","36760.56","8.48","6.21","1405.0","51.1","48.9","0.0","0.0","20.0","0.0","0.0","46038.92","36760.56","1.0"
"Dominican Republic","Benin","2015.0","Import","1.0","0.02","0.42","0.0","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.42","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.42",""
"Dominican Republic","Bangladesh","2015.0","Import","145.0","3.53","4005.53","0.02","19.37","18.54","196.0","95.92","4.08","0.0","0.0","20.0","0.0","0.0","4005.35","0.18","19.37","18.54","196.0","95.92","4.08","0.0","0.0","20.0","0.0","0.0","4005.35","0.18",""
"Dominican Republic","Bulgaria","2015.0","Import","195.0","4.75","2586.79","0.01","10.94","8.68","373.0","62.73","37.27","0.0","0.0","40.0","0.0","0.0","1560.9","1025.89","12.16","11.68","373.0","62.73","37.27","0.0","0.0","40.0","0.0","0.0","1560.9","1025.89","1.0"
"Dominican Republic","Bahrain","2015.0","Import","5.0","0.12","47.41","0.0","16.0","19.77","8.0","75.0","25.0","0.0","0.0","20.0","0.0","0.0","46.87","0.55","16.0","19.77","8.0","75.0","25.0","0.0","0.0","20.0","0.0","0.0","46.87","0.55",""
"Dominican Republic","Bahamas, The","2015.0","Import","46.0","1.12","258333.76","1.49","0.43","0.0","104.0","0.96","99.04","0.0","0.0","20.0","0.0","0.0","0.96","258332.8","14.83","3.5","104.0","70.19","29.81","0.0","0.0","20.0","0.0","0.0","258318.76","15.0","1.0"
"Dominican Republic","Bosnia and Herzegovina","2015.0","Import","21.0","0.51","23.1","0.0","5.9","3.77","39.0","30.77","69.23","0.0","0.0","20.0","0.0","0.0","5.83","17.27","5.9","3.77","39.0","30.77","69.23","0.0","0.0","20.0","0.0","0.0","5.83","17.27",""
"Dominican Republic","Belarus","2015.0","Import","23.0","0.56","243.74","0.0","6.91","5.18","48.0","60.42","39.58","0.0","0.0","20.0","0.0","0.0","89.37","154.37","6.91","5.18","48.0","60.42","39.58","0.0","0.0","20.0","0.0","0.0","89.37","154.37",""
"Dominican Republic","Belize","2015.0","Import","22.0","0.54","260.43","0.0","0.91","0.08","35.0","2.86","97.14","0.0","0.0","20.0","0.0","0.0","1.1","259.34","7.02","0.73","35.0","60.0","40.0","0.0","0.0","20.0","0.0","0.0","27.73","232.71","1.0"
"Dominican Republic","Bermuda","2015.0","Import","1.0","0.02","0.18","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.18","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.18",""
"Dominican Republic","Bolivia","2015.0","Import","32.0","0.78","2502.58","0.01","10.77","7.85","73.0","63.01","36.99","0.0","0.0","20.0","0.0","0.0","1403.33","1099.25","10.77","7.85","73.0","63.01","36.99","0.0","0.0","20.0","0.0","0.0","1403.33","1099.25",""
"Dominican Republic","Brazil","2015.0","Import","1518.0","36.95","554936.49","3.2","7.43","4.86","2564.0","48.24","51.76","0.0","0.0","20.0","0.0","0.0","215104.24","339832.25","7.43","4.86","2564.0","48.24","51.76","0.0","0.0","20.0","0.0","0.0","215104.24","339832.25",""
"Dominican Republic","Barbados","2015.0","Import","41.0","1.0","2370.23","0.01","0.0","0.0","116.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2370.23","8.51","13.12","116.0","42.24","57.76","0.0","0.0","20.0","0.0","0.0","2170.1","200.13","1.0"
"Dominican Republic","Brunei","2015.0","Import","1.0","0.02","1.26","0.0","20.0","20.0","1.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","1.26","0.0","20.0","20.0","1.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","1.26","0.0",""
"Dominican Republic","Bouvet Island","2015.0","Import","1.0","0.02","2.05","0.0","11.4","11.4","5.0","80.0","20.0","0.0","0.0","20.0","0.0","0.0","2.05","0.0","11.4","11.4","5.0","80.0","20.0","0.0","0.0","20.0","0.0","0.0","2.05","0.0",""
"Dominican Republic","Botswana","2015.0","Import","1.0","0.02","0.04","0.0","6.0","6.0","6.0","50.0","50.0","0.0","0.0","20.0","0.0","0.0","0.04","0.0","6.0","6.0","6.0","50.0","50.0","0.0","0.0","20.0","0.0","0.0","0.04","0.0",""
"Dominican Republic","Central African Republic","2015.0","Import","18.0","0.44","55.55","0.0","5.5","0.5","45.0","64.44","35.56","0.0","0.0","20.0","0.0","0.0","11.57","43.98","5.5","0.5","45.0","64.44","35.56","0.0","0.0","20.0","0.0","0.0","11.57","43.98",""
"Dominican Republic","Canada","2015.0","Import","1350.0","32.86","243074.88","1.4","9.1","5.2","2377.0","55.62","44.38","0.0","0.0","40.0","0.0","0.0","96513.13","146546.27","9.1","5.2","2377.0","55.62","44.38","0.0","0.0","40.0","0.0","0.0","96513.13","146546.27",""
"Dominican Republic","Switzerland","2015.0","Import","816.0","19.86","45631.06","0.26","8.32","2.42","1479.0","50.44","49.56","0.0","0.0","20.0","0.0","0.0","25292.19","20338.8","8.32","2.42","1479.0","50.44","49.56","0.0","0.0","20.0","0.0","0.0","25292.19","20338.8",""
"Dominican Republic","Chile","2015.0","Import","522.0","12.71","57094.87","0.33","12.09","10.7","1078.0","66.51","33.49","0.0","0.0","25.0","0.0","0.0","38636.58","18458.29","12.09","10.7","1078.0","66.51","33.49","0.0","0.0","25.0","0.0","0.0","38636.58","18458.29",""
"Dominican Republic","China","2015.0","Import","3227.0","78.55","2321814.07","13.38","7.67","10.02","5036.0","47.76","52.24","0.0","0.0","40.0","0.0","0.0","1577980.85","743790.9","7.67","10.02","5036.0","47.76","52.24","0.0","0.0","40.0","0.0","0.0","1577980.85","743790.9",""
"Dominican Republic","Cote d'Ivoire","2015.0","Import","16.0","0.39","1609.31","0.01","6.04","3.89","46.0","50.0","50.0","0.0","0.0","20.0","0.0","0.0","562.13","1047.19","6.04","3.89","46.0","50.0","50.0","0.0","0.0","20.0","0.0","0.0","562.13","1047.19",""
"Dominican Republic","Cameroon","2015.0","Import","6.0","0.15","3367.79","0.02","7.71","7.86","15.0","53.33","46.67","0.0","0.0","20.0","0.0","0.0","1891.36","1476.43","7.71","7.86","15.0","53.33","46.67","0.0","0.0","20.0","0.0","0.0","1891.36","1476.43",""
"Dominican Republic","Colombia","2015.0","Import","1327.0","32.3","361175.94","2.08","9.4","6.03","2271.0","56.63","43.37","0.0","0.0","25.0","0.0","0.0","175349.56","185826.39","9.4","6.03","2271.0","56.63","43.37","0.0","0.0","25.0","0.0","0.0","175349.56","185826.39",""
"Dominican Republic","Comoros","2015.0","Import","1.0","0.02","1.2","0.0","14.33","14.33","3.0","100.0","0.0","0.0","0.0","20.0","3.0","0.0","1.2","0.0","14.33","14.33","3.0","100.0","0.0","0.0","0.0","20.0","3.0","0.0","1.2","0.0",""
"Dominican Republic","Cape Verde","2015.0","Import","19.0","0.46","47.52","0.0","9.87","1.03","47.0","59.57","40.43","0.0","0.0","20.0","0.0","0.0","3.1","44.42","9.87","1.03","47.0","59.57","40.43","0.0","0.0","20.0","0.0","0.0","3.1","44.42",""
"Dominican Republic","Costa Rica","2015.0","Import","650.0","15.82","243034.17","1.4","1.18","0.3","1281.0","4.37","95.63","0.0","0.0","20.0","0.0","0.0","3937.46","239096.71","10.04","13.7","1281.0","57.46","42.54","0.0","0.0","40.0","0.0","0.0","228378.25","14655.92","2.0"
"Dominican Republic","Cuba","2015.0","Import","67.0","1.63","24089.96","0.14","13.09","2.78","145.0","61.38","38.62","0.0","0.0","20.0","0.0","0.0","4540.71","19549.25","13.09","2.78","145.0","61.38","38.62","0.0","0.0","20.0","0.0","0.0","4540.71","19549.25",""
"Dominican Republic","Curaçao","2015.0","Import","51.0","1.24","36119.7","0.21","16.38","0.01","117.0","78.63","21.37","0.0","0.0","20.0","0.0","0.0","28.43","36091.27","16.38","0.01","117.0","78.63","21.37","0.0","0.0","20.0","0.0","0.0","28.43","36091.27",""
"Dominican Republic","Cayman Islands","2015.0","Import","6.0","0.15","1098.81","0.01","7.23","4.56","14.0","64.29","35.71","0.0","0.0","20.0","0.0","0.0","715.64","383.17","7.23","4.56","14.0","64.29","35.71","0.0","0.0","20.0","0.0","0.0","715.64","383.17",""
"Dominican Republic","Cyprus","2015.0","Import","19.0","0.46","67.25","0.0","6.72","2.18","43.0","46.51","53.49","0.0","0.0","20.0","0.0","0.0","9.9","57.35","8.33","2.64","43.0","46.51","53.49","0.0","0.0","20.0","0.0","0.0","9.9","57.35","1.0"
"Dominican Republic","Czech Republic","2015.0","Import","343.0","8.35","10647.13","0.06","5.86","1.67","637.0","52.28","47.72","0.0","0.0","20.0","0.0","0.0","2366.32","8280.8","7.63","2.22","637.0","52.28","47.72","0.0","0.0","20.0","0.0","0.0","2366.32","8280.8","1.0"
"Dominican Republic","Germany","2015.0","Import","1791.0","43.6","313400.77","1.81","5.76","5.49","3055.0","46.02","53.98","0.0","0.0","40.0","0.0","0.0","171959.09","141438.6","7.15","6.28","3055.0","46.02","53.98","0.0","0.0","40.0","0.0","0.0","171959.09","141438.6","1.0"
"Dominican Republic","Djibouti","2015.0","Import","1.0","0.02","0.03","0.0","14.0","14.0","1.0","100.0","0.0","0.0","0.0","14.0","14.0","0.0","0.03","0.0","14.0","14.0","1.0","100.0","0.0","0.0","0.0","14.0","14.0","0.0","0.03","0.0",""
"Dominican Republic","Dominica","2015.0","Import","15.0","0.37","698.98","0.0","0.0","0.0","39.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","698.98","8.8","0.97","39.0","61.54","38.46","0.0","0.0","20.0","0.0","0.0","648.9","50.08","1.0"
"Dominican Republic","Denmark","2015.0","Import","458.0","11.15","79281.54","0.46","4.44","10.7","919.0","38.19","61.81","0.0","0.0","25.0","0.0","0.0","68133.36","11148.19","5.66","11.58","919.0","38.19","61.81","0.0","0.0","25.0","0.0","0.0","68133.36","11148.19","1.0"
"Dominican Republic","Algeria","2015.0","Import","12.0","0.29","68.83","0.0","7.74","0.6","24.0","41.67","58.33","0.0","0.0","20.0","0.0","0.0","67.39","1.44","7.74","0.6","24.0","41.67","58.33","0.0","0.0","20.0","0.0","0.0","67.39","1.44",""
"Dominican Republic","East Asia & Pacific","2015.0","Import","3340.0","81.3","3281469.38","18.92","8.99","10.32","16213.0","54.29","45.71","0.0","0.0","40.0","0.0","0.0","2341113.3","940264.76","7.76","10.32","5237.0","48.29","51.71","0.0","0.0","40.0","0.0","0.0","2341113.3","940264.76",""
"Dominican Republic","Europe & Central Asia","2015.0","Import","3326.0","80.96","2296798.25","13.24","7.4","6.47","31157.0","52.25","47.75","0.0","0.0","40.0","0.0","0.0","1446224.27","850541.18","8.18","8.09","5228.0","49.41","50.59","0.0","0.0","40.0","0.0","0.0","1446224.27","850541.18","26.0"
