"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Algeria","Afghanistan","2015.0","Import","1.0","0.02","1.18","0.0","23.33","29.22","6.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","48.13","0.0","23.33","29.22","6.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","48.13","0.0",""
"Algeria","Angola","2015.0","Import","53.0","1.31","1553.12","0.0","25.35","22.85","34.0","97.06","2.94","0.0","0.0","30.0","0.0","0.0","123.17","0.0","25.35","22.85","34.0","97.06","2.94","0.0","0.0","30.0","0.0","0.0","123.17","0.0",""
"Algeria","Albania","2015.0","Import","32.0","0.79","1234.92","0.0","28.03","29.98","20.0","95.0","5.0","0.0","0.0","30.0","0.0","0.0","746.05","0.0","28.03","29.98","20.0","95.0","5.0","0.0","0.0","30.0","0.0","0.0","746.05","0.0",""
"Algeria","Andorra","2015.0","Import","8.0","0.2","82.74","0.0","20.83","21.05","6.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","30.78","0.0","20.83","21.05","6.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","30.78","0.0",""
"Algeria","United Arab Emirates","2015.0","Import","612.0","15.07","337287.58","0.65","6.67","5.84","886.0","29.46","70.54","0.0","0.0","30.0","0.0","0.0","77717.41","199399.62","19.53","12.42","886.0","97.63","2.37","0.0","0.0","30.0","0.0","0.0","277117.02","0.0","1.0"
"Algeria","Argentina","2015.0","Import","149.0","3.67","1283719.33","2.48","17.06","3.67","214.0","97.2","2.8","0.0","0.0","30.0","0.0","0.0","1198197.04","735803.83","17.06","3.67","214.0","97.2","2.8","0.0","0.0","30.0","0.0","0.0","1198197.04","735803.83",""
"Algeria","Armenia","2015.0","Import","1.0","0.02","21.95","0.0","24.0","19.72","13.0","100.0","0.0","0.0","0.0","30.0","15.0","0.0","3.42","0.0","24.0","19.72","13.0","100.0","0.0","0.0","0.0","30.0","15.0","0.0","3.42","0.0",""
"Algeria","Antigua and Barbuda","2015.0","Import","3.0","0.07","3.36","0.0","27.0","29.71","8.0","100.0","0.0","0.0","0.0","30.0","15.0","0.0","18.15","0.0","27.0","29.71","8.0","100.0","0.0","0.0","0.0","30.0","15.0","0.0","18.15","0.0",""
"Algeria","Australia","2015.0","Import","244.0","6.01","18202.03","0.04","16.22","10.06","383.0","96.34","3.66","0.0","0.0","30.0","0.0","0.0","70451.48","1519.03","16.22","10.06","383.0","96.34","3.66","0.0","0.0","30.0","0.0","0.0","70451.48","1519.03",""
"Algeria","Austria","2015.0","Import","788.0","19.41","451233.2","0.87","5.99","3.44","1065.0","46.29","53.71","0.0","0.0","30.0","0.0","0.0","164775.45","339937.63","15.4","11.69","1065.0","97.93","2.07","0.0","0.0","30.0","0.0","0.0","502846.36","1866.72","1.0"
"Algeria","Azerbaijan","2015.0","Import","3.0","0.07","15810.42","0.03","15.0","15.0","1.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","63.59","0.0","15.0","15.0","1.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","63.59","0.0",""
"Algeria","Burundi","2015.0","Import","4.0","0.1","76.81","0.0","30.0","30.0","1.0","100.0","0.0","0.0","0.0","30.0","30.0","0.0","0.2","0.0","30.0","30.0","1.0","100.0","0.0","0.0","0.0","30.0","30.0","0.0","0.2","0.0",""
"Algeria","Belgium","2015.0","Import","1395.0","34.36","840790.73","1.62","7.15","5.05","1871.0","47.46","52.54","0.0","0.0","30.0","0.0","0.0","469895.97","451520.65","16.86","10.28","1871.0","97.86","2.14","0.0","0.0","30.0","0.0","0.0","919753.87","1662.75","1.0"
"Algeria","Benin","2015.0","Import","6.0","0.15","15.26","0.0","14.75","20.75","9.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","9.7","0.0","14.75","20.75","9.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","9.7","0.0",""
"Algeria","Burkina Faso","2015.0","Import","4.0","0.1","84.6","0.0","30.0","30.0","2.0","100.0","0.0","0.0","0.0","30.0","30.0","0.0","0.75","0.0","30.0","30.0","2.0","100.0","0.0","0.0","0.0","30.0","30.0","0.0","0.75","0.0",""
"Algeria","Bangladesh","2015.0","Import","224.0","5.52","18334.45","0.04","28.58","26.01","211.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","15879.47","0.0","28.58","26.01","211.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","15879.47","0.0",""
"Algeria","Bulgaria","2015.0","Import","431.0","10.62","103211.23","0.2","9.77","7.91","617.0","60.94","39.06","0.0","0.0","30.0","0.0","0.0","135744.01","75854.81","19.62","15.0","617.0","96.6","3.4","0.0","0.0","30.0","0.0","0.0","210022.21","1576.62","1.0"
"Algeria","Bahrain","2015.0","Import","34.0","0.84","97313.54","0.19","4.47","0.13","22.0","18.18","81.82","0.0","0.0","30.0","0.0","0.0","235.16","32014.79","16.4","5.27","22.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","32249.95","0.0","1.0"
"Algeria","Bahamas, The","2015.0","Import","3.0","0.07","3.59","0.0","11.67","1.84","3.0","66.67","33.33","0.0","0.0","30.0","0.0","0.0","18819.92","32316.83","11.67","1.84","3.0","66.67","33.33","0.0","0.0","30.0","0.0","0.0","18819.92","32316.83",""
