"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Ecuador","Aruba","2015.0","Import","1.0","0.02","32536.54","0.15","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","32536.54","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","32536.54",""
"Ecuador","Afghanistan","2015.0","Import","3.0","0.07","3.35","0.0","18.48","19.69","6.0","50.0","33.33","0.0","16.67","42.12","0.0","0.0","3.35","0.0","18.48","19.69","6.0","50.0","33.33","0.0","16.67","42.12","0.0","0.0","3.35","0.0",""
"Ecuador","Angola","2015.0","Import","1.0","0.02","10.74","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ecuador","Anguila","2015.0","Import","3.0","0.07","330.44","0.0","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","326.13","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","326.13",""
"Ecuador","Albania","2015.0","Import","32.0","0.8","1142.16","0.01","32.16","5.25","69.0","26.09","24.64","0.0","49.28","283.09","0.0","0.0","1076.62","65.54","32.16","5.25","69.0","26.09","24.64","0.0","49.28","283.09","0.0","0.0","1076.62","65.54",""
"Ecuador","Andorra","2015.0","Import","1.0","0.02","0.45","0.0","0.0","0.0","4.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.45","0.0","0.0","4.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.45",""
"Ecuador","United Arab Emirates","2015.0","Import","148.0","3.69","12684.24","0.06","9.87","8.17","348.0","48.28","47.99","0.0","3.74","39.15","0.0","0.0","9100.29","3562.35","9.87","8.17","348.0","48.28","47.99","0.0","3.74","39.15","0.0","0.0","9100.29","3562.35",""
"Ecuador","Argentina","2015.0","Import","799.0","19.92","305026.35","1.43","1.55","2.01","1596.0","19.67","78.95","0.0","1.38","54.17","0.0","0.0","109537.69","195203.12","9.96","9.69","1596.0","48.5","48.06","0.06","3.38","180.55","0.0","0.46","237121.15","67619.66","4.0"
"Ecuador","American Samoa","2015.0","Import","3.0","0.07","356.13","0.0","0.0","0.0","5.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","356.13","0.0","0.0","5.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","356.13",""
"Ecuador","Antigua and Barbuda","2015.0","Import","2.0","0.05","7.17","0.0","5.0","0.0","3.0","33.33","66.67","0.0","0.0","10.0","0.0","0.0","0.0","7.17","5.0","0.0","3.0","33.33","66.67","0.0","0.0","10.0","0.0","0.0","0.0","7.17",""
