"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Egypt, Arab Rep.","Afghanistan","2015.0","Import","4.0","0.1","440.43","0.0","7.76","9.84","31.0","96.77","3.23","0.0","0.0","30.0","0.0","0.0","658.68","0.0","7.76","9.84","31.0","96.77","3.23","0.0","0.0","30.0","0.0","0.0","658.68","0.0",""
"Egypt, Arab Rep.","Angola","2015.0","Import","9.0","0.22","2.9","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Egypt, Arab Rep.","Albania","2015.0","Import","30.0","0.72","13456.11","0.02","11.98","0.64","69.0","95.65","4.35","0.0","0.0","30.0","0.0","0.0","3578.32","12686.81","11.98","0.64","69.0","95.65","4.35","0.0","0.0","30.0","0.0","0.0","3578.32","12686.81",""
"Egypt, Arab Rep.","Andorra","2015.0","Import","2.0","0.05","1.62","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Egypt, Arab Rep.","United Arab Emirates","2015.0","Import","1404.0","33.61","1501136.14","2.02","0.0","0.0","2639.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1722691.96","15.92","6.29","2639.0","89.58","10.16","0.0","0.27","3000.0","0.0","0.0","1027845.8","694846.17","1.0"
"Egypt, Arab Rep.","Argentina","2015.0","Import","123.0","2.94","1386995.8","1.87","10.62","2.61","397.0","86.65","12.85","0.0","0.5","3000.0","0.0","0.0","573735.09","601381.83","10.63","2.61","397.0","86.65","12.85","0.0","0.5","3000.0","0.0","0.0","573735.09","601381.83","1.0"
"Egypt, Arab Rep.","Australia","2015.0","Import","376.0","9.0","377050.46","0.51","17.58","2.62","1001.0","84.32","15.68","0.0","0.0","3000.0","0.0","0.0","100694.44","304361.98","17.58","2.62","1001.0","84.32","15.68","0.0","0.0","3000.0","0.0","0.0","100694.44","304361.98",""
"Egypt, Arab Rep.","Austria","2015.0","Import","666.0","15.94","210482.23","0.28","5.8","3.06","1355.0","29.74","70.26","0.0","0.0","3000.0","0.0","0.0","38315.27","229835.79","14.62","10.37","1355.0","90.41","9.59","0.0","0.0","3000.0","0.0","0.0","211687.54","56463.51","1.0"
"Egypt, Arab Rep.","Azerbaijan","2015.0","Import","6.0","0.14","620.12","0.0","12.33","3.86","25.0","100.0","0.0","0.0","0.0","30.0","2.0","0.0","524.67","0.0","12.33","3.86","25.0","100.0","0.0","0.0","0.0","30.0","2.0","0.0","524.67","0.0",""
"Egypt, Arab Rep.","Burundi","2015.0","Import","1.0","0.02","249.93","0.0","0.0","0.0","5.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","249.33","8.75","7.64","5.0","100.0","0.0","0.0","0.0","10.0","5.0","0.0","249.33","0.0","1.0"
