"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Spain","Aruba","2015.0","Import","20.0","0.44","363.81","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Afghanistan","2015.0","Import","35.0","0.77","1403.85","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Angola","2015.0","Import","83.0","1.82","2248943.8","0.74","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Anguila","2015.0","Import","5.0","0.11","1.35","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Albania","2015.0","Import","149.0","3.27","104874.66","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Andorra","2015.0","Import","238.0","5.22","23245.67","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","United Arab Emirates","2015.0","Import","901.0","19.77","508329.24","0.17","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Argentina","2015.0","Import","923.0","20.25","1526531.55","0.5","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Armenia","2015.0","Import","50.0","1.1","41469.92","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","American Samoa","2015.0","Import","6.0","0.13","2.94","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Antarctica","2015.0","Import","2.0","0.04","0.48","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Fr. So. Ant. Tr","2015.0","Import","3.0","0.07","323.56","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Antigua and Barbuda","2015.0","Import","36.0","0.79","3227.8","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Australia","2015.0","Import","1206.0","26.46","548582.6","0.18","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Austria","2015.0","Import","2425.0","53.2","2199848.2","0.72","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Azerbaijan","2015.0","Import","35.0","0.77","470395.88","0.15","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Burundi","2015.0","Import","3.0","0.07","222.15","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Belgium","2015.0","Import","3584.0","78.63","7848510.71","2.57","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Benin","2015.0","Import","19.0","0.42","3245.43","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Bonaire","2015.0","Import","1.0","0.02","0.05","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Burkina Faso","2015.0","Import","44.0","0.97","7433.28","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Bangladesh","2015.0","Import","467.0","10.25","2289306.1","0.75","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Bulgaria","2015.0","Import","1194.0","26.2","575435.46","0.19","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Bahrain","2015.0","Import","96.0","2.11","74431.51","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Bahamas, The","2015.0","Import","68.0","1.49","1439.57","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Bosnia and Herzegovina","2015.0","Import","181.0","3.97","38496.56","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Saint Barthélemy","2015.0","Import","10.0","0.22","2430.38","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Belarus","2015.0","Import","187.0","4.1","36271.99","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Belize","2015.0","Import","34.0","0.75","12272.97","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Bermuda","2015.0","Import","22.0","0.48","49786.42","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Bolivia","2015.0","Import","235.0","5.16","89280.56","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Brazil","2015.0","Import","1665.0","36.53","3477591.57","1.14","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Barbados","2015.0","Import","17.0","0.37","2126.86","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Brunei","2015.0","Import","18.0","0.39","35.34","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
