"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Estonia","Afghanistan","2015.0","Import","5.0","0.12","7.53","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Anguila","2015.0","Import","2.0","0.05","0.17","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Albania","2015.0","Import","76.0","1.81","530.95","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Andorra","2015.0","Import","2.0","0.05","0.61","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","United Arab Emirates","2015.0","Import","149.0","3.54","2905.97","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Argentina","2015.0","Import","110.0","2.61","7592.89","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Armenia","2015.0","Import","18.0","0.43","718.34","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","American Samoa","2015.0","Import","1.0","0.02","1.67","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Fr. So. Ant. Tr","2015.0","Import","1.0","0.02","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Antigua and Barbuda","2015.0","Import","1.0","0.02","0.2","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Australia","2015.0","Import","373.0","8.87","6092.4","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Austria","2015.0","Import","1220.0","29.0","109570.27","0.7","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Azerbaijan","2015.0","Import","4.0","0.1","282.02","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Belgium","2015.0","Import","1556.0","36.99","230723.22","1.47","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Burkina Faso","2015.0","Import","2.0","0.05","4.38","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Bangladesh","2015.0","Import","244.0","5.8","23593.99","0.15","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Bulgaria","2015.0","Import","456.0","10.84","10349.26","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Bahrain","2015.0","Import","2.0","0.05","213.23","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Bahamas, The","2015.0","Import","7.0","0.17","453.44","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Bosnia and Herzegovina","2015.0","Import","68.0","1.62","730.93","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Saint Barthélemy","2015.0","Import","14.0","0.33","23.07","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
