"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Ethiopia(excludes Eritrea)","Afghanistan","2015.0","Import","1.0","0.02","0.03","0.0","20.0","20.0","1.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","0.03","0.0","20.0","20.0","1.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","0.03","0.0",""
"Ethiopia(excludes Eritrea)","Angola","2015.0","Import","37.0","0.91","11.18","0.0","21.25","23.82","59.0","100.0","0.0","0.0","0.0","31.5","4.5","0.0","8.91","0.0","23.61","26.46","59.0","100.0","0.0","0.0","0.0","35.0","5.0","0.0","8.91","0.0","1.0"
"Ethiopia(excludes Eritrea)","Albania","2015.0","Import","6.0","0.15","80.62","0.0","25.0","33.9","6.0","100.0","0.0","0.0","0.0","35.0","5.0","0.0","80.62","0.0","25.0","33.9","6.0","100.0","0.0","0.0","0.0","35.0","5.0","0.0","80.62","0.0",""
"Ethiopia(excludes Eritrea)","Andorra","2015.0","Import","607.0","14.97","2411.97","0.01","18.78","14.5","779.0","95.12","4.88","0.0","0.0","35.0","0.0","0.0","2375.85","32.93","18.78","14.5","779.0","95.12","4.88","0.0","0.0","35.0","0.0","0.0","2375.85","32.93",""
"Ethiopia(excludes Eritrea)","United Arab Emirates","2015.0","Import","1591.0","39.24","428334.63","1.66","18.52","10.04","1991.0","95.68","4.12","0.2","0.0","35.0","0.0","29243.25","425987.62","1767.9","18.52","10.04","1991.0","95.68","4.12","0.2","0.0","35.0","0.0","29243.25","425987.62","1767.9",""
"Ethiopia(excludes Eritrea)","Argentina","2015.0","Import","69.0","1.7","4931.96","0.02","17.33","6.71","96.0","90.63","9.38","0.0","0.0","35.0","0.0","0.0","4931.96","0.0","17.33","6.71","96.0","90.63","9.38","0.0","0.0","35.0","0.0","0.0","4931.96","0.0",""
"Ethiopia(excludes Eritrea)","Australia","2015.0","Import","333.0","8.21","12532.63","0.05","17.48","8.21","427.0","93.44","6.56","0.0","0.0","35.0","0.0","0.0","9966.61","2565.95","17.48","8.21","427.0","93.44","6.56","0.0","0.0","35.0","0.0","0.0","9966.61","2565.95",""
"Ethiopia(excludes Eritrea)","Austria","2015.0","Import","291.0","7.18","56197.66","0.22","16.52","5.45","368.0","92.39","7.61","0.0","0.0","35.0","0.0","0.0","20884.07","35313.17","16.52","5.45","368.0","92.39","7.61","0.0","0.0","35.0","0.0","0.0","20884.07","35313.17",""
"Ethiopia(excludes Eritrea)","Azerbaijan","2015.0","Import","7.0","0.17","806.84","0.0","20.0","5.18","7.0","100.0","0.0","0.0","0.0","35.0","5.0","0.0","806.84","0.0","20.0","5.18","7.0","100.0","0.0","0.0","0.0","35.0","5.0","0.0","806.84","0.0",""
"Ethiopia(excludes Eritrea)","Belgium","2015.0","Import","817.0","20.15","300599.77","1.16","16.8","3.65","1049.0","92.56","7.24","0.19","0.0","35.0","0.0","88.23","98314.46","202186.41","16.8","3.65","1049.0","92.56","7.24","0.19","0.0","35.0","0.0","88.23","98314.46","202186.41",""
"Ethiopia(excludes Eritrea)","Benin","2015.0","Import","4.0","0.1","0.17","0.0","19.58","16.97","6.0","83.33","16.67","0.0","0.0","35.0","0.0","0.0","0.12","0.04","19.58","16.97","6.0","83.33","16.67","0.0","0.0","35.0","0.0","0.0","0.12","0.04",""
"Ethiopia(excludes Eritrea)","Burkina Faso","2015.0","Import","3.0","0.07","5.42","0.0","23.33","27.85","3.0","100.0","0.0","0.0","0.0","30.0","20.0","0.0","5.42","0.0","23.33","27.85","3.0","100.0","0.0","0.0","0.0","30.0","20.0","0.0","5.42","0.0",""
"Ethiopia(excludes Eritrea)","Bangladesh","2015.0","Import","127.0","3.13","5461.46","0.02","27.53","12.3","159.0","97.48","1.26","1.26","0.0","35.0","0.0","857.23","5461.45","0.0","27.53","12.3","159.0","97.48","1.26","1.26","0.0","35.0","0.0","857.23","5461.45","0.0",""
"Ethiopia(excludes Eritrea)","Bulgaria","2015.0","Import","111.0","2.74","83040.49","0.32","19.38","5.86","143.0","92.31","7.69","0.0","0.0","35.0","0.0","0.0","82521.26","519.24","19.38","5.86","143.0","92.31","7.69","0.0","0.0","35.0","0.0","0.0","82521.26","519.24",""
"Ethiopia(excludes Eritrea)","Bahrain","2015.0","Import","148.0","3.65","134830.55","0.52","22.69","3.49","213.0","91.55","8.45","0.0","0.0","35.0","0.0","0.0","134830.28","0.27","22.69","3.49","213.0","91.55","8.45","0.0","0.0","35.0","0.0","0.0","134830.28","0.27",""
"Ethiopia(excludes Eritrea)","Bosnia and Herzegovina","2015.0","Import","37.0","0.91","265.19","0.0","19.71","22.31","51.0","94.12","5.88","0.0","0.0","35.0","0.0","0.0","265.19","0.0","19.71","22.31","51.0","94.12","5.88","0.0","0.0","35.0","0.0","0.0","265.19","0.0",""
"Ethiopia(excludes Eritrea)","Belarus","2015.0","Import","37.0","0.91","16727.49","0.06","18.75","0.44","42.0","92.86","7.14","0.0","0.0","35.0","0.0","0.0","854.96","15872.53","18.75","0.44","42.0","92.86","7.14","0.0","0.0","35.0","0.0","0.0","854.96","15872.53",""
"Ethiopia(excludes Eritrea)","Belize","2015.0","Import","9.0","0.22","67.57","0.0","24.17","16.27","10.0","100.0","0.0","0.0","0.0","35.0","5.0","0.0","67.57","0.0","24.17","16.27","10.0","100.0","0.0","0.0","0.0","35.0","5.0","0.0","67.57","0.0",""
"Ethiopia(excludes Eritrea)","Bolivia","2015.0","Import","1.0","0.02","90.96","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","90.96","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","90.96","0.0",""
"Ethiopia(excludes Eritrea)","Brazil","2015.0","Import","296.0","7.3","62554.1","0.24","17.55","8.07","365.0","96.99","3.01","0.0","0.0","35.0","0.0","0.0","62548.11","5.99","17.55","8.07","365.0","96.99","3.01","0.0","0.0","35.0","0.0","0.0","62548.11","5.99",""
"Ethiopia(excludes Eritrea)","Barbados","2015.0","Import","1.0","0.02","3.94","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","3.94","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","3.94","0.0",""
"Ethiopia(excludes Eritrea)","Botswana","2015.0","Import","1.0","0.02","0.06","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.06","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.06",""
"Ethiopia(excludes Eritrea)","Canada","2015.0","Import","483.0","11.91","40843.03","0.16","18.13","3.26","639.0","90.14","9.7","0.16","0.0","35.0","0.0","2.49","9546.77","30759.12","18.13","3.26","639.0","90.14","9.7","0.16","0.0","35.0","0.0","2.49","9546.77","30759.12",""
"Ethiopia(excludes Eritrea)","Switzerland","2015.0","Import","575.0","14.18","70149.14","0.27","16.76","10.11","750.0","93.6","6.27","0.13","0.0","35.0","0.0","14.03","63744.36","6401.23","16.76","10.11","750.0","93.6","6.27","0.13","0.0","35.0","0.0","14.03","63744.36","6401.23",""
"Ethiopia(excludes Eritrea)","Chile","2015.0","Import","13.0","0.32","449.57","0.0","21.07","12.36","15.0","80.0","20.0","0.0","0.0","35.0","0.0","0.0","240.55","209.02","21.07","12.36","15.0","80.0","20.0","0.0","0.0","35.0","0.0","0.0","240.55","209.02",""
"Ethiopia(excludes Eritrea)","China","2015.0","Import","3294.0","81.23","7166912.39","27.76","17.91","13.05","3979.0","95.53","4.42","0.05","0.0","35.0","0.0","25.02","6199894.23","845068.54","17.91","13.05","3979.0","95.53","4.42","0.05","0.0","35.0","0.0","25.02","6199894.23","845068.54",""
