"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Finland","Aruba","2015.0","Import","2.0","0.05","0.12","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Afghanistan","2015.0","Import","12.0","0.28","6549.85","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Angola","2015.0","Import","9.0","0.21","44717.45","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Anguila","2015.0","Import","3.0","0.07","0.06","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Albania","2015.0","Import","70.0","1.6","1028.26","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Andorra","2015.0","Import","25.0","0.57","2395.5","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","United Arab Emirates","2015.0","Import","376.0","8.62","20733.71","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Argentina","2015.0","Import","196.0","4.49","42463.97","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Armenia","2015.0","Import","23.0","0.53","565.84","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","American Samoa","2015.0","Import","23.0","0.53","2.14","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Antarctica","2015.0","Import","1.0","0.02","0.1","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Fr. So. Ant. Tr","2015.0","Import","7.0","0.16","0.89","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Antigua and Barbuda","2015.0","Import","4.0","0.09","71.78","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Australia","2015.0","Import","871.0","19.97","110860.75","0.18","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Austria","2015.0","Import","1511.0","34.64","558996.69","0.93","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Azerbaijan","2015.0","Import","17.0","0.39","796.94","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Burundi","2015.0","Import","1.0","0.02","351.4","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Belgium","2015.0","Import","2240.0","51.35","1317444.02","2.19","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Benin","2015.0","Import","4.0","0.09","4.04","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Burkina Faso","2015.0","Import","11.0","0.25","104.19","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Bangladesh","2015.0","Import","332.0","7.61","152292.73","0.25","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Bulgaria","2015.0","Import","516.0","11.83","89979.72","0.15","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Bahrain","2015.0","Import","25.0","0.57","301.99","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Bahamas, The","2015.0","Import","63.0","1.44","15435.36","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Bosnia and Herzegovina","2015.0","Import","163.0","3.74","5332.48","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Belarus","2015.0","Import","215.0","4.93","16385.59","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Belize","2015.0","Import","6.0","0.14","13.41","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Bermuda","2015.0","Import","4.0","0.09","49.45","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Bolivia","2015.0","Import","43.0","0.99","805.01","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Brazil","2015.0","Import","630.0","14.44","541763.26","0.9","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Barbados","2015.0","Import","8.0","0.18","283.61","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Brunei","2015.0","Import","4.0","0.09","198.29","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Bouvet Island","2015.0","Import","1.0","0.02","0.07","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Botswana","2015.0","Import","1.0","0.02","39349.01","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Canada","2015.0","Import","1354.0","31.04","568842.42","0.95","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Switzerland","2015.0","Import","1918.0","43.97","667479.57","1.11","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","Chile","2015.0","Import","191.0","4.38","184141.14","0.31","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","China","2015.0","Import","2982.0","68.36","4368658.49","7.26","","","","","","","","","","","","","","","","","","","","","","","","",""
