"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Fiji","Anguila","2015.0","Import","8.0","0.23","4.42","0.0","9.63","7.41","8.0","100.0","0.0","0.0","0.0","32.0","5.0","0.0","4.42","0.0","9.63","7.41","8.0","100.0","0.0","0.0","0.0","32.0","5.0","0.0","4.42","0.0",""
"Fiji","United Arab Emirates","2015.0","Import","164.0","4.66","3099.84","0.15","13.64","16.11","244.0","90.16","3.28","6.56","0.0","32.0","0.0","69.82","3087.07","12.77","13.64","16.11","244.0","90.16","3.28","6.56","0.0","32.0","0.0","69.82","3087.07","12.77",""
"Fiji","Argentina","2015.0","Import","14.0","0.4","350.56","0.02","15.62","13.2","21.0","71.43","0.0","28.57","0.0","32.0","5.0","46.49","350.56","0.0","15.62","13.2","21.0","71.43","0.0","28.57","0.0","32.0","5.0","46.49","350.56","0.0",""
"Fiji","American Samoa","2015.0","Import","17.0","0.48","197.25","0.01","11.93","11.2","60.0","60.0","0.0","40.0","0.0","32.0","5.0","28.37","164.35","0.0","11.93","11.2","60.0","60.0","0.0","40.0","0.0","32.0","5.0","28.37","164.35","0.0",""
"Fiji","Antigua and Barbuda","2015.0","Import","6.0","0.17","22.11","0.0","13.61","15.07","13.0","76.92","7.69","15.38","0.0","32.0","0.0","0.22","22.11","0.0","13.61","15.07","13.0","76.92","7.69","15.38","0.0","32.0","0.0","0.22","22.11","0.0",""
"Fiji","Australia","2015.0","Import","2729.0","77.59","320237.13","15.39","11.21","9.68","3496.0","88.64","5.58","5.78","0.0","32.0","0.0","25740.08","246628.08","72318.48","11.21","9.68","3496.0","88.64","5.58","5.78","0.0","32.0","0.0","25740.08","246628.08","72318.48",""
"Fiji","Austria","2015.0","Import","44.0","1.25","499.47","0.02","14.88","19.74","54.0","94.44","5.56","0.0","0.0","32.0","0.0","0.0","499.16","0.31","14.88","19.74","54.0","94.44","5.56","0.0","0.0","32.0","0.0","0.0","499.16","0.31",""
"Fiji","Azerbaijan","2015.0","Import","2.0","0.06","0.3","0.0","5.0","5.0","2.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.31","0.0","5.0","5.0","2.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.31","0.0",""
"Fiji","Belgium","2015.0","Import","75.0","2.13","2513.05","0.12","14.19","28.03","162.0","71.6","5.56","22.84","0.0","32.0","0.0","288.3","2286.09","119.14","14.19","28.03","162.0","71.6","5.56","22.84","0.0","32.0","0.0","288.3","2286.09","119.14",""
"Fiji","Bangladesh","2015.0","Import","112.0","3.18","1056.11","0.05","16.91","14.9","149.0","91.95","5.37","2.68","0.0","32.0","0.0","2.94","635.89","416.4","16.91","14.9","149.0","91.95","5.37","2.68","0.0","32.0","0.0","2.94","635.89","416.4",""
"Fiji","Bulgaria","2015.0","Import","13.0","0.37","169.39","0.01","12.1","12.61","18.0","94.44","5.56","0.0","0.0","32.0","0.0","0.0","169.39","0.0","12.1","12.61","18.0","94.44","5.56","0.0","0.0","32.0","0.0","0.0","169.39","0.0",""
"Fiji","Bahrain","2015.0","Import","1.0","0.03","6.95","0.0","","","3.0","0.0","0.0","100.0","0.0","","","6.95","6.95","0.0","","","3.0","0.0","0.0","100.0","0.0","","","6.95","6.95","0.0",""
"Fiji","Bahamas, The","2015.0","Import","1.0","0.03","0.06","0.0","","","3.0","0.0","0.0","100.0","0.0","","","0.06","0.06","0.0","","","3.0","0.0","0.0","100.0","0.0","","","0.06","0.06","0.0",""
"Fiji","Bosnia and Herzegovina","2015.0","Import","2.0","0.06","1.37","0.0","15.0","15.0","2.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","1.37","0.0","15.0","15.0","2.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","1.37","0.0",""
"Fiji","Belarus","2015.0","Import","2.0","0.06","1222.55","0.06","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1222.55","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1222.55",""
"Fiji","Belize","2015.0","Import","7.0","0.2","11.5","0.0","10.29","14.4","10.0","100.0","0.0","0.0","0.0","32.0","5.0","0.0","11.5","0.0","10.29","14.4","10.0","100.0","0.0","0.0","0.0","32.0","5.0","0.0","11.5","0.0",""
"Fiji","Brazil","2015.0","Import","45.0","1.28","902.59","0.04","14.44","16.55","71.0","84.51","7.04","8.45","0.0","32.0","0.0","8.49","822.92","79.67","14.44","16.55","71.0","84.51","7.04","8.45","0.0","32.0","0.0","8.49","822.92","79.67",""
"Fiji","Barbados","2015.0","Import","1.0","0.03","19.02","0.0","","","3.0","0.0","0.0","100.0","0.0","","","19.02","19.02","0.0","","","3.0","0.0","0.0","100.0","0.0","","","19.02","19.02","0.0",""
"Fiji","Brunei","2015.0","Import","3.0","0.09","138.46","0.01","23.0","31.95","4.0","100.0","0.0","0.0","0.0","32.0","5.0","0.0","138.46","0.0","23.0","31.95","4.0","100.0","0.0","0.0","0.0","32.0","5.0","0.0","138.46","0.0",""
"Fiji","Bhutan","2015.0","Import","2.0","0.06","0.24","0.0","5.0","5.0","2.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.24","0.0","5.0","5.0","2.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.24","0.0",""
"Fiji","Bunkers","2015.0","Import","19.0","0.54","60.79","0.0","10.39","9.72","22.0","100.0","0.0","0.0","0.0","32.0","5.0","0.0","60.79","0.0","10.39","9.72","22.0","100.0","0.0","0.0","0.0","32.0","5.0","0.0","60.79","0.0",""
"Fiji","Botswana","2015.0","Import","1.0","0.03","0.06","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.06","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.06","0.0",""
"Fiji","Canada","2015.0","Import","465.0","13.22","17826.7","0.86","12.16","7.12","606.0","88.78","6.6","4.62","0.0","32.0","0.0","185.51","17102.01","298.61","12.16","7.12","606.0","88.78","6.6","4.62","0.0","32.0","0.0","185.51","17102.01","298.61",""
"Fiji","Cocos (Keeling) Islands","2015.0","Import","1.0","0.03","0.03","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.03","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.03","0.0",""
"Fiji","Switzerland","2015.0","Import","136.0","3.87","9385.35","0.45","12.81","13.01","154.0","91.56","6.49","1.95","0.0","32.0","0.0","6212.16","8449.81","926.0","12.81","13.01","154.0","91.56","6.49","1.95","0.0","32.0","0.0","6212.16","8449.81","926.0",""
"Fiji","Chile","2015.0","Import","11.0","0.31","1320.95","0.06","20.64","30.2","16.0","81.25","0.0","18.75","0.0","32.0","5.0","360.39","1320.95","0.0","20.64","30.2","16.0","81.25","0.0","18.75","0.0","32.0","5.0","360.39","1320.95","0.0",""
"Fiji","China","2015.0","Import","2325.0","66.11","303457.74","14.58","11.46","14.37","3013.0","88.88","5.34","5.77","0.0","32.0","0.0","27165.98","287488.75","13797.13","11.46","14.37","3013.0","88.88","5.34","5.77","0.0","32.0","0.0","27165.98","287488.75","13797.13",""
"Fiji","Cameroon","2015.0","Import","5.0","0.14","7.05","0.0","14.4","9.02","7.0","85.71","0.0","14.29","0.0","32.0","5.0","1.41","7.05","0.0","14.4","9.02","7.0","85.71","0.0","14.29","0.0","32.0","5.0","1.41","7.05","0.0",""
"Fiji","Congo, Rep.","2015.0","Import","1.0","0.03","0.07","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.07","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.07","0.0",""
