"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"France","Aruba","2015.0","Import","11.0","0.24","7793.75","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Afghanistan","2015.0","Import","156.0","3.41","6950.34","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Angola","2015.0","Import","148.0","3.24","1610479.86","0.29","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Anguila","2015.0","Import","13.0","0.28","142.21","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Albania","2015.0","Import","597.0","13.07","66518.01","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Andorra","2015.0","Import","153.0","3.35","3681.1","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","United Arab Emirates","2015.0","Import","1789.0","39.16","1155427.53","0.21","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Argentina","2015.0","Import","789.0","17.27","488549.9","0.09","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Armenia","2015.0","Import","150.0","3.28","8429.44","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","American Samoa","2015.0","Import","40.0","0.88","609.79","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Antarctica","2015.0","Import","13.0","0.28","1754.18","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Fr. So. Ant. Tr","2015.0","Import","25.0","0.55","5539.14","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Antigua and Barbuda","2015.0","Import","57.0","1.25","6592.09","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Australia","2015.0","Import","1696.0","37.12","1034505.78","0.18","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Austria","2015.0","Import","2807.0","61.44","6065380.58","1.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Azerbaijan","2015.0","Import","60.0","1.31","1253059.9","0.22","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Burundi","2015.0","Import","38.0","0.83","5456.51","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Belgium","2015.0","Import","4257.0","93.17","40813156.11","7.24","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Benin","2015.0","Import","165.0","3.61","7893.25","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Bonaire","2015.0","Import","6.0","0.13","6747.53","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Burkina Faso","2015.0","Import","234.0","5.12","16375.24","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Bangladesh","2015.0","Import","582.0","12.74","2372161.55","0.42","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Bulgaria","2015.0","Import","1409.0","30.84","1128914.72","0.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Bahrain","2015.0","Import","226.0","4.95","97698.09","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Bahamas, The","2015.0","Import","40.0","0.88","43307.85","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Bosnia and Herzegovina","2015.0","Import","465.0","10.18","105421.02","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Saint Barthélemy","2015.0","Import","191.0","4.18","1388.96","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Belarus","2015.0","Import","318.0","6.96","135761.87","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Belize","2015.0","Import","59.0","1.29","8727.73","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Bermuda","2015.0","Import","30.0","0.66","372.4","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Bolivia","2015.0","Import","165.0","3.61","102767.15","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Brazil","2015.0","Import","1930.0","42.24","3238640.3","0.57","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Barbados","2015.0","Import","75.0","1.64","6941.14","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
